Messstelle:                ;Feffernitz, Bl 611
HZB-Nummer:                ;338129
HD-Nummer:                 ;
DBMS-Nummer:               ;2002155
PorenGW-Gebiet:            ;415 Unteres Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1996
 Geländehöhe:              ;507,79
 Messpunkthöhe:            ;508,89
 Sohllage:                 ;503,89
 T-Messtiefe u.GOK:        ;2,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1996               ;13 41 28                 ;46 41 03
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1996 07:01:00   ;   506,42 ;     
20.05.1997 07:30:00   ;   506,46 ;     
02.06.1998 07:30:00   ;   506,45 ;     
11.02.1999 07:30:00   ;   506,48 ;     
30.01.2000 07:30:00   ;   506,53 ;     
29.12.2001 07:30:00   ;   506,37 ;     
18.09.2002 07:30:00   ;   506,29 ;     
01.07.2003 07:30:00   ;   506,39 ;     
09.06.2004 07:30:00   ;   506,49 ;     
21.06.2005 07:30:00   ;   506,59 ;     
04.12.2006 07:30:00   ;   506,61 ;     
30.12.2007 07:30:00   ;   506,59 ;     
01.01.2008 00:00:05   ;   506,59 ;     
26.08.2009 07:30:00   ;   506,69 ;     
21.07.2010 07:30:00   ;   506,67 ;     
27.05.2011 07:30:00   ;   506,82 ;     
08.07.2012 07:30:00   ;   506,77 ;     
05.08.2013 07:30:00   ;   506,60 ;     
31.12.2014 23:59:55   ;   506,65 ;     
01.09.2015 15:00:00   ;   506,52 ;     
30.09.2016 20:00:00   ;   506,60 ;     
06.08.2017 15:00:00   ;   506,53 ;     
20.10.2018 17:00:00   ;   506,65 ;     
23.07.2019 18:00:00   ;   506,74 ;     
03.06.2020 15:00:00   ;   506,62 ;     
15.09.2021 16:00:00   ;   506,79 ;     
