Messstelle:                ;Pfunds-Birkach, Bl 1 (016)
HZB-Nummer:                ;342394
HD-Nummer:                 ;
DBMS-Nummer:               ;7004288
Fremdnummer:               ;GW70617029
PorenGW-Gebiet:            ;024 Oberes Gericht
Grundwasserkörper:         ;Gruppe Zentralzone [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.09.1982
 Geländehöhe:              ;946,86
 Messpunkthöhe:            ;947,66
 Sohllage:                 ;939,16
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.09.1982               ;10 33 39                 ;46 58 55
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  2006 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2016 HG28 gerätetechnisch bedingte Datenausfälle
  2017 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
31.01.1983 09:30:00   ;   941,47 ;     
26.12.1984 09:15:00   ;   941,33 ;     
26.12.1985 10:45:00   ;   941,35 ;     
29.12.1986 10:40:00   ;   941,24 ;     
27.12.1988 14:45:00   ;   941,03 ;     
31.12.1989 00:15:00   ;   940,82 ;     
31.12.1990 09:45:00   ;   940,66 ;     
07.05.1991 18:00:00   ;   940,23 ;     
28.12.1992 06:30:00   ;   940,61 ;     
04.01.1993 04:00:00   ;   940,53 ;     
27.12.1994 06:45:00   ;   940,55 ;     
31.12.1995 13:45:00   ;   940,45 ;     
15.04.1996 07:15:00   ;   940,38 ;     
01.01.1997 19:15:00   ;   940,66 ;     
30.12.1998 13:00:00   ;   940,66 ;     
01.01.2004 10:00:00   ;   940,54 ;     
30.12.2005 15:00:00   ;   940,44 ;     
30.12.2006 12:00:00   ;   940,16 ;     
01.01.2007 09:00:00   ;   940,16 ;     
02.01.2008 08:15:00   ;   940,30 ;     
30.11.2009 09:00:00   ;   940,28 ;     
01.01.2010 09:30:00   ;   940,28 ;     
27.12.2011 09:00:00   ;   940,46 ;     
09.01.2012 05:30:00   ;   940,43 ;     
31.12.2013 23:59:55   ;   940,44 ;     
01.01.2014 13:00:00   ;   940,42 ;     
30.12.2015 10:00:00   ;   940,18 ;     
06.01.2016 09:30:00   ;   940,18 ;     
06.02.2017 07:30:00   ;   940,21 ;     
10.12.2018 05:00:00   ;   940,22 ;     
11.02.2019 08:00:00   ;   940,21 ;     
27.12.2020 04:00:00   ;   940,50 ;     
29.12.2021 08:30:00   ;   940,44 ;     
