Messstelle:                ;Rudersdorf, Bl 18 A
HZB-Nummer:                ;345041
HD-Nummer:                 ;
DBMS-Nummer:               ;1002308
PorenGW-Gebiet:            ;335 Lafnitztal
Grundwasserkörper:         ;Lafnitztal [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.09.2004
 Geländehöhe:              ;252,49
 Messpunkthöhe:            ;253,29
 Sohllage:                 ;244,49
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  30.09.2004               ;16 06 53                 ;47 04 02
  28.09.2004               ;16 06 50                 ;47 04 00
  01.01.1995               ;16 06 52                 ;47 03 58
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
16.12.1995 07:01:00   ;   247,21 ;     
31.08.1996 07:01:00   ;   247,50 ;     
15.11.1997 13:30:00   ;   247,25 ;     
06.06.1998 13:30:00   ;   247,10 ;     
20.11.1999 10:30:00   ;   247,31 ;     
07.10.2000 10:30:00   ;   246,80 ;     
31.12.2001 23:59:55   ;   246,60 ;     
02.03.2002 10:30:00   ;   246,50 ;     
29.11.2003 10:30:00   ;   246,43 ;     
03.04.2004 10:30:05   ;   246,58 ;     
12.03.2005 10:00:00   ;   246,99 ;     
31.12.2006 23:59:55   ;   247,32 ;     
01.09.2007 10:00:00   ;   247,24 ;     
30.08.2008 10:00:00   ;   247,11 ;     
17.01.2009 10:00:00   ;   247,57 ;     
04.09.2010 10:25:00   ;   247,75 ;     
31.12.2011 23:59:55   ;   247,47 ;     
26.10.2012 09:35:00   ;   247,05 ;     
09.11.2013 10:52:00   ;   247,25 ;     
04.01.2014 10:49:00   ;   247,46 ;     
31.12.2015 23:59:55   ;   247,18 ;     
22.10.2016 10:05:00   ;   247,14 ;     
25.11.2017 10:51:00   ;   246,85 ;     
01.01.2018 00:00:05   ;   247,02 ;     
03.11.2019 11:00:00   ;   247,01 ;     
13.06.2020 10:20:00   ;   246,99 ;     
21.11.2021 17:50:00   ;   246,78 ;     
