Messstelle:                ;St.Anton i.M., Bl 09.26.04
HZB-Nummer:                ;347138
HD-Nummer:                 ;09.26.04
DBMS-Nummer:               ;8002282
PorenGW-Gebiet:            ;001 Montafon
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.02.2022
 Geländehöhe:              ;623,13
 Messpunkthöhe:            ;624,13
 Sohllage:                 ;614,63
 T-Messtiefe u.GOK:        ;7,90
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1996               ;09 52 04                 ;47 06 34
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
06.03.1996 07:01:00   ;   616,46 ;     
10.02.1997 07:01:00   ;   616,45 ;     
16.02.1998 07:01:00   ;   616,51 ;     
08.02.1999 07:01:00   ;   616,46 ;     
25.12.2000 07:01:00   ;   616,64 ;     
12.11.2001 07:01:00   ;   616,71 ;     
21.01.2002 07:01:00   ;   616,71 ;     
22.09.2003 07:01:00   ;   616,55 ;     
15.11.2004 07:01:00   ;   616,61 ;     
26.12.2005 07:01:00   ;   616,56 ;     
13.02.2006 11:45:00   ;   616,52 ;     
05.11.2007 07:01:00   ;   616,63 ;     
25.02.2008 07:01:00   ;   616,63 ;     
05.10.2009 07:01:00   ;   616,56 ;     
15.02.2010 07:01:00   ;   616,48 ;     
05.12.2011 07:01:00   ;   616,45 ;     
27.02.2012 07:01:00   ;   616,56 ;     
22.12.2013 05:00:00   ;   616,54 ;     
26.04.2014 11:00:00   ;   616,49 ;     
31.12.2015 03:00:00   ;   616,36 ;     
01.01.2016 00:00:05   ;   616,36 ;     
01.01.2017 00:00:05   ;   616,40 ;     
28.11.2018 11:00:00   ;   616,25 ;     
02.02.2019 16:00:00   ;   616,40 ;     
14.12.2020 11:00:00   ;   616,41 ;     
22.01.2021 13:00:00   ;   616,23 ;     
