Messstelle:                ;Wambach, Bl 26.78
HZB-Nummer:                ;377267
HD-Nummer:                 ;2126.078
DBMS-Nummer:               ;4002915
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Linzer Elektrizitäts-, Fernwärme- und Verkehrsbetriebe-AG.
Höhenangaben [m ü.A.]:     ;gültig seit: ;31.08.1979
 Geländehöhe:              ;263,94
 Messpunkthöhe:            ;264,89
 Sohllage:                 ;258,68
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 18 14                 ;48 13 33
  01.01.2003               ;14 18 20                 ;48 13 35
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
02.11.1979 07:01:00   ;   259,00 ;     
28.11.1980 07:01:00   ;   259,15 ;     
17.07.1981 07:01:00   ;   259,11 ;     
24.12.1982 07:01:00   ;   258,82 ;     
25.11.1983 07:01:00   ;   258,75 ;     
23.11.1984 07:01:00   ;   259,03 ;     
25.01.1985 07:01:00   ;   258,95 ;     
19.10.1986 07:01:00   ;   258,99 ;     
08.11.1987 07:01:00   ;   259,12 ;     
23.10.1988 07:01:00   ;   259,11 ;     
04.06.1989 07:01:00   ;   259,13 ;     
11.02.1990 07:01:00   ;   259,06 ;     
24.02.1991 07:01:00   ;   258,98 ;     
18.10.1992 07:01:00   ;   259,08 ;     
17.10.1993 07:01:00   ;   259,24 ;     
06.11.1994 07:01:00   ;   259,04 ;     
15.08.1995 07:01:00   ;   259,13 ;     
17.02.1996 07:01:00   ;   259,18 ;     
13.11.1997 07:01:00   ;   259,18 ;     
11.02.1998 07:01:00   ;   259,19 ;     
02.11.1999 07:01:00   ;   259,07 ;     
04.12.2000 07:01:00   ;   259,11 ;     
05.11.2001 07:01:00   ;   259,01 ;     
29.07.2002 07:01:00   ;   259,18 ;     
08.12.2003 07:01:00   ;   259,11 ;     
12.01.2004 07:01:00   ;   259,20 ;     
03.01.2005 07:01:00   ;   259,21 ;     
27.12.2006 07:01:00   ;   259,23 ;     
01.01.2007 00:00:05   ;   259,24 ;     
12.11.2008 07:01:00   ;   259,33 ;     
04.02.2009 07:01:00   ;   259,35 ;     
08.12.2010 07:01:00   ;   259,24 ;     
07.12.2011 07:01:00   ;   259,13 ;     
05.12.2012 07:01:00   ;   259,19 ;     
30.10.2013 07:01:00   ;   259,39 ;     
08.01.2014 07:01:00   ;   259,37 ;     
02.09.2015 07:01:00   ;   259,42 ;     
06.01.2016 07:01:00   ;   259,39 ;     
25.01.2017 07:01:00   ;   259,42 ;     
23.10.2018 07:01:00   ;   259,34 ;     
29.07.2019 07:01:00   ;   259,48 ;     
22.01.2020 07:01:00   ;   259,45 ;     
29.11.2021 07:01:00   ;   259,39 ;     
