Messstelle:                ;Waldegg, Br 2129.018
HZB-Nummer:                ;378075
HD-Nummer:                 ;2129.018
DBMS-Nummer:               ;4002880
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.01.1980
 Geländehöhe:              ;261,98
 Messpunkthöhe:            ;261,98
 Sohllage:                 ;250,13
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 17 51                 ;48 17 23
  01.01.2003               ;14 17 54                 ;48 17 25
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
15.04.1980 07:01:00   ;   252,92 ;     
07.07.1981 07:01:00   ;   253,23 ;     
28.12.1982 07:01:00   ;   253,55 ;     
29.11.1983 07:01:00   ;   253,06 ;     
24.12.1984 07:01:00   ;   252,83 ;     
15.01.1985 07:01:00   ;   252,86 ;     
05.08.1986 07:01:00   ;   252,83 ;     
01.01.1987 00:00:05   ;   253,23 ;     
16.02.1988 07:01:00   ;   253,62 ;     
14.11.1989 07:01:00   ;   253,30 ;     
20.11.1990 07:01:00   ;   253,06 ;     
07.05.1991 07:01:00   ;   252,79 ;     
01.09.1992 07:01:00   ;   252,50 ;     
05.07.1993 07:01:00   ;   252,50 ;     
14.03.1994 07:01:00   ;   252,72 ;     
01.01.1995 00:00:05   ;   252,78 ;     
15.04.1996 07:01:00   ;   253,23 ;     
10.02.1997 07:01:00   ;   253,62 ;     
08.06.1998 07:01:00   ;   253,39 ;     
20.12.1999 07:01:00   ;   253,58 ;     
20.03.2000 07:01:00   ;   253,32 ;     
12.03.2001 07:01:00   ;   253,37 ;     
21.12.2003 07:01:00   ;   252,97 ;     
01.01.2004 00:00:05   ;   253,20 ;     
16.01.2005 07:01:00   ;   253,66 ;     
01.01.2006 00:00:05   ;   253,81 ;     
02.09.2007 07:01:00   ;   253,78 ;     
31.12.2008 23:59:55   ;   253,38 ;     
31.12.2009 23:59:55   ;   252,94 ;     
21.02.2010 07:01:00   ;   252,73 ;     
15.05.2011 07:01:00   ;   253,21 ;     
06.05.2012 07:01:00   ;   253,25 ;     
01.01.2013 00:00:05   ;   253,37 ;     
26.04.2014 07:01:00   ;   253,08 ;     
04.10.2015 07:01:00   ;   252,81 ;     
08.05.2016 07:01:00   ;   252,79 ;     
12.02.2017 07:01:00   ;   253,00 ;     
25.11.2018 07:01:00   ;   252,81 ;     
22.12.2019 07:01:00   ;   252,71 ;     
31.12.2020 23:59:55   ;   252,63 ;     
08.05.2021 07:01:00   ;   252,50 ;     
01.01.2022 00:00:05   ;   252,81 ;     
