Messstelle:                ;Lustenau, Br 2129.004
HZB-Nummer:                ;378174
HD-Nummer:                 ;2129.004
DBMS-Nummer:               ;4002877
PorenGW-Gebiet:            ;154 Südliches Linzer Feld
Grundwasserkörper:         ;Linzer Becken [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Verbund Hydro Power AG
Höhenangaben [m ü.A.]:     ;gültig seit: ;12.06.2013
 Geländehöhe:              ;260,49
 Messpunkthöhe:            ;260,84
 Sohllage:                 ;242,31
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 18 30                 ;48 17 14
  01.01.2003               ;14 18 32                 ;48 17 16
Exportzeitreihe:           ;GWS,M,Min,,0,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
05.07.1993 07:01:00   ;   251,00 ;     
28.03.1994 07:01:00   ;   251,09 ;     
01.01.1995 00:00:05   ;   251,18 ;     
01.04.1996 07:01:00   ;   251,28 ;     
10.02.1997 07:01:00   ;   251,50 ;     
08.06.1998 07:01:00   ;   251,37 ;     
13.12.1999 07:01:00   ;   251,45 ;     
11.12.2000 07:01:00   ;   251,31 ;     
05.03.2001 07:01:00   ;   251,31 ;     
15.07.2002 07:01:00   ;   251,09 ;     
28.12.2003 07:01:00   ;   251,23 ;     
31.12.2004 23:59:55   ;   251,14 ;     
16.01.2005 07:01:00   ;   251,13 ;     
01.01.2006 07:01:00   ;   251,20 ;     
01.07.2007 07:01:00   ;   251,25 ;     
31.12.2008 23:59:55   ;   251,08 ;     
27.12.2009 07:01:00   ;   250,99 ;     
14.02.2010 07:01:00   ;   250,94 ;     
16.05.2011 07:01:00   ;   250,93 ;     
01.01.2012 07:01:00   ;   250,93 ;     
11.05.2013 07:01:00   ;   251,12 ;     
31.12.2014 23:59:55   ;   250,85 ;     
31.12.2015 23:59:55   ;   250,61 ;     
12.01.2016 07:01:00   ;   250,59 ;     
19.02.2017 07:01:00   ;   250,90 ;     
27.11.2018 07:01:00   ;   250,68 ;     
15.12.2019 07:01:00   ;   250,57 ;     
08.06.2020 07:01:00   ;   250,50 ;     
30.03.2021 07:01:00   ;   250,49 ;     
01.01.2022 00:00:05   ;   250,56 ;     
