Messstelle:                ;Langenzersdorf-Praunstr., Br
HZB-Nummer:                ;313445
HD-Nummer:                 ;
DBMS-Nummer:               ;3002513
PorenGW-Gebiet:            ;200 Nördliches Tullner Feld
Grundwasserkörper:         ;Marchfeld [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;09.01.2006
 Geländehöhe:              ;165,11
 Messpunkthöhe:            ;166,76
 Sohllage:                 ;158,16
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;16 20 57                 ;48 18 09
  25.11.1968               ;16 20 58                 ;48 18 09
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1999 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1999 00:00:00   ;   160,77 ;     
01.02.1999 00:00:00   ;   160,84 ;     
01.03.1999 00:00:00   ;   161,32 ;     
01.04.1999 00:00:00   ;   161,31 ;     
01.05.1999 00:00:00   ;   161,40 ;     
01.06.1999 00:00:00   ;   161,15 ;     
01.07.1999 00:00:00   ;   161,18 ;     
01.08.1999 00:00:00   ;   161,00 ;     
01.09.1999 00:00:00   ;   160,85 ;     
01.10.1999 00:00:00   ;   160,66 ;     
01.11.1999 00:00:00   ;   160,66 ;     
01.12.1999 00:00:00   ;   160,64 ;     
01.01.2000 00:00:00   ;   160,72 ;     
01.02.2000 00:00:00   ;   161,11 ;     
01.03.2000 00:00:00   ;   161,38 ;     
01.04.2000 00:00:00   ;   161,37 ;     
01.05.2000 00:00:00   ;   161,40 ;     
01.06.2000 00:00:00   ;   161,00 ;     
01.07.2000 00:00:00   ;   160,98 ;     
01.08.2000 00:00:00   ;   161,27 ;     
01.09.2000 00:00:00   ;   160,84 ;     
01.10.2000 00:00:00   ;   160,98 ;     
01.11.2000 00:00:00   ;   160,70 ;     
01.12.2000 00:00:00   ;   160,64 ;     
01.01.2001 00:00:00   ;   160,63 ;     
01.02.2001 00:00:00   ;Lücke     ;     
