Messstelle:                ;Kasten, Br 68.6
HZB-Nummer:                ;316901
HD-Nummer:                 ;68.6
DBMS-Nummer:               ;4002606
PorenGW-Gebiet:            ;091 Mühlgebiet
Grundwasserkörper:         ;Gruppe Böhmische Masse [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;16.04.2015
 Geländehöhe:              ;719,95
 Messpunkthöhe:            ;720,25
 Sohllage:                 ;705,35
 T-Messtiefe u.GOK:        ;14,30
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 05 12                 ;48 32 09
  01.01.2003               ;14 05 13                 ;48 32 06
  01.01.1996               ;14 05 13                 ;48 32 06
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2015 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1996 00:00:00   ;   717,51 ;     
01.02.1996 00:00:00   ;   717,14 ;     
01.03.1996 00:00:00   ;   717,19 ;     
01.04.1996 00:00:00   ;   717,99 ;     
01.05.1996 00:00:00   ;   717,93 ;     
01.06.1996 00:00:00   ;   717,68 ;     
01.07.1996 00:00:00   ;   717,69 ;     
01.08.1996 00:00:00   ;   717,38 ;     
01.09.1996 00:00:00   ;   717,69 ;     
01.10.1996 00:00:00   ;   717,54 ;     
01.11.1996 00:00:00   ;   717,81 ;     
01.12.1996 00:00:00   ;   717,48 ;     
01.01.1997 00:00:00   ;   717,19 ;     
01.02.1997 00:00:00   ;   717,31 ;     
01.03.1997 00:00:00   ;   718,07 ;     
01.04.1997 00:00:00   ;   717,87 ;     
01.05.1997 00:00:00   ;   717,72 ;     
01.06.1997 00:00:00   ;   717,28 ;     
01.07.1997 00:00:00   ;   717,66 ;     
01.08.1997 00:00:00   ;   717,53 ;     
01.09.1997 00:00:00   ;   717,35 ;     
01.10.1997 00:00:00   ;   717,17 ;     
01.11.1997 00:00:00   ;   717,11 ;     
01.12.1997 00:00:00   ;   718,02 ;     
01.01.1998 00:00:00   ;   717,59 ;     
01.02.1998 00:00:00   ;   717,34 ;     
01.03.1998 00:00:00   ;   717,59 ;     
01.04.1998 00:00:00   ;   717,46 ;     
01.05.1998 00:00:00   ;   717,19 ;     
01.06.1998 00:00:00   ;   717,20 ;     
01.07.1998 00:00:00   ;   717,37 ;     
01.08.1998 00:00:00   ;   717,42 ;     
01.09.1998 00:00:00   ;   717,50 ;     
01.10.1998 00:00:00   ;   717,43 ;     
01.11.1998 00:00:00   ;   717,87 ;     
01.12.1998 00:00:00   ;   717,85 ;     
01.01.1999 00:00:00   ;   717,82 ;     
01.02.1999 00:00:00   ;   717,82 ;     
01.03.1999 00:00:00   ;   718,38 ;     
01.04.1999 00:00:00   ;   717,64 ;     
01.05.1999 00:00:00   ;   717,29 ;     
01.06.1999 00:00:00   ;   717,11 ;     
01.07.1999 00:00:00   ;   717,18 ;     
01.08.1999 00:00:00   ;   717,08 ;     
01.09.1999 00:00:00   ;   716,97 ;     
01.10.1999 00:00:00   ;   716,82 ;     
01.11.1999 00:00:00   ;   716,78 ;     
01.12.1999 00:00:00   ;   717,05 ;     
01.01.2000 00:00:00   ;   717,50 ;     
01.02.2000 00:00:00   ;   718,43 ;     
01.03.2000 00:00:00   ;   718,36 ;     
01.04.2000 00:00:00   ;   717,95 ;     
01.05.2000 00:00:00   ;   717,42 ;     
01.06.2000 00:00:00   ;   717,23 ;     
01.07.2000 00:00:00   ;   717,28 ;     
01.08.2000 00:00:00   ;   717,76 ;     
01.09.2000 00:00:00   ;   717,38 ;     
01.10.2000 00:00:00   ;   717,71 ;     
01.11.2000 00:00:00   ;   717,37 ;     
01.12.2000 00:00:00   ;   717,58 ;     
01.01.2001 00:00:00   ;   717,53 ;     
01.02.2001 00:00:00   ;   717,78 ;     
01.03.2001 00:00:00   ;   718,31 ;     
01.04.2001 00:00:00   ;   718,03 ;     
01.05.2001 00:00:00   ;   717,47 ;     
01.06.2001 00:00:00   ;   717,34 ;     
01.07.2001 00:00:00   ;   717,09 ;     
01.08.2001 00:00:00   ;   717,29 ;     
01.09.2001 00:00:00   ;   717,73 ;     
01.10.2001 00:00:00   ;   717,48 ;     
01.11.2001 00:00:00   ;   717,41 ;     
