Messstelle:                ;Traun, Blt 11.5
HZB-Nummer:                ;316919
HD-Nummer:                 ;W11.5
DBMS-Nummer:               ;4002610
PorenGW-Gebiet:            ;122 Welser Heide
Grundwasserkörper:         ;Welser Heide [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2001
 Geländehöhe:              ;272,00
 Messpunkthöhe:            ;272,80
 Sohllage:                 ;258,22
 T-Messtiefe u.GOK:        ;6,70
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2011               ;14 14 45                 ;48 13 53
  01.01.2009               ;14 14 45                 ;48 13 53
  01.01.2003               ;14 14 47                 ;48 13 52
  01.07.1996               ;14 14 47                 ;48 13 52
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1996 00:00:00   ;   267,58 ;     
01.08.1996 00:00:00   ;   267,42 ;     
01.09.1996 00:00:00   ;   267,40 ;     
01.10.1996 00:00:00   ;   267,37 ;     
01.11.1996 00:00:00   ;   267,40 ;     
01.12.1996 00:00:00   ;   267,28 ;     
01.01.1997 00:00:00   ;   267,11 ;     
01.02.1997 00:00:00   ;   267,00 ;     
01.03.1997 00:00:00   ;   267,10 ;     
01.04.1997 00:00:00   ;   267,27 ;     
01.05.1997 00:00:00   ;   267,36 ;     
01.06.1997 00:00:00   ;   267,30 ;     
01.07.1997 00:00:00   ;   267,35 ;     
01.08.1997 00:00:00   ;   267,43 ;     
01.09.1997 00:00:00   ;   267,26 ;     
01.10.1997 00:00:00   ;   267,33 ;     
01.11.1997 00:00:00   ;   267,26 ;     
01.12.1997 00:00:00   ;   267,29 ;     
01.01.1998 00:00:00   ;   267,27 ;     
01.02.1998 00:00:00   ;   267,11 ;     
01.03.1998 00:00:00   ;   267,03 ;     
01.04.1998 00:00:00   ;   267,09 ;     
01.05.1998 00:00:00   ;   267,07 ;     
01.06.1998 00:00:00   ;   267,06 ;     
01.07.1998 00:00:00   ;   267,10 ;     
01.08.1998 00:00:00   ;   267,13 ;     
01.09.1998 00:00:00   ;   267,17 ;     
01.10.1998 00:00:00   ;   267,17 ;     
01.11.1998 00:00:00   ;   267,36 ;     
01.12.1998 00:00:00   ;   267,30 ;     
01.01.1999 00:00:00   ;   267,25 ;     
01.02.1999 00:00:00   ;   267,27 ;     
01.03.1999 00:00:00   ;   267,48 ;     
01.04.1999 00:00:00   ;   267,43 ;     
01.05.1999 00:00:00   ;   267,47 ;     
01.06.1999 00:00:00   ;   267,41 ;     
01.07.1999 00:00:00   ;   267,36 ;     
01.08.1999 00:00:00   ;   267,29 ;     
01.09.1999 00:00:00   ;   267,15 ;     
01.10.1999 00:00:00   ;   267,17 ;     
01.11.1999 00:00:00   ;   267,11 ;     
01.12.1999 00:00:00   ;   267,01 ;     
01.01.2000 00:00:00   ;   267,00 ;     
01.02.2000 00:00:00   ;   267,14 ;     
01.03.2000 00:00:00   ;   267,37 ;     
01.04.2000 00:00:00   ;   267,53 ;     
01.05.2000 00:00:00   ;   267,39 ;     
01.06.2000 00:00:00   ;   267,28 ;     
01.07.2000 00:00:00   ;   267,18 ;     
01.08.2000 00:00:00   ;   267,14 ;     
01.09.2000 00:00:00   ;   267,10 ;     
01.10.2000 00:00:00   ;   267,18 ;     
01.11.2000 00:00:00   ;   267,14 ;     
01.12.2000 00:00:00   ;   267,02 ;     
01.01.2001 00:00:00   ;   267,02 ;     
01.02.2001 00:00:00   ;   267,05 ;     
01.03.2001 00:00:00   ;   267,15 ;     
01.04.2001 00:00:00   ;   267,42 ;     
01.05.2001 00:00:00   ;   267,43 ;     
01.06.2001 00:00:00   ;   267,34 ;     
01.07.2001 00:00:00   ;   267,21 ;     
01.08.2001 00:00:00   ;   267,16 ;     
01.09.2001 00:00:00   ;   267,13 ;     
01.10.2001 00:00:00   ;   267,08 ;     
01.11.2001 00:00:00   ;   267,06 ;     
01.12.2001 00:00:00   ;   267,01 ;     
01.01.2002 00:00:00   ;   267,10 ;     
01.02.2002 00:00:00   ;   267,14 ;     
01.03.2002 00:00:00   ;   267,39 ;     
