Messstelle:                ;Langwiedmoos, Bl 26.2
HZB-Nummer:                ;324343
HD-Nummer:                 ;M26.2
DBMS-Nummer:               ;4002532
PorenGW-Gebiet:            ;055 Mattigtal
Grundwasserkörper:         ;Gruppe Zwischen Salzach und Mattig [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;16.10.2019
 Geländehöhe:              ;457,78
 Messpunkthöhe:            ;457,68
 Sohllage:                 ;450,59
 T-Messtiefe u.GOK:        ;-99,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2009               ;13 10 38                 ;48 06 08
  01.01.2003               ;13 10 29                 ;48 06 14
  01.01.1986               ;13 10 29                 ;48 06 14
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1986 00:00:00   ;   453,15 ;     
01.02.1986 00:00:00   ;   452,93 ;     
01.03.1986 00:00:00   ;   452,88 ;     
01.04.1986 00:00:00   ;   452,92 ;     
01.05.1986 00:00:00   ;   452,84 ;     
01.06.1986 00:00:00   ;   452,94 ;     
01.07.1986 00:00:00   ;   452,76 ;     
01.08.1986 00:00:00   ;   452,64 ;     
01.09.1986 00:00:00   ;   452,57 ;     
01.10.1986 00:00:00   ;   452,49 ;     
01.11.1986 00:00:00   ;   452,46 ;     
01.12.1986 00:00:00   ;   452,30 ;     
01.01.1987 00:00:00   ;   452,62 ;     
01.02.1987 00:00:00   ;   452,68 ;     
01.03.1987 00:00:00   ;   453,24 ;     
01.04.1987 00:00:00   ;   453,04 ;     
01.05.1987 00:00:00   ;   453,06 ;     
01.06.1987 00:00:00   ;   453,19 ;     
01.07.1987 00:00:00   ;   453,16 ;     
01.08.1987 00:00:00   ;   453,08 ;     
01.09.1987 00:00:00   ;   452,86 ;     
01.10.1987 00:00:00   ;   452,77 ;     
01.11.1987 00:00:00   ;   452,64 ;     
01.12.1987 00:00:00   ;   452,81 ;     
01.01.1988 00:00:00   ;   452,77 ;     
01.02.1988 00:00:00   ;   452,77 ;     
01.03.1988 00:00:00   ;   453,19 ;     
01.04.1988 00:00:00   ;   453,49 ;     
01.05.1988 00:00:00   ;   453,05 ;     
01.06.1988 00:00:00   ;   452,99 ;     
01.07.1988 00:00:00   ;   452,99 ;     
01.08.1988 00:00:00   ;   452,89 ;     
01.09.1988 00:00:00   ;   452,85 ;     
01.10.1988 00:00:00   ;   452,63 ;     
01.11.1988 00:00:00   ;   452,63 ;     
01.12.1988 00:00:00   ;   453,23 ;     
01.01.1989 00:00:00   ;   453,10 ;     
01.02.1989 00:00:00   ;   452,91 ;     
01.03.1989 00:00:00   ;   452,90 ;     
01.04.1989 00:00:00   ;   452,86 ;     
01.05.1989 00:00:00   ;   452,82 ;     
01.06.1989 00:00:00   ;   452,74 ;     
01.07.1989 00:00:00   ;   452,73 ;     
01.08.1989 00:00:00   ;   452,64 ;     
01.09.1989 00:00:00   ;   452,59 ;     
01.10.1989 00:00:00   ;   452,61 ;     
01.11.1989 00:00:00   ;   452,58 ;     
01.12.1989 00:00:00   ;   452,55 ;     
01.01.1990 00:00:00   ;   452,46 ;     
01.02.1990 00:00:00   ;   452,55 ;     
01.03.1990 00:00:00   ;   452,60 ;     
01.04.1990 00:00:00   ;   452,50 ;     
01.05.1990 00:00:00   ;   452,51 ;     
01.06.1990 00:00:00   ;   452,73 ;     
01.07.1990 00:00:00   ;   452,90 ;     
01.08.1990 00:00:00   ;   452,66 ;     
01.09.1990 00:00:00   ;   452,57 ;     
01.10.1990 00:00:00   ;   452,53 ;     
01.11.1990 00:00:00   ;   452,68 ;     
01.12.1990 00:00:00   ;   452,62 ;     
01.01.1991 00:00:00   ;   452,62 ;     
01.02.1991 00:00:00   ;   452,38 ;     
01.03.1991 00:00:00   ;   452,31 ;     
01.04.1991 00:00:00   ;   452,27 ;     
01.05.1991 00:00:00   ;   452,30 ;     
01.06.1991 00:00:00   ;   452,34 ;     
01.07.1991 00:00:00   ;   452,55 ;     
01.08.1991 00:00:00   ;   453,56 ;     
01.09.1991 00:00:00   ;   452,94 ;     
01.10.1991 00:00:00   ;   452,73 ;     
01.11.1991 00:00:00   ;   452,70 ;     
01.12.1991 00:00:00   ;   452,86 ;     
01.01.1992 00:00:00   ;   452,84 ;     
01.02.1992 00:00:00   ;   452,72 ;     
01.03.1992 00:00:00   ;   452,85 ;     
01.04.1992 00:00:00   ;   452,94 ;     
01.05.1992 00:00:00   ;   452,67 ;     
01.06.1992 00:00:00   ;   452,54 ;     
