Messstelle:                ;Weitersfeld, Br 38615
HZB-Nummer:                ;329219
HD-Nummer:                 ;uw38615
DBMS-Nummer:               ;6002575
PorenGW-Gebiet:            ;400 Unteres Murtal
Grundwasserkörper:         ;Unteres Murtal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2002
 Geländehöhe:              ;242,99
 Messpunkthöhe:            ;243,39
 Sohllage:                 ;237,39
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 42 53                 ;46 42 30
  01.09.1981               ;15 42 53                 ;46 42 30
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.09.1981 00:00:00   ;   238,92 ;     
01.10.1981 00:00:00   ;   238,90 ;     
01.11.1981 00:00:00   ;   238,83 ;     
01.12.1981 00:00:00   ;   238,74 ;     
01.01.1982 00:00:00   ;   238,94 ;     
01.02.1982 00:00:00   ;   238,81 ;     
01.03.1982 00:00:00   ;   238,97 ;     
01.04.1982 00:00:00   ;   239,02 ;     
01.05.1982 00:00:00   ;   238,97 ;     
01.06.1982 00:00:00   ;   238,94 ;     
01.07.1982 00:00:00   ;   238,91 ;     
01.08.1982 00:00:00   ;   238,81 ;     
01.09.1982 00:00:00   ;   238,85 ;     
01.10.1982 00:00:00   ;   239,27 ;     
01.11.1982 00:00:00   ;   239,25 ;     
01.12.1982 00:00:00   ;   239,50 ;     
01.01.1983 00:00:00   ;   239,48 ;     
01.02.1983 00:00:00   ;   239,27 ;     
01.03.1983 00:00:00   ;   239,34 ;     
01.04.1983 00:00:00   ;   239,40 ;     
01.05.1983 00:00:00   ;   239,21 ;     
01.06.1983 00:00:00   ;   239,19 ;     
01.07.1983 00:00:00   ;   238,99 ;     
01.08.1983 00:00:00   ;   238,85 ;     
01.09.1983 00:00:00   ;   238,78 ;     
01.10.1983 00:00:00   ;   238,74 ;     
01.11.1983 00:00:00   ;   238,70 ;     
01.12.1983 00:00:00   ;   238,63 ;     
01.01.1984 00:00:00   ;   238,63 ;     
01.02.1984 00:00:00   ;   238,69 ;     
01.03.1984 00:00:00   ;   239,31 ;     
01.04.1984 00:00:00   ;   239,53 ;     
01.05.1984 00:00:00   ;   239,30 ;     
01.06.1984 00:00:00   ;   239,14 ;     
01.07.1984 00:00:00   ;   239,00 ;     
01.08.1984 00:00:00   ;   238,89 ;     
01.09.1984 00:00:00   ;   238,77 ;     
01.10.1984 00:00:00   ;   238,80 ;     
01.11.1984 00:00:00   ;   238,73 ;     
01.12.1984 00:00:00   ;   238,69 ;     
01.01.1985 00:00:00   ;   238,67 ;     
01.02.1985 00:00:00   ;   238,83 ;     
01.03.1985 00:00:00   ;   239,13 ;     
01.04.1985 00:00:00   ;   239,50 ;     
01.05.1985 00:00:00   ;   239,59 ;     
01.06.1985 00:00:00   ;   239,42 ;     
01.07.1985 00:00:00   ;   239,23 ;     
01.08.1985 00:00:00   ;   239,14 ;     
01.09.1985 00:00:00   ;   238,95 ;     
01.10.1985 00:00:00   ;   238,83 ;     
01.11.1985 00:00:00   ;   238,82 ;     
01.12.1985 00:00:00   ;   239,14 ;     
01.01.1986 00:00:00   ;   239,24 ;     
01.02.1986 00:00:00   ;   239,21 ;     
01.03.1986 00:00:00   ;   239,57 ;     
01.04.1986 00:00:00   ;   239,73 ;     
01.05.1986 00:00:00   ;   239,38 ;     
01.06.1986 00:00:00   ;   239,58 ;     
01.07.1986 00:00:00   ;   239,33 ;     
01.08.1986 00:00:00   ;   239,11 ;     
01.09.1986 00:00:00   ;   238,98 ;     
01.10.1986 00:00:00   ;   238,80 ;     
01.11.1986 00:00:00   ;   238,72 ;     
01.12.1986 00:00:00   ;   238,66 ;     
01.01.1987 00:00:00   ;   238,58 ;     
01.02.1987 00:00:00   ;   238,80 ;     
01.03.1987 00:00:00   ;   239,29 ;     
01.04.1987 00:00:00   ;   239,59 ;     
01.05.1987 00:00:00   ;   239,44 ;     
01.06.1987 00:00:00   ;   239,23 ;     
01.07.1987 00:00:00   ;   239,08 ;     
01.08.1987 00:00:00   ;   239,26 ;     
01.09.1987 00:00:00   ;   239,09 ;     
01.10.1987 00:00:00   ;   238,95 ;     
01.11.1987 00:00:00   ;   238,95 ;     
01.12.1987 00:00:00   ;   239,28 ;     
01.01.1988 00:00:00   ;   239,14 ;     
01.02.1988 00:00:00   ;   239,38 ;     
01.03.1988 00:00:00   ;   239,30 ;     
01.04.1988 00:00:00   ;   239,17 ;     
01.05.1988 00:00:00   ;   239,09 ;     
01.06.1988 00:00:00   ;   239,08 ;     
01.07.1988 00:00:00   ;   238,95 ;     
01.08.1988 00:00:00   ;   238,81 ;     
01.09.1988 00:00:00   ;   238,91 ;     
01.10.1988 00:00:00   ;   239,02 ;     
01.11.1988 00:00:00   ;   239,02 ;     
01.12.1988 00:00:00   ;   238,95 ;     
01.01.1989 00:00:00   ;   238,82 ;     
01.02.1989 00:00:00   ;   238,72 ;     
01.03.1989 00:00:00   ;   238,66 ;     
01.04.1989 00:00:00   ;   238,74 ;     
01.05.1989 00:00:00   ;   239,10 ;     
01.06.1989 00:00:00   ;   239,15 ;     
01.07.1989 00:00:00   ;   239,16 ;     
01.08.1989 00:00:00   ;   239,12 ;     
01.09.1989 00:00:00   ;   239,16 ;     
01.10.1989 00:00:00   ;   239,28 ;     
01.11.1989 00:00:00   ;   239,11 ;     
01.12.1989 00:00:00   ;   238,96 ;     
01.01.1990 00:00:00   ;   238,80 ;     
01.02.1990 00:00:00   ;   238,75 ;     
01.03.1990 00:00:00   ;   238,70 ;     
01.04.1990 00:00:00   ;   238,88 ;     
01.05.1990 00:00:00   ;   238,98 ;     
01.06.1990 00:00:00   ;   238,96 ;     
01.07.1990 00:00:00   ;   238,94 ;     
01.08.1990 00:00:00   ;   238,87 ;     
01.09.1990 00:00:00   ;   238,77 ;     
01.10.1990 00:00:00   ;   238,84 ;     
01.11.1990 00:00:00   ;   239,45 ;     
01.12.1990 00:00:00   ;   239,40 ;     
01.01.1991 00:00:00   ;   239,29 ;     
01.02.1991 00:00:00   ;   239,14 ;     
01.03.1991 00:00:00   ;   239,07 ;     
01.04.1991 00:00:00   ;   239,19 ;     
01.05.1991 00:00:00   ;   239,47 ;     
01.06.1991 00:00:00   ;   239,34 ;     
01.07.1991 00:00:00   ;   239,35 ;     
01.08.1991 00:00:00   ;   239,34 ;     
01.09.1991 00:00:00   ;   239,13 ;     
01.10.1991 00:00:00   ;   239,03 ;     
01.11.1991 00:00:00   ;   239,38 ;     
01.12.1991 00:00:00   ;   239,50 ;     
01.01.1992 00:00:00   ;   239,20 ;     
01.02.1992 00:00:00   ;   239,14 ;     
01.03.1992 00:00:00   ;   239,07 ;     
01.04.1992 00:00:00   ;   239,05 ;     
01.05.1992 00:00:00   ;   239,03 ;     
01.06.1992 00:00:00   ;   239,01 ;     
01.07.1992 00:00:00   ;   238,83 ;     
01.08.1992 00:00:00   ;   238,66 ;     
01.09.1992 00:00:00   ;   238,54 ;     
01.10.1992 00:00:00   ;   238,48 ;     
01.11.1992 00:00:00   ;   238,77 ;     
01.12.1992 00:00:00   ;   239,18 ;     
01.01.1993 00:00:00   ;   239,04 ;     
01.02.1993 00:00:00   ;   238,89 ;     
01.03.1993 00:00:00   ;   238,75 ;     
01.04.1993 00:00:00   ;   238,66 ;     
01.05.1993 00:00:00   ;   238,58 ;     
01.06.1993 00:00:00   ;   238,49 ;     
01.07.1993 00:00:00   ;   238,41 ;     
01.08.1993 00:00:00   ;   238,35 ;     
01.09.1993 00:00:00   ;   238,28 ;     
01.10.1993 00:00:00   ;   238,32 ;     
01.11.1993 00:00:00   ;   238,64 ;     
01.12.1993 00:00:00   ;   238,95 ;     
01.01.1994 00:00:00   ;   239,43 ;     
01.02.1994 00:00:00   ;   239,21 ;     
01.03.1994 00:00:00   ;   239,16 ;     
01.04.1994 00:00:00   ;   239,36 ;     
01.05.1994 00:00:00   ;   239,29 ;     
01.06.1994 00:00:00   ;   239,18 ;     
01.07.1994 00:00:00   ;   239,07 ;     
01.08.1994 00:00:00   ;   238,93 ;     
