Messstelle:                ;Schnepfau, Bl 30.3.04
HZB-Nummer:                ;332254
HD-Nummer:                 ;30.3.04
DBMS-Nummer:               ;8002249
PorenGW-Gebiet:            ;006 Bregenzerwald
Grundwasserkörper:         ;Gruppe Helvetikum [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;31.08.2022
 Geländehöhe:              ;701,93
 Messpunkthöhe:            ;702,93
 Sohllage:                 ;688,23
 T-Messtiefe u.GOK:        ;11,00
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1990               ;09 54 38                 ;47 20 54
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1990 00:00:00   ;   700,74 ;     
01.02.1990 00:00:00   ;   700,83 ;     
01.03.1990 00:00:00   ;   700,68 ;     
01.04.1990 00:00:00   ;   700,37 ;     
01.05.1990 00:00:00   ;   700,49 ;     
01.06.1990 00:00:00   ;   700,85 ;     
01.07.1990 00:00:00   ;   700,56 ;     
01.08.1990 00:00:00   ;   696,86 ;     
01.09.1990 00:00:00   ;   698,22 ;     
01.10.1990 00:00:00   ;   699,61 ;     
01.11.1990 00:00:00   ;   700,35 ;     
01.12.1990 00:00:00   ;   698,51 ;     
01.01.1991 00:00:00   ;   700,03 ;     
01.02.1991 00:00:00   ;   698,34 ;     
01.03.1991 00:00:00   ;   700,38 ;     
01.04.1991 00:00:00   ;   699,95 ;     
01.05.1991 00:00:00   ;   700,71 ;     
01.06.1991 00:00:00   ;   700,81 ;     
01.07.1991 00:00:00   ;   700,81 ;     
01.08.1991 00:00:00   ;   700,15 ;     
01.09.1991 00:00:00   ;   698,86 ;     
01.10.1991 00:00:00   ;   699,64 ;     
01.11.1991 00:00:00   ;   699,85 ;     
01.12.1991 00:00:00   ;   699,34 ;     
01.01.1992 00:00:00   ;   700,45 ;     
01.02.1992 00:00:00   ;   700,58 ;     
01.03.1992 00:00:00   ;   700,90 ;     
01.04.1992 00:00:00   ;   700,96 ;     
01.05.1992 00:00:00   ;   700,95 ;     
01.06.1992 00:00:00   ;   700,60 ;     
01.07.1992 00:00:00   ;   700,28 ;     
01.08.1992 00:00:00   ;   697,39 ;     
01.09.1992 00:00:00   ;   698,21 ;     
01.10.1992 00:00:00   ;   698,38 ;     
01.11.1992 00:00:00   ;   700,84 ;     
01.12.1992 00:00:00   ;   700,93 ;     
01.01.1993 00:00:00   ;   700,75 ;     
01.02.1993 00:00:00   ;   699,94 ;     
01.03.1993 00:00:00   ;   699,66 ;     
01.04.1993 00:00:00   ;   700,78 ;     
01.05.1993 00:00:00   ;   700,30 ;     
01.06.1993 00:00:00   ;   700,47 ;     
01.07.1993 00:00:00   ;   700,79 ;     
01.08.1993 00:00:00   ;   700,88 ;     
01.09.1993 00:00:00   ;   700,84 ;     
01.10.1993 00:00:00   ;   700,61 ;     
01.11.1993 00:00:00   ;   699,78 ;     
01.12.1993 00:00:00   ;   699,86 ;     
01.01.1994 00:00:00   ;   700,37 ;     
01.02.1994 00:00:00   ;   699,92 ;     
01.03.1994 00:00:00   ;   700,79 ;     
01.04.1994 00:00:00   ;   700,84 ;     
01.05.1994 00:00:00   ;   700,90 ;     
01.06.1994 00:00:00   ;   700,69 ;     
01.07.1994 00:00:00   ;   699,64 ;     
