Messstelle:                ;Wartberg, Br  2989 (318337)
HZB-Nummer:                ;333005
HD-Nummer:                 ;uw2989
DBMS-Nummer:               ;6002703
PorenGW-Gebiet:            ;375 Mürztal
Grundwasserkörper:         ;Mürz [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1988
 Geländehöhe:              ;580,28
 Messpunkthöhe:            ;580,58
 Sohllage:                 ;577,08
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 29 54                 ;47 31 41
  01.01.1988               ;15 29 52                 ;47 31 40
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1988 bis -> FG49 durch Wehranlage zeitweise beeinflusst
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1988 00:00:00   ;   578,60 ;     
01.02.1988 00:00:00   ;   578,54 ;     
01.03.1988 00:00:00   ;   578,61 ;     
01.04.1988 00:00:00   ;   578,98 ;     
01.05.1988 00:00:00   ;   578,89 ;     
01.06.1988 00:00:00   ;   578,81 ;     
01.07.1988 00:00:00   ;   578,63 ;     
01.08.1988 00:00:00   ;   578,60 ;     
01.09.1988 00:00:00   ;   578,65 ;     
01.10.1988 00:00:00   ;   578,34 ;     
01.11.1988 00:00:00   ;   578,48 ;     
01.12.1988 00:00:00   ;   578,56 ;     
01.01.1989 00:00:00   ;   578,52 ;     
01.02.1989 00:00:00   ;   578,55 ;     
01.03.1989 00:00:00   ;   578,67 ;     
01.04.1989 00:00:00   ;   578,72 ;     
01.05.1989 00:00:00   ;   578,75 ;     
01.06.1989 00:00:00   ;   578,77 ;     
01.07.1989 00:00:00   ;   578,93 ;     
01.08.1989 00:00:00   ;   578,91 ;     
01.09.1989 00:00:00   ;   578,89 ;     
01.10.1989 00:00:00   ;   578,83 ;     
01.11.1989 00:00:00   ;   578,59 ;     
01.12.1989 00:00:00   ;   578,46 ;     
01.01.1990 00:00:00   ;   578,41 ;     
01.02.1990 00:00:00   ;   578,42 ;     
01.03.1990 00:00:00   ;   578,69 ;     
01.04.1990 00:00:00   ;   578,66 ;     
01.05.1990 00:00:00   ;   578,59 ;     
01.06.1990 00:00:00   ;   578,64 ;     
01.07.1990 00:00:00   ;   578,73 ;     
01.08.1990 00:00:00   ;   578,60 ;     
01.09.1990 00:00:00   ;   578,63 ;     
01.10.1990 00:00:00   ;   578,59 ;     
01.11.1990 00:00:00   ;   578,58 ;     
01.12.1990 00:00:00   ;   578,54 ;     
01.01.1991 00:00:00   ;   578,48 ;     
01.02.1991 00:00:00   ;   578,41 ;     
01.03.1991 00:00:00   ;   578,49 ;     
01.04.1991 00:00:00   ;   578,46 ;     
01.05.1991 00:00:00   ;   578,69 ;     
01.06.1991 00:00:00   ;   578,71 ;     
01.07.1991 00:00:00   ;   578,91 ;     
01.08.1991 00:00:00   ;   579,21 ;     
01.09.1991 00:00:00   ;   578,72 ;     
01.10.1991 00:00:00   ;   578,63 ;     
01.11.1991 00:00:00   ;   578,49 ;     
01.12.1991 00:00:00   ;   578,60 ;     
01.01.1992 00:00:00   ;   578,36 ;     
01.02.1992 00:00:00   ;   578,65 ;     
01.03.1992 00:00:00   ;   578,74 ;     
01.04.1992 00:00:00   ;   578,96 ;     
01.05.1992 00:00:00   ;   578,96 ;     
01.06.1992 00:00:00   ;   578,84 ;     
01.07.1992 00:00:00   ;   578,66 ;     
01.08.1992 00:00:00   ;   578,59 ;     
01.09.1992 00:00:00   ;   578,53 ;     
01.10.1992 00:00:00   ;   578,56 ;     
01.11.1992 00:00:00   ;   578,82 ;     
01.12.1992 00:00:00   ;   578,83 ;     
01.01.1993 00:00:00   ;   578,59 ;     
01.02.1993 00:00:00   ;   578,57 ;     
01.03.1993 00:00:00   ;   578,64 ;     
01.04.1993 00:00:00   ;   578,85 ;     
01.05.1993 00:00:00   ;   578,71 ;     
01.06.1993 00:00:00   ;   578,59 ;     
01.07.1993 00:00:00   ;   578,83 ;     
01.08.1993 00:00:00   ;   578,72 ;     
01.09.1993 00:00:00   ;   578,62 ;     
01.10.1993 00:00:00   ;   578,85 ;     
01.11.1993 00:00:00   ;   578,63 ;     
01.12.1993 00:00:00   ;   578,49 ;     
01.01.1994 00:00:00   ;   578,52 ;     
01.02.1994 00:00:00   ;   578,46 ;     
01.03.1994 00:00:00   ;   578,55 ;     
01.04.1994 00:00:00   ;   578,70 ;     
01.05.1994 00:00:00   ;   578,62 ;     
01.06.1994 00:00:00   ;   578,60 ;     
01.07.1994 00:00:00   ;   578,39 ;     
01.08.1994 00:00:00   ;   578,54 ;     
01.09.1994 00:00:00   ;   578,50 ;     
01.10.1994 00:00:00   ;   578,43 ;     
01.11.1994 00:00:00   ;   578,41 ;     
01.12.1994 00:00:00   ;   578,39 ;     
01.01.1995 00:00:00   ;   578,34 ;     
01.02.1995 00:00:00   ;   578,39 ;     
01.03.1995 00:00:00   ;   578,47 ;     
01.04.1995 00:00:00   ;   578,81 ;     
01.05.1995 00:00:00   ;   578,66 ;     
01.06.1995 00:00:00   ;   578,60 ;     
01.07.1995 00:00:00   ;   578,48 ;     
01.08.1995 00:00:00   ;   578,44 ;     
01.09.1995 00:00:00   ;   578,51 ;     
01.10.1995 00:00:00   ;   578,42 ;     
01.11.1995 00:00:00   ;   578,39 ;     
01.12.1995 00:00:00   ;   578,34 ;     
01.01.1996 00:00:00   ;   578,31 ;     
01.02.1996 00:00:00   ;   578,28 ;     
01.03.1996 00:00:00   ;   578,33 ;     
01.04.1996 00:00:00   ;   578,79 ;     
01.05.1996 00:00:00   ;   579,12 ;     
01.06.1996 00:00:00   ;   578,66 ;     
01.07.1996 00:00:00   ;   578,68 ;     
01.08.1996 00:00:00   ;   578,55 ;     
01.09.1996 00:00:00   ;   578,84 ;     
01.10.1996 00:00:00   ;   578,95 ;     
01.11.1996 00:00:00   ;   578,37 ;     
01.12.1996 00:00:00   ;   578,33 ;     
01.01.1997 00:00:00   ;   578,49 ;     
01.02.1997 00:00:00   ;   578,45 ;     
01.03.1997 00:00:00   ;   578,77 ;     
01.04.1997 00:00:00   ;   578,91 ;     
01.05.1997 00:00:00   ;   579,00 ;     
01.06.1997 00:00:00   ;   578,83 ;     
01.07.1997 00:00:00   ;   579,19 ;     
01.08.1997 00:00:00   ;   578,88 ;     
01.09.1997 00:00:00   ;   578,63 ;     
01.10.1997 00:00:00   ;   578,55 ;     
01.11.1997 00:00:00   ;   578,37 ;     
01.12.1997 00:00:00   ;   578,54 ;     
01.01.1998 00:00:00   ;   578,48 ;     
01.02.1998 00:00:00   ;   578,46 ;     
01.03.1998 00:00:00   ;   578,49 ;     
01.04.1998 00:00:00   ;   578,74 ;     
01.05.1998 00:00:00   ;   578,66 ;     
01.06.1998 00:00:00   ;   578,59 ;     
01.07.1998 00:00:00   ;   578,68 ;     
01.08.1998 00:00:00   ;   578,62 ;     
01.09.1998 00:00:00   ;   578,74 ;     
01.10.1998 00:00:00   ;   578,67 ;     
01.11.1998 00:00:00   ;   578,64 ;     
01.12.1998 00:00:00   ;   578,54 ;     
01.01.1999 00:00:00   ;   578,49 ;     
01.02.1999 00:00:00   ;   578,46 ;     
01.03.1999 00:00:00   ;   578,61 ;     
01.04.1999 00:00:00   ;   578,76 ;     
01.05.1999 00:00:00   ;   578,78 ;     
01.06.1999 00:00:00   ;   578,73 ;     
01.07.1999 00:00:00   ;   578,71 ;     
01.08.1999 00:00:00   ;   578,92 ;     
01.09.1999 00:00:00   ;   578,83 ;     
01.10.1999 00:00:00   ;   578,31 ;     
01.11.1999 00:00:00   ;   577,86 ;     
01.12.1999 00:00:00   ;   577,90 ;     
01.01.2000 00:00:00   ;   578,32 ;     
01.02.2000 00:00:00   ;   578,46 ;     
01.03.2000 00:00:00   ;   578,82 ;     
01.04.2000 00:00:00   ;   579,21 ;     
01.05.2000 00:00:00   ;   578,83 ;     
01.06.2000 00:00:00   ;   578,57 ;     
