Messstelle:                ;Kotzendorf, Bl 445
HZB-Nummer:                ;337246
HD-Nummer:                 ;
DBMS-Nummer:               ;3002914
PorenGW-Gebiet:            ;201 Horner Becken
Grundwasserkörper:         ;Gruppe Böhmische Masse [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;11.03.2019
 Geländehöhe:              ;284,02
 Messpunkthöhe:            ;284,02
 Sohllage:                 ;279,02
 T-Messtiefe u.GOK:        ;4,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2019               ;15 42 42                 ;48 35 32
  01.06.1993               ;15 42 43                 ;48 35 33
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.06.1993 00:00:00   ;   282,33 ;     
01.07.1993 00:00:00   ;   282,33 ;     
01.08.1993 00:00:00   ;   282,23 ;     
01.09.1993 00:00:00   ;   282,31 ;     
01.10.1993 00:00:00   ;   282,35 ;     
01.11.1993 00:00:00   ;   282,59 ;     
01.12.1993 00:00:00   ;   282,66 ;     
01.01.1994 00:00:00   ;   282,62 ;     
01.02.1994 00:00:00   ;   282,51 ;     
01.03.1994 00:00:00   ;   282,49 ;     
01.04.1994 00:00:00   ;   282,63 ;     
01.05.1994 00:00:00   ;   282,53 ;     
01.06.1994 00:00:00   ;   282,38 ;     
01.07.1994 00:00:00   ;   282,11 ;     
01.08.1994 00:00:00   ;   281,89 ;     
01.09.1994 00:00:00   ;   281,84 ;     
01.10.1994 00:00:00   ;   281,83 ;     
01.11.1994 00:00:00   ;   282,06 ;     
01.12.1994 00:00:00   ;   282,29 ;     
01.01.1995 00:00:00   ;   282,44 ;     
01.02.1995 00:00:00   ;   282,55 ;     
01.03.1995 00:00:00   ;   282,64 ;     
01.04.1995 00:00:00   ;   282,54 ;     
01.05.1995 00:00:00   ;   282,44 ;     
01.06.1995 00:00:00   ;   282,51 ;     
01.07.1995 00:00:00   ;   282,29 ;     
01.08.1995 00:00:00   ;   282,10 ;     
01.09.1995 00:00:00   ;   282,41 ;     
01.10.1995 00:00:00   ;   282,54 ;     
01.11.1995 00:00:00   ;   282,57 ;     
01.12.1995 00:00:00   ;   282,80 ;     
01.01.1996 00:00:00   ;   282,70 ;     
01.02.1996 00:00:00   ;   282,66 ;     
01.03.1996 00:00:00   ;   282,82 ;     
01.04.1996 00:00:00   ;   282,90 ;     
01.05.1996 00:00:00   ;   283,03 ;     
01.06.1996 00:00:00   ;   282,59 ;     
01.07.1996 00:00:00   ;   282,63 ;     
01.08.1996 00:00:00   ;   282,46 ;     
01.09.1996 00:00:00   ;   282,52 ;     
01.10.1996 00:00:00   ;   282,60 ;     
01.11.1996 00:00:00   ;   282,57 ;     
01.12.1996 00:00:00   ;   282,61 ;     
01.01.1997 00:00:00   ;   282,52 ;     
01.02.1997 00:00:00   ;   282,74 ;     
01.03.1997 00:00:00   ;   282,73 ;     
01.04.1997 00:00:00   ;   282,68 ;     
01.05.1997 00:00:00   ;   282,49 ;     
01.06.1997 00:00:00   ;   282,50 ;     
01.07.1997 00:00:00   ;   282,61 ;     
01.08.1997 00:00:00   ;   282,62 ;     
01.09.1997 00:00:00   ;   282,51 ;     
01.10.1997 00:00:00   ;   282,41 ;     
01.11.1997 00:00:00   ;   282,56 ;     
01.12.1997 00:00:00   ;   282,83 ;     
01.01.1998 00:00:00   ;   282,62 ;     
01.02.1998 00:00:00   ;   282,53 ;     
01.03.1998 00:00:00   ;   282,47 ;     
01.04.1998 00:00:00   ;   282,42 ;     
01.05.1998 00:00:00   ;   282,36 ;     
01.06.1998 00:00:00   ;   282,39 ;     
01.07.1998 00:00:00   ;   282,46 ;     
01.08.1998 00:00:00   ;   282,37 ;     
01.09.1998 00:00:00   ;   282,40 ;     
01.10.1998 00:00:00   ;   282,44 ;     
01.11.1998 00:00:00   ;   282,58 ;     
01.12.1998 00:00:00   ;   282,46 ;     
01.01.1999 00:00:00   ;   282,48 ;     
01.02.1999 00:00:00   ;   282,56 ;     
01.03.1999 00:00:00   ;   282,56 ;     
01.04.1999 00:00:00   ;   282,47 ;     
01.05.1999 00:00:00   ;   282,48 ;     
01.06.1999 00:00:00   ;   282,42 ;     
01.07.1999 00:00:00   ;   282,61 ;     
01.08.1999 00:00:00   ;   282,39 ;     
01.09.1999 00:00:00   ;   282,33 ;     
01.10.1999 00:00:00   ;   282,30 ;     
01.11.1999 00:00:00   ;   282,34 ;     
01.12.1999 00:00:00   ;   282,40 ;     
01.01.2000 00:00:00   ;   282,53 ;     
01.02.2000 00:00:00   ;   282,56 ;     
01.03.2000 00:00:00   ;   282,41 ;     
01.04.2000 00:00:00   ;   282,32 ;     
01.05.2000 00:00:00   ;   282,25 ;     
01.06.2000 00:00:00   ;   282,21 ;     
01.07.2000 00:00:00   ;   282,17 ;     
01.08.2000 00:00:00   ;   282,16 ;     
01.09.2000 00:00:00   ;   282,21 ;     
01.10.2000 00:00:00   ;   282,30 ;     
01.11.2000 00:00:00   ;   282,40 ;     
01.12.2000 00:00:00   ;   282,48 ;     
01.01.2001 00:00:00   ;   282,55 ;     
01.02.2001 00:00:00   ;   282,53 ;     
01.03.2001 00:00:00   ;   282,49 ;     
01.04.2001 00:00:00   ;   282,66 ;     
01.05.2001 00:00:00   ;   282,51 ;     
01.06.2001 00:00:00   ;   282,31 ;     
01.07.2001 00:00:00   ;   282,19 ;     
01.08.2001 00:00:00   ;   282,25 ;     
01.09.2001 00:00:00   ;   282,32 ;     
01.10.2001 00:00:00   ;   282,22 ;     
01.11.2001 00:00:00   ;   282,15 ;     
01.12.2001 00:00:00   ;   282,23 ;     
01.01.2002 00:00:00   ;   282,18 ;     
01.02.2002 00:00:00   ;   282,22 ;     
01.03.2002 00:00:00   ;   282,30 ;     
01.04.2002 00:00:00   ;   282,27 ;     
01.05.2002 00:00:00   ;   282,13 ;     
01.06.2002 00:00:00   ;   282,40 ;     
01.07.2002 00:00:00   ;   282,22 ;     
01.08.2002 00:00:00   ;   282,78 ;     
01.09.2002 00:00:00   ;   282,38 ;     
01.10.2002 00:00:00   ;   282,51 ;     
01.11.2002 00:00:00   ;   282,46 ;     
01.12.2002 00:00:00   ;   282,52 ;     
01.01.2003 00:00:00   ;   282,51 ;     
01.02.2003 00:00:00   ;   282,42 ;     
01.03.2003 00:00:00   ;   282,32 ;     
01.04.2003 00:00:00   ;   282,14 ;     
01.05.2003 00:00:00   ;   282,17 ;     
01.06.2003 00:00:00   ;   282,10 ;     
01.07.2003 00:00:00   ;   281,98 ;     
01.08.2003 00:00:00   ;   281,90 ;     
01.09.2003 00:00:00   ;   281,98 ;     
01.10.2003 00:00:00   ;   282,20 ;     
01.11.2003 00:00:00   ;   282,19 ;     
01.12.2003 00:00:00   ;   282,17 ;     
01.01.2004 00:00:00   ;   282,44 ;     
01.02.2004 00:00:00   ;   282,52 ;     
01.03.2004 00:00:00   ;   282,45 ;     
01.04.2004 00:00:00   ;   282,49 ;     
01.05.2004 00:00:00   ;   282,38 ;     
01.06.2004 00:00:00   ;   282,62 ;     
01.07.2004 00:00:00   ;   282,57 ;     
01.08.2004 00:00:00   ;   282,17 ;     
01.09.2004 00:00:00   ;   282,18 ;     
01.10.2004 00:00:00   ;   282,21 ;     
01.11.2004 00:00:00   ;   282,30 ;     
01.12.2004 00:00:00   ;   282,20 ;     
01.01.2005 00:00:00   ;   282,14 ;     
01.02.2005 00:00:00   ;   282,17 ;     
01.03.2005 00:00:00   ;   282,34 ;     
01.04.2005 00:00:00   ;   282,28 ;     
01.05.2005 00:00:00   ;   282,32 ;     
01.06.2005 00:00:00   ;   282,28 ;     
01.07.2005 00:00:00   ;   282,38 ;     
01.08.2005 00:00:00   ;   282,50 ;     
01.09.2005 00:00:00   ;   282,63 ;     
01.10.2005 00:00:00   ;   282,48 ;     
01.11.2005 00:00:00   ;   282,29 ;     
01.12.2005 00:00:00   ;   282,27 ;     
01.01.2006 00:00:00   ;   282,24 ;     
01.02.2006 00:00:00   ;   282,29 ;     
01.03.2006 00:00:00   ;   282,63 ;     
01.04.2006 00:00:00   ;   282,62 ;     
01.05.2006 00:00:00   ;   282,55 ;     
01.06.2006 00:00:00   ;   282,57 ;     
01.07.2006 00:00:00   ;   282,29 ;     
01.08.2006 00:00:00   ;   282,50 ;     
01.09.2006 00:00:00   ;   282,20 ;     
01.10.2006 00:00:00   ;   282,09 ;     
01.11.2006 00:00:00   ;   282,05 ;     
01.12.2006 00:00:00   ;   282,03 ;     
