Messstelle:                ;Muschk, Br 204
HZB-Nummer:                ;338830
HD-Nummer:                 ;
DBMS-Nummer:               ;2002143
PorenGW-Gebiet:            ;437 Krappfeld-Hauptstockwerk
Grundwasserkörper:         ;Krappfeld [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.01.1988
 Geländehöhe:              ;556,40
 Messpunkthöhe:            ;556,80
 Sohllage:                 ;537,80
 T-Messtiefe u.GOK:        ;18,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  07.01.1988               ;14 27 17                 ;46 48 30
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.04.1988 00:00:00   ;   538,75 ;     
01.05.1988 00:00:00   ;   539,06 ;     
01.06.1988 00:00:00   ;   539,13 ;     
01.07.1988 00:00:00   ;   539,05 ;     
01.08.1988 00:00:00   ;   538,97 ;     
01.09.1988 00:00:00   ;   539,05 ;     
01.10.1988 00:00:00   ;   539,08 ;     
01.11.1988 00:00:00   ;   538,92 ;     
01.12.1988 00:00:00   ;Lücke     ;     
01.01.1989 00:00:00   ;Lücke     ;     
01.02.1989 00:00:00   ;   538,39 ;     
01.03.1989 00:00:00   ;   538,38 ;     
01.04.1989 00:00:00   ;   538,44 ;     
01.05.1989 00:00:00   ;   538,56 ;     
01.06.1989 00:00:00   ;   538,54 ;     
01.07.1989 00:00:00   ;   538,88 ;     
01.08.1989 00:00:00   ;   538,95 ;     
01.09.1989 00:00:00   ;   539,01 ;     
01.10.1989 00:00:00   ;   538,96 ;     
01.11.1989 00:00:00   ;   538,79 ;     
01.12.1989 00:00:00   ;   538,56 ;     
01.01.1990 00:00:00   ;   538,43 ;     
01.02.1990 00:00:00   ;   538,39 ;     
01.03.1990 00:00:00   ;   538,39 ;     
01.04.1990 00:00:00   ;   538,47 ;     
01.05.1990 00:00:00   ;   538,57 ;     
01.06.1990 00:00:00   ;   538,64 ;     
01.07.1990 00:00:00   ;   538,95 ;     
01.08.1990 00:00:00   ;   538,91 ;     
01.09.1990 00:00:00   ;   538,75 ;     
01.10.1990 00:00:00   ;Lücke     ;     
01.11.1990 00:00:00   ;Lücke     ;     
01.12.1990 00:00:00   ;Lücke     ;     
01.01.1991 00:00:00   ;Lücke     ;     
01.02.1991 00:00:00   ;Lücke     ;     
01.03.1991 00:00:00   ;Lücke     ;     
01.04.1991 00:00:00   ;Lücke     ;     
01.05.1991 00:00:00   ;Lücke     ;     
01.06.1991 00:00:00   ;Lücke     ;     
01.07.1991 00:00:00   ;Lücke     ;     
01.08.1991 00:00:00   ;Lücke     ;     
01.09.1991 00:00:00   ;Lücke     ;     
01.10.1991 00:00:00   ;Lücke     ;     
01.11.1991 00:00:00   ;Lücke     ;     
01.12.1991 00:00:00   ;Lücke     ;     
01.01.1992 00:00:00   ;Lücke     ;     
01.02.1992 00:00:00   ;Lücke     ;     
01.03.1992 00:00:00   ;Lücke     ;     
01.04.1992 00:00:00   ;Lücke     ;     
01.05.1992 00:00:00   ;Lücke     ;     
01.06.1992 00:00:00   ;Lücke     ;     
01.07.1992 00:00:00   ;Lücke     ;     
01.08.1992 00:00:00   ;Lücke     ;     
01.09.1992 00:00:00   ;Lücke     ;     
01.10.1992 00:00:00   ;Lücke     ;     
01.11.1992 00:00:00   ;Lücke     ;     
01.12.1992 00:00:00   ;   539,22 ;     
01.01.1993 00:00:00   ;   540,01 ;     
01.02.1993 00:00:00   ;   539,38 ;     
01.03.1993 00:00:00   ;   538,94 ;     
01.04.1993 00:00:00   ;   538,76 ;     
01.05.1993 00:00:00   ;   538,73 ;     
01.06.1993 00:00:00   ;   538,75 ;     
01.07.1993 00:00:00   ;   538,83 ;     
01.08.1993 00:00:00   ;   539,00 ;     
01.09.1993 00:00:00   ;   538,94 ;     
01.10.1993 00:00:00   ;   539,50 ;     
01.11.1993 00:00:00   ;   540,30 ;     
01.12.1993 00:00:00   ;   539,68 ;     
01.01.1994 00:00:00   ;   539,32 ;     
01.02.1994 00:00:00   ;   539,16 ;     
01.03.1994 00:00:00   ;   539,14 ;     
01.04.1994 00:00:00   ;   539,17 ;     
01.05.1994 00:00:00   ;   539,24 ;     
01.06.1994 00:00:00   ;   539,21 ;     
01.07.1994 00:00:00   ;   539,22 ;     
01.08.1994 00:00:00   ;   539,23 ;     
01.09.1994 00:00:00   ;   539,34 ;     
01.10.1994 00:00:00   ;   539,28 ;     
01.11.1994 00:00:00   ;   539,21 ;     
01.12.1994 00:00:00   ;   539,09 ;     
01.01.1995 00:00:00   ;   538,92 ;     
01.02.1995 00:00:00   ;   538,84 ;     
01.03.1995 00:00:00   ;   538,91 ;     
01.04.1995 00:00:00   ;   539,17 ;     
01.05.1995 00:00:00   ;   539,34 ;     
01.06.1995 00:00:00   ;   539,49 ;     
01.07.1995 00:00:00   ;   539,64 ;     
01.08.1995 00:00:00   ;   539,47 ;     
01.09.1995 00:00:00   ;   539,31 ;     
01.10.1995 00:00:00   ;   539,23 ;     
01.11.1995 00:00:00   ;   539,04 ;     
01.12.1995 00:00:00   ;   538,86 ;     
01.01.1996 00:00:00   ;   538,77 ;     
01.02.1996 00:00:00   ;   538,67 ;     
01.03.1996 00:00:00   ;   538,63 ;     
01.04.1996 00:00:00   ;   538,88 ;     
01.05.1996 00:00:00   ;   539,21 ;     
01.06.1996 00:00:00   ;   539,27 ;     
01.07.1996 00:00:00   ;   539,43 ;     
01.08.1996 00:00:00   ;   539,39 ;     
01.09.1996 00:00:00   ;   539,29 ;     
01.10.1996 00:00:00   ;   539,53 ;     
01.11.1996 00:00:00   ;   539,70 ;     
01.12.1996 00:00:00   ;   539,74 ;     
01.01.1997 00:00:00   ;   539,44 ;     
01.02.1997 00:00:00   ;   539,20 ;     
01.03.1997 00:00:00   ;   539,12 ;     
01.04.1997 00:00:00   ;   539,02 ;     
01.05.1997 00:00:00   ;   539,02 ;     
01.06.1997 00:00:00   ;   539,06 ;     
01.07.1997 00:00:00   ;   539,14 ;     
01.08.1997 00:00:00   ;   539,17 ;     
01.09.1997 00:00:00   ;   539,08 ;     
01.10.1997 00:00:00   ;   538,92 ;     
01.11.1997 00:00:00   ;   538,78 ;     
01.12.1997 00:00:00   ;   538,69 ;     
01.01.1998 00:00:00   ;   538,64 ;     
01.02.1998 00:00:00   ;   538,56 ;     
01.03.1998 00:00:00   ;   538,55 ;     
01.04.1998 00:00:00   ;   538,57 ;     
01.05.1998 00:00:00   ;   538,72 ;     
01.06.1998 00:00:00   ;   538,72 ;     
01.07.1998 00:00:00   ;   538,79 ;     
01.08.1998 00:00:00   ;   538,84 ;     
01.09.1998 00:00:00   ;   539,03 ;     
01.10.1998 00:00:00   ;   539,38 ;     
01.11.1998 00:00:00   ;   539,46 ;     
01.12.1998 00:00:00   ;   539,21 ;     
01.01.1999 00:00:00   ;   538,95 ;     
01.02.1999 00:00:00   ;   538,77 ;     
01.03.1999 00:00:00   ;   538,74 ;     
01.04.1999 00:00:00   ;   538,78 ;     
01.05.1999 00:00:00   ;   538,95 ;     
01.06.1999 00:00:00   ;   539,04 ;     
01.07.1999 00:00:00   ;   539,05 ;     
01.08.1999 00:00:00   ;   539,21 ;     
01.09.1999 00:00:00   ;   539,55 ;     
01.10.1999 00:00:00   ;   539,44 ;     
01.11.1999 00:00:00   ;   539,20 ;     
01.12.1999 00:00:00   ;   538,95 ;     
01.01.2000 00:00:00   ;   538,78 ;     
01.02.2000 00:00:00   ;   538,68 ;     
01.03.2000 00:00:00   ;   538,63 ;     
01.04.2000 00:00:00   ;   538,81 ;     
01.05.2000 00:00:00   ;   539,02 ;     
01.06.2000 00:00:00   ;   539,00 ;     
01.07.2000 00:00:00   ;   538,98 ;     
01.08.2000 00:00:00   ;   539,00 ;     
01.09.2000 00:00:00   ;   538,89 ;     
01.10.2000 00:00:00   ;   539,06 ;     
01.11.2000 00:00:00   ;   539,55 ;     
01.12.2000 00:00:00   ;   540,07 ;     
01.01.2001 00:00:00   ;   539,70 ;     
01.02.2001 00:00:00   ;   539,49 ;     
01.03.2001 00:00:00   ;   539,31 ;     
01.04.2001 00:00:00   ;   539,29 ;     
01.05.2001 00:00:00   ;   539,44 ;     
01.06.2001 00:00:00   ;   539,38 ;     
01.07.2001 00:00:00   ;   539,28 ;     
01.08.2001 00:00:00   ;   539,20 ;     
01.09.2001 00:00:00   ;   539,11 ;     
01.10.2001 00:00:00   ;   539,08 ;     
01.11.2001 00:00:00   ;   538,93 ;     
01.12.2001 00:00:00   ;   538,76 ;     
01.01.2002 00:00:00   ;   538,65 ;     
01.02.2002 00:00:00   ;   538,63 ;     
01.03.2002 00:00:00   ;   538,62 ;     
01.04.2002 00:00:00   ;   538,63 ;     
01.05.2002 00:00:00   ;   538,73 ;     
01.06.2002 00:00:00   ;   538,79 ;     
01.07.2002 00:00:00   ;   538,80 ;     
01.08.2002 00:00:00   ;   539,10 ;     
01.09.2002 00:00:00   ;   539,13 ;     
01.10.2002 00:00:00   ;   539,01 ;     
01.11.2002 00:00:00   ;   538,95 ;     
01.12.2002 00:00:00   ;   539,00 ;     
01.01.2003 00:00:00   ;   538,83 ;     
01.02.2003 00:00:00   ;   538,64 ;     
01.03.2003 00:00:00   ;   538,51 ;     
01.04.2003 00:00:00   ;   538,44 ;     
01.05.2003 00:00:00   ;   538,45 ;     
01.06.2003 00:00:00   ;   538,56 ;     
01.07.2003 00:00:00   ;   538,60 ;     
01.08.2003 00:00:00   ;   538,55 ;     
01.09.2003 00:00:00   ;   538,59 ;     
01.10.2003 00:00:00   ;   538,58 ;     
01.11.2003 00:00:00   ;   538,62 ;     
01.12.2003 00:00:00   ;   538,63 ;     
01.01.2004 00:00:00   ;   538,49 ;     
01.02.2004 00:00:00   ;   538,37 ;     
01.03.2004 00:00:00   ;   538,36 ;     
01.04.2004 00:00:00   ;   538,55 ;     
01.05.2004 00:00:00   ;   538,71 ;     
01.06.2004 00:00:00   ;   538,92 ;     
01.07.2004 00:00:00   ;   539,62 ;     
01.08.2004 00:00:00   ;   539,47 ;     
01.09.2004 00:00:00   ;   539,29 ;     
01.10.2004 00:00:00   ;   539,13 ;     
01.11.2004 00:00:00   ;   539,08 ;     
01.12.2004 00:00:00   ;   538,91 ;     
01.01.2005 00:00:00   ;   538,74 ;     
01.02.2005 00:00:00   ;   538,60 ;     
01.03.2005 00:00:00   ;   538,53 ;     
01.04.2005 00:00:00   ;   538,62 ;     
01.05.2005 00:00:00   ;   538,76 ;     
01.06.2005 00:00:00   ;   538,75 ;     
01.07.2005 00:00:00   ;   539,04 ;     
01.08.2005 00:00:00   ;   539,51 ;     
01.09.2005 00:00:00   ;   540,31 ;     
01.10.2005 00:00:00   ;   540,40 ;     
01.11.2005 00:00:00   ;   539,84 ;     
01.12.2005 00:00:00   ;   539,31 ;     
01.01.2006 00:00:00   ;   539,02 ;     
01.02.2006 00:00:00   ;   538,86 ;     
01.03.2006 00:00:00   ;   538,80 ;     
01.04.2006 00:00:00   ;   539,11 ;     
01.05.2006 00:00:00   ;   539,46 ;     
01.06.2006 00:00:00   ;   539,60 ;     
01.07.2006 00:00:00   ;   539,33 ;     
01.08.2006 00:00:00   ;   539,19 ;     
01.09.2006 00:00:00   ;   539,13 ;     
01.10.2006 00:00:00   ;   538,99 ;     
01.11.2006 00:00:00   ;   538,86 ;     
01.12.2006 00:00:00   ;   538,76 ;     
01.01.2007 00:00:00   ;   538,64 ;     
01.02.2007 00:00:00   ;   538,56 ;     
01.03.2007 00:00:00   ;   538,55 ;     
01.04.2007 00:00:00   ;   538,67 ;     
01.05.2007 00:00:00   ;   538,70 ;     
01.06.2007 00:00:00   ;   538,81 ;     
01.07.2007 00:00:00   ;   538,96 ;     
01.08.2007 00:00:00   ;   538,83 ;     
01.09.2007 00:00:00   ;   538,78 ;     
01.10.2007 00:00:00   ;   538,77 ;     
01.11.2007 00:00:00   ;   538,61 ;     
01.12.2007 00:00:00   ;   538,48 ;     
01.01.2008 00:00:00   ;   538,36 ;     
01.02.2008 00:00:00   ;   538,28 ;     
01.03.2008 00:00:00   ;   538,22 ;     
01.04.2008 00:00:00   ;   538,23 ;     
01.05.2008 00:00:00   ;   538,35 ;     
01.06.2008 00:00:00   ;   538,81 ;     
01.07.2008 00:00:00   ;   539,05 ;     
01.08.2008 00:00:00   ;   538,99 ;     
01.09.2008 00:00:00   ;   538,93 ;     
01.10.2008 00:00:00   ;   538,73 ;     
01.11.2008 00:00:00   ;   538,65 ;     
01.12.2008 00:00:00   ;   538,67 ;     
01.01.2009 00:00:00   ;   539,01 ;     
01.02.2009 00:00:00   ;   538,89 ;     
01.03.2009 00:00:00   ;   538,67 ;     
01.04.2009 00:00:00   ;   539,13 ;     
01.05.2009 00:00:00   ;   539,54 ;     
01.06.2009 00:00:00   ;   539,22 ;     
01.07.2009 00:00:00   ;   539,16 ;     
01.08.2009 00:00:00   ;   539,16 ;     
01.09.2009 00:00:00   ;   539,27 ;     
01.10.2009 00:00:00   ;   539,27 ;     
01.11.2009 00:00:00   ;   539,00 ;     
01.12.2009 00:00:00   ;   538,95 ;     
