Messstelle:                ;Hötting, Blt 27
HZB-Nummer:                ;339994
HD-Nummer:                 ;
DBMS-Nummer:               ;7002265
Fremdnummer:               ;GW70101178
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;26.07.2023
 Geländehöhe:              ;575,21
 Messpunkthöhe:            ;576,57
 Sohllage:                 ;546,50
 T-Messtiefe u.GOK:        ;10,05
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.12.1993               ;11 22 11                 ;47 15 37
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2016 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
  2018 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
  2019 HG29 Daten zeitweise wegen zu großer Beeinflussung nicht auswertbar
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.12.1993 00:00:00   ;   572,68 ;     
01.01.1994 00:00:00   ;   572,67 ;     
01.02.1994 00:00:00   ;   572,68 ;     
01.03.1994 00:00:00   ;   572,74 ;     
01.04.1994 00:00:00   ;   572,77 ;     
01.05.1994 00:00:00   ;   573,12 ;     
01.06.1994 00:00:00   ;   573,50 ;     
01.07.1994 00:00:00   ;   573,56 ;     
01.08.1994 00:00:00   ;   573,34 ;     
01.09.1994 00:00:00   ;   573,29 ;     
01.10.1994 00:00:00   ;   572,95 ;     
01.11.1994 00:00:00   ;   572,71 ;     
01.12.1994 00:00:00   ;   572,47 ;     
01.01.1995 00:00:00   ;   572,39 ;     
01.02.1995 00:00:00   ;   572,40 ;     
01.03.1995 00:00:00   ;   572,55 ;     
01.04.1995 00:00:00   ;   572,77 ;     
01.05.1995 00:00:00   ;   573,11 ;     
01.06.1995 00:00:00   ;   573,55 ;     
01.07.1995 00:00:00   ;   573,82 ;     
01.08.1995 00:00:00   ;   573,39 ;     
01.09.1995 00:00:00   ;   573,26 ;     
01.10.1995 00:00:00   ;   572,92 ;     
01.11.1995 00:00:00   ;   572,73 ;     
01.12.1995 00:00:00   ;   572,64 ;     
01.01.1996 00:00:00   ;   572,53 ;     
01.02.1996 00:00:00   ;   572,52 ;     
01.03.1996 00:00:00   ;   572,43 ;     
01.04.1996 00:00:00   ;   572,48 ;     
01.05.1996 00:00:00   ;   572,91 ;     
01.06.1996 00:00:00   ;   573,35 ;     
01.07.1996 00:00:00   ;   573,32 ;     
01.08.1996 00:00:00   ;   573,28 ;     
01.09.1996 00:00:00   ;   573,13 ;     
01.10.1996 00:00:00   ;   572,98 ;     
01.11.1996 00:00:00   ;   572,93 ;     
01.12.1996 00:00:00   ;   572,79 ;     
01.01.1997 00:00:00   ;   572,72 ;     
01.02.1997 00:00:00   ;   572,66 ;     
01.03.1997 00:00:00   ;   572,72 ;     
01.04.1997 00:00:00   ;   572,72 ;     
01.05.1997 00:00:00   ;   572,88 ;     
01.06.1997 00:00:00   ;   573,54 ;     
