Messstelle:                ;Krottendorf, Br  4218
HZB-Nummer:                ;340141
HD-Nummer:                 ;uw4218
DBMS-Nummer:               ;6002820
PorenGW-Gebiet:            ;383 Lassnitztal
Grundwasserkörper:         ;Lassnitz, Stainzbach [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;30.05.2018
 Geländehöhe:              ;320,98
 Messpunkthöhe:            ;321,48
 Sohllage:                 ;317,38
 T-Messtiefe u.GOK:        ;3,60
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2003               ;15 16 36                 ;46 49 19
  01.01.1996               ;15 16 35                 ;46 49 19
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.1996 00:00:00   ;   318,50 ;     
01.02.1996 00:00:00   ;   318,47 ;     
01.03.1996 00:00:00   ;   318,66 ;     
01.04.1996 00:00:00   ;   319,39 ;     
01.05.1996 00:00:00   ;   318,77 ;     
01.06.1996 00:00:00   ;   318,54 ;     
01.07.1996 00:00:00   ;   318,63 ;     
01.08.1996 00:00:00   ;   318,31 ;     
01.09.1996 00:00:00   ;   318,54 ;     
01.10.1996 00:00:00   ;   319,06 ;     
01.11.1996 00:00:00   ;   318,69 ;     
01.12.1996 00:00:00   ;   318,50 ;     
01.01.1997 00:00:00   ;   318,32 ;     
01.02.1997 00:00:00   ;   318,38 ;     
01.03.1997 00:00:00   ;   318,41 ;     
01.04.1997 00:00:00   ;   318,27 ;     
01.05.1997 00:00:00   ;   318,15 ;     
01.06.1997 00:00:00   ;   318,06 ;     
01.07.1997 00:00:00   ;   318,21 ;     
01.08.1997 00:00:00   ;   318,40 ;     
01.09.1997 00:00:00   ;   318,46 ;     
01.10.1997 00:00:00   ;   318,27 ;     
01.11.1997 00:00:00   ;   318,19 ;     
01.12.1997 00:00:00   ;   318,73 ;     
01.01.1998 00:00:00   ;   318,64 ;     
01.02.1998 00:00:00   ;   318,37 ;     
01.03.1998 00:00:00   ;   318,23 ;     
01.04.1998 00:00:00   ;   318,14 ;     
01.05.1998 00:00:00   ;   318,05 ;     
01.06.1998 00:00:00   ;   318,09 ;     
01.07.1998 00:00:00   ;   318,76 ;     
01.08.1998 00:00:00   ;   318,44 ;     
01.09.1998 00:00:00   ;   318,59 ;     
01.10.1998 00:00:00   ;   318,77 ;     
01.11.1998 00:00:00   ;   318,75 ;     
01.12.1998 00:00:00   ;   318,51 ;     
01.01.1999 00:00:00   ;   318,30 ;     
01.02.1999 00:00:00   ;   318,23 ;     
01.03.1999 00:00:00   ;   318,46 ;     
01.04.1999 00:00:00   ;   318,35 ;     
01.05.1999 00:00:00   ;   318,51 ;     
01.06.1999 00:00:00   ;   318,63 ;     
01.07.1999 00:00:00   ;   318,68 ;     
01.08.1999 00:00:00   ;   318,73 ;     
01.09.1999 00:00:00   ;   318,65 ;     
01.10.1999 00:00:00   ;   318,30 ;     
01.11.1999 00:00:00   ;   318,37 ;     
01.12.1999 00:00:00   ;   318,56 ;     
01.01.2000 00:00:00   ;   318,37 ;     
01.02.2000 00:00:00   ;   318,33 ;     
01.03.2000 00:00:00   ;   318,27 ;     
01.04.2000 00:00:00   ;   318,22 ;     
01.05.2000 00:00:00   ;   318,14 ;     
01.06.2000 00:00:00   ;   318,09 ;     
01.07.2000 00:00:00   ;   318,04 ;     
01.08.2000 00:00:00   ;   318,00 ;     
01.09.2000 00:00:00   ;   317,96 ;     
01.10.2000 00:00:00   ;   318,40 ;     
01.11.2000 00:00:00   ;   318,71 ;     
01.12.2000 00:00:00   ;   318,63 ;     
01.01.2001 00:00:00   ;   318,68 ;     
01.02.2001 00:00:00   ;   318,48 ;     
01.03.2001 00:00:00   ;   318,35 ;     
01.04.2001 00:00:00   ;   318,40 ;     
01.05.2001 00:00:00   ;   318,33 ;     
01.06.2001 00:00:00   ;   318,19 ;     
01.07.2001 00:00:00   ;   318,09 ;     
01.08.2001 00:00:00   ;   317,97 ;     
01.09.2001 00:00:00   ;   318,07 ;     
01.10.2001 00:00:00   ;   318,34 ;     
01.11.2001 00:00:00   ;   318,22 ;     
01.12.2001 00:00:00   ;   318,10 ;     
01.01.2002 00:00:00   ;   318,05 ;     
01.02.2002 00:00:00   ;   318,07 ;     
01.03.2002 00:00:00   ;   318,23 ;     
01.04.2002 00:00:00   ;   318,23 ;     
01.05.2002 00:00:00   ;   318,27 ;     
01.06.2002 00:00:00   ;   318,16 ;     
01.07.2002 00:00:00   ;   318,04 ;     
01.08.2002 00:00:00   ;   318,10 ;     
01.09.2002 00:00:00   ;   318,27 ;     
01.10.2002 00:00:00   ;   318,65 ;     
01.11.2002 00:00:00   ;   318,55 ;     
01.12.2002 00:00:00   ;   319,01 ;     
01.01.2003 00:00:00   ;   318,62 ;     
01.02.2003 00:00:00   ;   318,44 ;     
01.03.2003 00:00:00   ;   318,52 ;     
01.04.2003 00:00:00   ;   318,39 ;     
01.05.2003 00:00:00   ;   318,23 ;     
01.06.2003 00:00:00   ;   318,14 ;     
01.07.2003 00:00:00   ;   318,05 ;     
01.08.2003 00:00:00   ;   317,95 ;     
01.09.2003 00:00:00   ;   317,96 ;     
01.10.2003 00:00:00   ;   318,00 ;     
01.11.2003 00:00:00   ;   318,16 ;     
01.12.2003 00:00:00   ;   318,37 ;     
01.01.2004 00:00:00   ;   318,47 ;     
01.02.2004 00:00:00   ;   318,43 ;     
01.03.2004 00:00:00   ;   318,73 ;     
01.04.2004 00:00:00   ;   318,88 ;     
01.05.2004 00:00:00   ;   318,60 ;     
01.06.2004 00:00:00   ;   318,97 ;     
01.07.2004 00:00:00   ;   318,86 ;     
01.08.2004 00:00:00   ;   318,45 ;     
01.09.2004 00:00:00   ;   318,35 ;     
01.10.2004 00:00:00   ;   318,39 ;     
01.11.2004 00:00:00   ;   318,58 ;     
01.12.2004 00:00:00   ;   318,39 ;     
01.01.2005 00:00:00   ;Lücke     ;     
01.02.2005 00:00:00   ;Lücke     ;     
01.03.2005 00:00:00   ;Lücke     ;     
01.04.2005 00:00:00   ;Lücke     ;     
01.05.2005 00:00:00   ;Lücke     ;     
01.06.2005 00:00:00   ;Lücke     ;     
01.07.2005 00:00:00   ;Lücke     ;     
01.08.2005 00:00:00   ;Lücke     ;     
01.09.2005 00:00:00   ;Lücke     ;     
01.10.2005 00:00:00   ;Lücke     ;     
01.11.2005 00:00:00   ;Lücke     ;     
01.12.2005 00:00:00   ;Lücke     ;     
01.01.2006 00:00:00   ;   318,40 ;     
01.02.2006 00:00:00   ;   318,39 ;     
01.03.2006 00:00:00   ;   318,78 ;     
01.04.2006 00:00:00   ;   318,67 ;     
01.05.2006 00:00:00   ;   318,60 ;     
01.06.2006 00:00:00   ;   318,49 ;     
01.07.2006 00:00:00   ;   318,35 ;     
01.08.2006 00:00:00   ;   318,15 ;     
01.09.2006 00:00:00   ;   318,22 ;     
01.10.2006 00:00:00   ;   318,32 ;     
01.11.2006 00:00:00   ;   318,20 ;     
01.12.2006 00:00:00   ;   318,21 ;     
01.01.2007 00:00:00   ;   318,26 ;     
01.02.2007 00:00:00   ;   318,41 ;     
01.03.2007 00:00:00   ;   318,46 ;     
01.04.2007 00:00:00   ;   318,55 ;     
01.05.2007 00:00:00   ;   318,49 ;     
01.06.2007 00:00:00   ;   318,33 ;     
01.07.2007 00:00:00   ;   318,19 ;     
01.08.2007 00:00:00   ;   318,09 ;     
01.09.2007 00:00:00   ;   318,20 ;     
01.10.2007 00:00:00   ;   318,39 ;     
01.11.2007 00:00:00   ;   318,46 ;     
01.12.2007 00:00:00   ;   318,46 ;     
01.01.2008 00:00:00   ;   318,38 ;     
01.02.2008 00:00:00   ;   318,31 ;     
01.03.2008 00:00:00   ;   318,23 ;     
01.04.2008 00:00:00   ;   318,18 ;     
01.05.2008 00:00:00   ;   318,13 ;     
01.06.2008 00:00:00   ;   318,54 ;     
01.07.2008 00:00:00   ;   318,55 ;     
01.08.2008 00:00:00   ;   318,38 ;     
01.09.2008 00:00:00   ;   318,39 ;     
01.10.2008 00:00:00   ;   318,48 ;     
01.11.2008 00:00:00   ;   318,36 ;     
01.12.2008 00:00:00   ;   318,71 ;     
01.01.2009 00:00:00   ;   318,63 ;     
01.02.2009 00:00:00   ;   318,94 ;     
01.03.2009 00:00:00   ;   318,65 ;     
01.04.2009 00:00:00   ;   318,46 ;     
01.05.2009 00:00:00   ;   318,55 ;     
01.06.2009 00:00:00   ;   318,70 ;     
01.07.2009 00:00:00   ;   318,79 ;     
01.08.2009 00:00:00   ;   318,71 ;     
01.09.2009 00:00:00   ;   318,93 ;     
01.10.2009 00:00:00   ;   318,56 ;     
01.11.2009 00:00:00   ;   318,55 ;     
01.12.2009 00:00:00   ;   318,50 ;     
01.01.2010 00:00:00   ;   318,48 ;     
