Messstelle:                ;Friesach-St.Stefan, Br 32253
HZB-Nummer:                ;340661
HD-Nummer:                 ;uw32253
DBMS-Nummer:               ;6003095
Fremdnummer:               ;STW 401
PorenGW-Gebiet:            ;378 Murdurchbruchstal
Grundwasserkörper:         ;Murdurchbruchstal  (Bruck/Mur - Graz/Andritz) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.2002
 Geländehöhe:              ;397,62
 Messpunkthöhe:            ;398,02
 Sohllage:                 ;382,62
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2002               ;15 19 59                 ;47 09 53
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2021 HG13 fehlende Monatsmittel zufolge Beobachterausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2002 00:00:00   ;   383,63 ;     
01.02.2002 00:00:00   ;   383,93 ;     
01.03.2002 00:00:00   ;   383,85 ;     
01.04.2002 00:00:00   ;   383,94 ;     
01.05.2002 00:00:00   ;   384,05 ;     
01.06.2002 00:00:00   ;   383,84 ;     
01.07.2002 00:00:00   ;   383,45 ;     
01.08.2002 00:00:00   ;   386,58 ;     
01.09.2002 00:00:00   ;   387,87 ;     
01.10.2002 00:00:00   ;   387,77 ;     
01.11.2002 00:00:00   ;   387,42 ;     
01.12.2002 00:00:00   ;   388,88 ;     
01.01.2003 00:00:00   ;   389,27 ;     
01.02.2003 00:00:00   ;   388,97 ;     
01.03.2003 00:00:00   ;   387,16 ;     
01.04.2003 00:00:00   ;   385,80 ;     
01.05.2003 00:00:00   ;   384,84 ;     
01.06.2003 00:00:00   ;   384,80 ;     
01.07.2003 00:00:00   ;   384,18 ;     
01.08.2003 00:00:00   ;   384,48 ;     
01.09.2003 00:00:00   ;   386,37 ;     
01.10.2003 00:00:00   ;   386,31 ;     
01.11.2003 00:00:00   ;   385,56 ;     
01.12.2003 00:00:00   ;   390,27 ;     
01.01.2004 00:00:00   ;   389,72 ;     
01.02.2004 00:00:00   ;   387,97 ;     
01.03.2004 00:00:00   ;   389,02 ;     
01.04.2004 00:00:00   ;   392,45 ;     
01.05.2004 00:00:00   ;   391,74 ;     
01.06.2004 00:00:00   ;   391,68 ;     
01.07.2004 00:00:00   ;   391,30 ;     
01.08.2004 00:00:00   ;   390,59 ;     
01.09.2004 00:00:00   ;   389,79 ;     
01.10.2004 00:00:00   ;   389,04 ;     
01.11.2004 00:00:00   ;   388,69 ;     
01.12.2004 00:00:00   ;   388,04 ;     
01.01.2005 00:00:00   ;   387,41 ;     
01.02.2005 00:00:00   ;   385,89 ;     
01.03.2005 00:00:00   ;   387,01 ;     
01.04.2005 00:00:00   ;   389,54 ;     
01.05.2005 00:00:00   ;   389,56 ;     
01.06.2005 00:00:00   ;   389,01 ;     
01.07.2005 00:00:00   ;   388,97 ;     
01.08.2005 00:00:00   ;   389,32 ;     
01.09.2005 00:00:00   ;   390,64 ;     
01.10.2005 00:00:00   ;   390,53 ;     
01.11.2005 00:00:00   ;   389,85 ;     
01.12.2005 00:00:00   ;   388,85 ;     
01.01.2006 00:00:00   ;   387,60 ;     
01.02.2006 00:00:00   ;   386,49 ;     
01.03.2006 00:00:00   ;   388,25 ;     
01.04.2006 00:00:00   ;   389,44 ;     
01.05.2006 00:00:00   ;   390,02 ;     
01.06.2006 00:00:00   ;   390,08 ;     
01.07.2006 00:00:00   ;   389,84 ;     
01.08.2006 00:00:00   ;   389,24 ;     
01.09.2006 00:00:00   ;   388,63 ;     
01.10.2006 00:00:00   ;   388,23 ;     
01.11.2006 00:00:00   ;   387,73 ;     
01.12.2006 00:00:00   ;   386,85 ;     
01.01.2007 00:00:00   ;   385,53 ;     
01.02.2007 00:00:00   ;   385,18 ;     
01.03.2007 00:00:00   ;   385,80 ;     
01.04.2007 00:00:00   ;   389,32 ;     
01.05.2007 00:00:00   ;   388,74 ;     
01.06.2007 00:00:00   ;   388,71 ;     
01.07.2007 00:00:00   ;   388,22 ;     
01.08.2007 00:00:00   ;   386,33 ;     
01.09.2007 00:00:00   ;   386,65 ;     
01.10.2007 00:00:00   ;   388,47 ;     
01.11.2007 00:00:00   ;   387,55 ;     
01.12.2007 00:00:00   ;   386,16 ;     
01.01.2008 00:00:00   ;   384,80 ;     
01.02.2008 00:00:00   ;   384,27 ;     
01.03.2008 00:00:00   ;   383,95 ;     
01.04.2008 00:00:00   ;   383,64 ;     
01.05.2008 00:00:00   ;   383,76 ;     
01.06.2008 00:00:00   ;   387,86 ;     
01.07.2008 00:00:00   ;   386,94 ;     
01.08.2008 00:00:00   ;   386,97 ;     
01.09.2008 00:00:00   ;   386,41 ;     
01.10.2008 00:00:00   ;   385,30 ;     
01.11.2008 00:00:00   ;   384,46 ;     
01.12.2008 00:00:00   ;   386,77 ;     
01.01.2009 00:00:00   ;   388,26 ;     
01.02.2009 00:00:00   ;   389,15 ;     
01.03.2009 00:00:00   ;   389,10 ;     
01.04.2009 00:00:00   ;   389,04 ;     
01.05.2009 00:00:00   ;   389,24 ;     
01.06.2009 00:00:00   ;   389,41 ;     
01.07.2009 00:00:00   ;   390,62 ;     
01.08.2009 00:00:00   ;   391,08 ;     
01.09.2009 00:00:00   ;   392,43 ;     
01.10.2009 00:00:00   ;   391,53 ;     
01.11.2009 00:00:00   ;   390,70 ;     
01.12.2009 00:00:00   ;   390,09 ;     
01.01.2010 00:00:00   ;   389,39 ;     
01.02.2010 00:00:00   ;   388,77 ;     
01.03.2010 00:00:00   ;   388,59 ;     
01.04.2010 00:00:00   ;   388,43 ;     
01.05.2010 00:00:00   ;   388,35 ;     
01.06.2010 00:00:00   ;   388,54 ;     
01.07.2010 00:00:00   ;   388,44 ;     
01.08.2010 00:00:00   ;   388,32 ;     
01.09.2010 00:00:00   ;   388,32 ;     
01.10.2010 00:00:00   ;   388,33 ;     
01.11.2010 00:00:00   ;   388,16 ;     
01.12.2010 00:00:00   ;   388,20 ;     
01.01.2011 00:00:00   ;   388,03 ;     
01.02.2011 00:00:00   ;   387,57 ;     
01.03.2011 00:00:00   ;   387,18 ;     
01.04.2011 00:00:00   ;   387,16 ;     
01.05.2011 00:00:00   ;   387,22 ;     
01.06.2011 00:00:00   ;   387,55 ;     
01.07.2011 00:00:00   ;   387,47 ;     
01.08.2011 00:00:00   ;   387,60 ;     
01.09.2011 00:00:00   ;   387,54 ;     
01.10.2011 00:00:00   ;   387,31 ;     
01.11.2011 00:00:00   ;   386,80 ;     
01.12.2011 00:00:00   ;   385,61 ;     
01.01.2012 00:00:00   ;   384,80 ;     
01.02.2012 00:00:00   ;   384,23 ;     
01.03.2012 00:00:00   ;   384,06 ;     
01.04.2012 00:00:00   ;   384,27 ;     
01.05.2012 00:00:00   ;   384,88 ;     
01.06.2012 00:00:00   ;   386,13 ;     
01.07.2012 00:00:00   ;   389,73 ;     
01.08.2012 00:00:00   ;   390,60 ;     
01.09.2012 00:00:00   ;   390,36 ;     
01.10.2012 00:00:00   ;   390,13 ;     
01.11.2012 00:00:00   ;   389,98 ;     
01.12.2012 00:00:00   ;   389,81 ;     
01.01.2013 00:00:00   ;   389,41 ;     
01.02.2013 00:00:00   ;   388,97 ;     
01.03.2013 00:00:00   ;   390,30 ;     
01.04.2013 00:00:00   ;   390,93 ;     
01.05.2013 00:00:00   ;   391,51 ;     
01.06.2013 00:00:00   ;   391,12 ;     
01.07.2013 00:00:00   ;   390,18 ;     
01.08.2013 00:00:00   ;   389,16 ;     
01.09.2013 00:00:00   ;   388,26 ;     
01.10.2013 00:00:00   ;   387,66 ;     
01.11.2013 00:00:00   ;   388,58 ;     
01.12.2013 00:00:00   ;   388,61 ;     
01.01.2014 00:00:00   ;   388,37 ;     
01.02.2014 00:00:00   ;   388,69 ;     
01.03.2014 00:00:00   ;   389,35 ;     
01.04.2014 00:00:00   ;   389,21 ;     
01.05.2014 00:00:00   ;   389,35 ;     
01.06.2014 00:00:00   ;   389,35 ;     
01.07.2014 00:00:00   ;   389,38 ;     
01.08.2014 00:00:00   ;   390,23 ;     
01.09.2014 00:00:00   ;   392,37 ;     
01.10.2014 00:00:00   ;   391,52 ;     
01.11.2014 00:00:00   ;   390,95 ;     
01.12.2014 00:00:00   ;   390,40 ;     
01.01.2015 00:00:00   ;   389,80 ;     
01.02.2015 00:00:00   ;   388,95 ;     
01.03.2015 00:00:00   ;   388,12 ;     
01.04.2015 00:00:00   ;   387,50 ;     
01.05.2015 00:00:00   ;   386,97 ;     
01.06.2015 00:00:00   ;   386,50 ;     
01.07.2015 00:00:00   ;   386,25 ;     
01.08.2015 00:00:00   ;   385,74 ;     
01.09.2015 00:00:00   ;   385,49 ;     
01.10.2015 00:00:00   ;   386,87 ;     
01.11.2015 00:00:00   ;   388,26 ;     
01.12.2015 00:00:00   ;   387,37 ;     
01.01.2016 00:00:00   ;   386,63 ;     
01.02.2016 00:00:00   ;   386,96 ;     
01.03.2016 00:00:00   ;   388,52 ;     
01.04.2016 00:00:00   ;   388,59 ;     
01.05.2016 00:00:00   ;   388,82 ;     
01.06.2016 00:00:00   ;   389,08 ;     
01.07.2016 00:00:00   ;   389,32 ;     
01.08.2016 00:00:00   ;   389,43 ;     
01.09.2016 00:00:00   ;   389,25 ;     
01.10.2016 00:00:00   ;   388,52 ;     
01.11.2016 00:00:00   ;   387,86 ;     
01.12.2016 00:00:00   ;   386,97 ;     
01.01.2017 00:00:00   ;   387,08 ;     
01.02.2017 00:00:00   ;   386,95 ;     
01.03.2017 00:00:00   ;   387,11 ;     
01.04.2017 00:00:00   ;   385,78 ;     
01.05.2017 00:00:00   ;   385,28 ;     
01.06.2017 00:00:00   ;   386,30 ;     
01.07.2017 00:00:00   ;   385,71 ;     
01.08.2017 00:00:00   ;   387,81 ;     
01.09.2017 00:00:00   ;   388,20 ;     
01.10.2017 00:00:00   ;   387,82 ;     
01.11.2017 00:00:00   ;   387,28 ;     
01.12.2017 00:00:00   ;   386,25 ;     
01.01.2018 00:00:00   ;   386,24 ;     
01.02.2018 00:00:00   ;   385,96 ;     
01.03.2018 00:00:00   ;   387,58 ;     
01.04.2018 00:00:00   ;   388,81 ;     
01.05.2018 00:00:00   ;   389,05 ;     
01.06.2018 00:00:00   ;   389,39 ;     
01.07.2018 00:00:00   ;   388,96 ;     
01.08.2018 00:00:00   ;   388,45 ;     
01.09.2018 00:00:00   ;   388,33 ;     
01.10.2018 00:00:00   ;   387,84 ;     
01.11.2018 00:00:00   ;   386,87 ;     
01.12.2018 00:00:00   ;   385,79 ;     
01.01.2019 00:00:00   ;   385,01 ;     
01.02.2019 00:00:00   ;   384,77 ;     
01.03.2019 00:00:00   ;   384,44 ;     
01.04.2019 00:00:00   ;   384,63 ;     
01.05.2019 00:00:00   ;   384,89 ;     
01.06.2019 00:00:00   ;   385,58 ;     
01.07.2019 00:00:00   ;   384,79 ;     
01.08.2019 00:00:00   ;   384,98 ;     
01.09.2019 00:00:00   ;   385,31 ;     
01.10.2019 00:00:00   ;   384,46 ;     
01.11.2019 00:00:00   ;   386,05 ;     
01.12.2019 00:00:00   ;   386,26 ;     
01.01.2020 00:00:00   ;   385,28 ;     
01.02.2020 00:00:00   ;   384,52 ;     
01.03.2020 00:00:00   ;   384,26 ;     
01.04.2020 00:00:00   ;   384,19 ;     
01.05.2020 00:00:00   ;   384,28 ;     
01.06.2020 00:00:00   ;   384,09 ;     
01.07.2020 00:00:00   ;   386,25 ;     
01.08.2020 00:00:00   ;   386,18 ;     
01.09.2020 00:00:00   ;   387,00 ;     
01.10.2020 00:00:00   ;   387,35 ;     
01.11.2020 00:00:00   ;   386,26 ;     
01.12.2020 00:00:00   ;   386,64 ;     
01.01.2021 00:00:00   ;   387,57 ;     
01.02.2021 00:00:00   ;   387,43 ;     
01.03.2021 00:00:00   ;   386,47 ;     
01.04.2021 00:00:00   ;   385,64 ;     
01.05.2021 00:00:00   ;Lücke     ;     
01.06.2021 00:00:00   ;Lücke     ;     
01.07.2021 00:00:00   ;Lücke     ;     
01.08.2021 00:00:00   ;Lücke     ;     
01.09.2021 00:00:00   ;Lücke     ;     
01.10.2021 00:00:00   ;Lücke     ;     
01.11.2021 00:00:00   ;Lücke     ;     
01.12.2021 00:00:00   ;Lücke     ;     
01.01.2022 00:00:00   ;Lücke         ; 
