Messstelle:                ;Tannheim-Kienzen, Bl 5
HZB-Nummer:                ;342667
HD-Nummer:                 ;
DBMS-Nummer:               ;7004322
Fremdnummer:               ;GW70832014
PorenGW-Gebiet:            ;010 Tannheimertal
Grundwasserkörper:         ;Gruppe Nördliche-Kalkalpen [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.10.2018
 Geländehöhe:              ;1090,04
 Messpunkthöhe:            ;1091,04
 Sohllage:                 ;1080,04
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.12.2004               ;10 30 21                 ;47 30 15
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2005 00:00:00   ;  1087,31 ;     
01.02.2005 00:00:00   ;  1087,50 ;     
01.03.2005 00:00:00   ;  1087,83 ;     
01.04.2005 00:00:00   ;  1089,00 ;     
01.05.2005 00:00:00   ;  1089,12 ;     
01.06.2005 00:00:00   ;  1088,42 ;     
01.07.2005 00:00:00   ;  1088,56 ;     
01.08.2005 00:00:00   ;  1088,63 ;     
01.09.2005 00:00:00   ;  1088,40 ;     
01.10.2005 00:00:00   ;  1088,34 ;     
01.11.2005 00:00:00   ;  1087,51 ;     
01.12.2005 00:00:00   ;  1087,09 ;     
01.01.2006 00:00:00   ;  1087,13 ;     
01.02.2006 00:00:00   ;  1087,18 ;     
01.03.2006 00:00:00   ;  1088,39 ;     
01.04.2006 00:00:00   ;  1089,52 ;     
01.05.2006 00:00:00   ;  1089,08 ;     
01.06.2006 00:00:00   ;  1088,78 ;     
01.07.2006 00:00:00   ;  1088,02 ;     
01.08.2006 00:00:00   ;  1088,67 ;     
01.09.2006 00:00:00   ;  1089,03 ;     
01.10.2006 00:00:00   ;  1088,30 ;     
01.11.2006 00:00:00   ;  1088,34 ;     
01.12.2006 00:00:00   ;  1087,83 ;     
01.01.2007 00:00:00   ;  1088,81 ;     
01.02.2007 00:00:00   ;  1088,18 ;     
01.03.2007 00:00:00   ;  1088,66 ;     
01.04.2007 00:00:00   ;  1088,39 ;     
01.05.2007 00:00:00   ;  1088,65 ;     
01.06.2007 00:00:00   ;  1088,57 ;     
01.07.2007 00:00:00   ;  1088,93 ;     
01.08.2007 00:00:00   ;  1088,62 ;     
01.09.2007 00:00:00   ;  1088,76 ;     
01.10.2007 00:00:00   ;  1088,08 ;     
01.11.2007 00:00:00   ;  1088,35 ;     
01.12.2007 00:00:00   ;  1088,59 ;     
01.01.2008 00:00:00   ;  1088,30 ;     
01.02.2008 00:00:00   ;  1087,92 ;     
01.03.2008 00:00:00   ;  1089,00 ;     
01.04.2008 00:00:00   ;  1089,09 ;     
01.05.2008 00:00:00   ;  1088,73 ;     
01.06.2008 00:00:00   ;  1088,28 ;     
01.07.2008 00:00:00   ;  1088,86 ;     
01.08.2008 00:00:00   ;  1088,73 ;     
01.09.2008 00:00:00   ;  1088,06 ;     
01.10.2008 00:00:00   ;  1087,85 ;     
01.11.2008 00:00:00   ;  1087,61 ;     
01.12.2008 00:00:00   ;  1087,39 ;     
01.01.2009 00:00:00   ;  1087,04 ;     
01.02.2009 00:00:00   ;  1086,39 ;     
01.03.2009 00:00:00   ;  1086,97 ;     
01.04.2009 00:00:00   ;  1089,35 ;     
01.05.2009 00:00:00   ;  1088,83 ;     
01.06.2009 00:00:00   ;  1088,77 ;     
01.07.2009 00:00:00   ;  1088,94 ;     
01.08.2009 00:00:00   ;  1088,33 ;     
01.09.2009 00:00:00   ;  1088,18 ;     
01.10.2009 00:00:00   ;  1087,92 ;     
01.11.2009 00:00:00   ;  1088,34 ;     
01.12.2009 00:00:00   ;  1088,19 ;     
01.01.2010 00:00:00   ;  1087,75 ;     
01.02.2010 00:00:00   ;  1086,63 ;     
01.03.2010 00:00:00   ;  1087,28 ;     
01.04.2010 00:00:00   ;  1088,49 ;     
01.05.2010 00:00:00   ;  1088,51 ;     
01.06.2010 00:00:00   ;  1089,01 ;     
01.07.2010 00:00:00   ;  1088,33 ;     
01.08.2010 00:00:00   ;  1089,17 ;     
01.09.2010 00:00:00   ;  1088,63 ;     
01.10.2010 00:00:00   ;  1087,97 ;     
01.11.2010 00:00:00   ;  1088,53 ;     
01.12.2010 00:00:00   ;  1088,13 ;     
01.01.2011 00:00:00   ;  1088,37 ;     
01.02.2011 00:00:00   ;  1087,85 ;     
01.03.2011 00:00:00   ;  1087,96 ;     
01.04.2011 00:00:00   ;  1088,41 ;     
01.05.2011 00:00:00   ;  1088,23 ;     
01.06.2011 00:00:00   ;  1088,82 ;     
01.07.2011 00:00:00   ;  1088,73 ;     
01.08.2011 00:00:00   ;  1088,53 ;     
01.09.2011 00:00:00   ;  1087,80 ;     
01.10.2011 00:00:00   ;  1087,78 ;     
01.11.2011 00:00:00   ;  1086,70 ;     
01.12.2011 00:00:00   ;  1086,94 ;     
