Messstelle:                ;Ebensee, Bl 91.1
HZB-Nummer:                ;344218
HD-Nummer:                 ;HD4003170
DBMS-Nummer:               ;4003170
PorenGW-Gebiet:            ;108 Ebensee
Grundwasserkörper:         ;Gruppe Traun und Zubringertäler [DUJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;19.04.2016
 Geländehöhe:              ;435,80
 Messpunkthöhe:            ;436,40
 Sohllage:                 ;431,44
 T-Messtiefe u.GOK:        ;4,64
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.2009               ;13 43 53                 ;47 46 59
  13.12.2005               ;13 43 54                 ;47 47 01
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2006 00:00:00   ;   431,87 ;     
01.02.2006 00:00:00   ;   431,99 ;     
01.03.2006 00:00:00   ;   432,34 ;     
01.04.2006 00:00:00   ;   433,32 ;     
01.05.2006 00:00:00   ;   433,25 ;     
01.06.2006 00:00:00   ;   433,18 ;     
01.07.2006 00:00:00   ;   432,35 ;     
01.08.2006 00:00:00   ;   432,84 ;     
01.09.2006 00:00:00   ;   432,47 ;     
01.10.2006 00:00:00   ;   431,99 ;     
01.11.2006 00:00:00   ;   432,66 ;     
01.12.2006 00:00:00   ;   432,01 ;     
01.01.2007 00:00:00   ;   432,37 ;     
01.02.2007 00:00:00   ;   432,26 ;     
01.03.2007 00:00:00   ;   432,46 ;     
01.04.2007 00:00:00   ;   432,50 ;     
01.05.2007 00:00:00   ;   432,83 ;     
01.06.2007 00:00:00   ;   432,42 ;     
01.07.2007 00:00:00   ;   432,60 ;     
01.08.2007 00:00:00   ;   432,23 ;     
01.09.2007 00:00:00   ;   433,28 ;     
01.10.2007 00:00:00   ;   432,21 ;     
01.11.2007 00:00:00   ;   432,68 ;     
01.12.2007 00:00:00   ;   432,38 ;     
01.01.2008 00:00:00   ;   432,16 ;     
01.02.2008 00:00:00   ;   432,07 ;     
01.03.2008 00:00:00   ;   432,60 ;     
01.04.2008 00:00:00   ;   432,68 ;     
01.05.2008 00:00:00   ;   432,98 ;     
01.06.2008 00:00:00   ;   432,77 ;     
01.07.2008 00:00:00   ;   432,64 ;     
01.08.2008 00:00:00   ;   432,54 ;     
01.09.2008 00:00:00   ;   432,14 ;     
01.10.2008 00:00:00   ;   432,18 ;     
01.11.2008 00:00:00   ;   431,95 ;     
01.12.2008 00:00:00   ;   432,24 ;     
01.01.2009 00:00:00   ;   431,82 ;     
01.02.2009 00:00:00   ;   431,75 ;     
01.03.2009 00:00:00   ;   432,54 ;     
01.04.2009 00:00:00   ;   433,26 ;     
01.05.2009 00:00:00   ;   433,27 ;     
01.06.2009 00:00:00   ;   433,26 ;     
01.07.2009 00:00:00   ;   432,93 ;     
01.08.2009 00:00:00   ;   432,51 ;     
01.09.2009 00:00:00   ;   432,40 ;     
01.10.2009 00:00:00   ;   432,33 ;     
01.11.2009 00:00:00   ;   432,26 ;     
01.12.2009 00:00:00   ;   432,13 ;     
01.01.2010 00:00:00   ;   431,89 ;     
01.02.2010 00:00:00   ;   431,84 ;     
01.03.2010 00:00:00   ;   432,28 ;     
01.04.2010 00:00:00   ;   432,47 ;     
01.05.2010 00:00:00   ;   432,86 ;     
01.06.2010 00:00:00   ;   433,06 ;     
01.07.2010 00:00:00   ;   432,79 ;     
01.08.2010 00:00:00   ;   432,62 ;     
01.09.2010 00:00:00   ;   432,38 ;     
01.10.2010 00:00:00   ;   431,86 ;     
01.11.2010 00:00:00   ;   431,91 ;     
01.12.2010 00:00:00   ;   431,89 ;     
01.01.2011 00:00:00   ;   432,40 ;     
01.02.2011 00:00:00   ;   432,09 ;     
01.03.2011 00:00:00   ;   432,04 ;     
01.04.2011 00:00:00   ;   432,52 ;     
01.05.2011 00:00:00   ;   432,35 ;     
01.06.2011 00:00:00   ;   432,38 ;     
01.07.2011 00:00:00   ;   432,40 ;     
01.08.2011 00:00:00   ;   432,47 ;     
01.09.2011 00:00:00   ;   432,10 ;     
01.10.2011 00:00:00   ;   432,44 ;     
01.11.2011 00:00:00   ;   431,79 ;     
01.12.2011 00:00:00   ;   431,81 ;     
01.01.2012 00:00:00   ;   432,63 ;     
01.02.2012 00:00:00   ;   432,05 ;     
01.03.2012 00:00:00   ;   432,79 ;     
01.04.2012 00:00:00   ;   432,67 ;     
01.05.2012 00:00:00   ;   433,01 ;     
01.06.2012 00:00:00   ;   433,12 ;     
01.07.2012 00:00:00   ;   432,63 ;     
01.08.2012 00:00:00   ;   432,22 ;     
01.09.2012 00:00:00   ;   432,48 ;     
01.10.2012 00:00:00   ;   432,21 ;     
01.11.2012 00:00:00   ;   432,08 ;     
01.12.2012 00:00:00   ;   432,09 ;     
01.01.2013 00:00:00   ;   432,54 ;     
01.02.2013 00:00:00   ;   432,23 ;     
01.03.2013 00:00:00   ;   432,15 ;     
