Messstelle:                ;Kufstein, Bl 1 (151)
HZB-Nummer:                ;346734
HD-Nummer:                 ;
DBMS-Nummer:               ;7004171
Fremdnummer:               ;GW70513031
PorenGW-Gebiet:            ;020 Unterinntal
Grundwasserkörper:         ;Inntal [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Grenzkraftwerke GmbH
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.01.1985
 Geländehöhe:              ;480,53
 Messpunkthöhe:            ;481,53
 Sohllage:                 ;470,73
 T-Messtiefe u.GOK:        ;
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.01.1985               ;12 10 00                 ;47 35 13
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1993 bis -> FG41 Daten vor dem Vergleichszeitraum vorhanden, die wegen maßgeblicher hydrologischer Veränderungen nicht ausgewertet werden
  2002 bis -> FG06 durch Kraftwerk beeinflusst
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2017 HG28 gerätetechnisch bedingte Datenausfälle
  2018 HG28 gerätetechnisch bedingte Datenausfälle
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1992 00:00:00   ;   476,96 ;     
01.08.1992 00:00:00   ;   477,00 ;     
01.09.1992 00:00:00   ;   476,96 ;     
01.10.1992 00:00:00   ;   476,88 ;     
01.11.1992 00:00:00   ;   477,17 ;     
01.12.1992 00:00:00   ;   477,04 ;     
01.01.1993 00:00:00   ;   476,91 ;     
01.02.1993 00:00:00   ;   476,88 ;     
01.03.1993 00:00:00   ;   476,79 ;     
01.04.1993 00:00:00   ;   476,85 ;     
01.05.1993 00:00:00   ;   477,09 ;     
01.06.1993 00:00:00   ;   477,33 ;     
01.07.1993 00:00:00   ;   477,47 ;     
01.08.1993 00:00:00   ;   477,09 ;     
01.09.1993 00:00:00   ;   477,00 ;     
01.10.1993 00:00:00   ;   477,05 ;     
01.11.1993 00:00:00   ;   476,88 ;     
01.12.1993 00:00:00   ;   476,86 ;     
01.01.1994 00:00:00   ;   476,84 ;     
01.02.1994 00:00:00   ;   476,75 ;     
01.03.1994 00:00:00   ;   476,82 ;     
01.04.1994 00:00:00   ;   476,85 ;     
01.05.1994 00:00:00   ;   477,10 ;     
01.06.1994 00:00:00   ;   477,40 ;     
01.07.1994 00:00:00   ;   477,35 ;     
01.08.1994 00:00:00   ;   477,13 ;     
01.09.1994 00:00:00   ;   477,32 ;     
01.10.1994 00:00:00   ;   477,20 ;     
01.11.1994 00:00:00   ;   477,13 ;     
01.12.1994 00:00:00   ;   477,07 ;     
01.01.1995 00:00:00   ;   477,04 ;     
01.02.1995 00:00:00   ;   477,08 ;     
01.03.1995 00:00:00   ;   477,09 ;     
01.04.1995 00:00:00   ;   477,32 ;     
01.05.1995 00:00:00   ;   477,52 ;     
01.06.1995 00:00:00   ;   477,95 ;     
01.07.1995 00:00:00   ;   477,99 ;     
01.08.1995 00:00:00   ;   477,53 ;     
01.09.1995 00:00:00   ;   477,44 ;     
01.10.1995 00:00:00   ;   477,24 ;     
01.11.1995 00:00:00   ;   477,16 ;     
01.12.1995 00:00:00   ;   477,12 ;     
01.01.1996 00:00:00   ;   477,09 ;     
01.02.1996 00:00:00   ;   477,07 ;     
01.03.1996 00:00:00   ;   477,00 ;     
01.04.1996 00:00:00   ;Lücke     ;     
01.05.1996 00:00:00   ;Lücke     ;     
01.06.1996 00:00:00   ;Lücke     ;     
01.07.1996 00:00:00   ;Lücke     ;     
01.08.1996 00:00:00   ;Lücke     ;     
01.09.1996 00:00:00   ;Lücke     ;     
01.10.1996 00:00:00   ;Lücke     ;     
01.11.1996 00:00:00   ;Lücke     ;     
01.12.1996 00:00:00   ;Lücke     ;     
01.01.1997 00:00:00   ;Lücke     ;     
