Messstelle:                ;Bludenz, Bl 07.34.22
HZB-Nummer:                ;347187
HD-Nummer:                 ;07.34.22
DBMS-Nummer:               ;8002272
PorenGW-Gebiet:            ;003 Walgau
Grundwasserkörper:         ;Walgau [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;16.04.2009
 Geländehöhe:              ;573,52
 Messpunkthöhe:            ;574,47
 Sohllage:                 ;563,27
 T-Messtiefe u.GOK:        ;7,75
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  16.06.1980               ;09 50 03                 ;47 08 15
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2015 HG14 fehlende Monatsmittel zufolge Datensammlerausfall
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.1980 00:00:00   ;   571,44 ;     
01.08.1980 00:00:00   ;   571,42 ;     
01.09.1980 00:00:00   ;   571,08 ;     
01.10.1980 00:00:00   ;   570,78 ;     
01.11.1980 00:00:00   ;   570,37 ;     
01.12.1980 00:00:00   ;   569,95 ;     
01.01.1981 00:00:00   ;   569,76 ;     
01.02.1981 00:00:00   ;   569,61 ;     
01.03.1981 00:00:00   ;   569,98 ;     
01.04.1981 00:00:00   ;   570,94 ;     
01.05.1981 00:00:00   ;   571,00 ;     
01.06.1981 00:00:00   ;   571,06 ;     
01.07.1981 00:00:00   ;   571,00 ;     
01.08.1981 00:00:00   ;   570,97 ;     
01.09.1981 00:00:00   ;   570,61 ;     
01.10.1981 00:00:00   ;   570,92 ;     
01.11.1981 00:00:00   ;   570,74 ;     
01.12.1981 00:00:00   ;   570,72 ;     
01.01.1982 00:00:00   ;   570,70 ;     
01.02.1982 00:00:00   ;   570,56 ;     
01.03.1982 00:00:00   ;   570,38 ;     
01.04.1982 00:00:00   ;   570,52 ;     
01.05.1982 00:00:00   ;   570,79 ;     
01.06.1982 00:00:00   ;   571,29 ;     
01.07.1982 00:00:00   ;   571,34 ;     
01.08.1982 00:00:00   ;   571,11 ;     
01.09.1982 00:00:00   ;   571,31 ;     
01.10.1982 00:00:00   ;   570,44 ;     
01.11.1982 00:00:00   ;   569,83 ;     
01.12.1982 00:00:00   ;   569,50 ;     
01.01.1983 00:00:00   ;   569,68 ;     
01.02.1983 00:00:00   ;   569,64 ;     
01.03.1983 00:00:00   ;   569,57 ;     
01.04.1983 00:00:00   ;   569,89 ;     
01.05.1983 00:00:00   ;   570,62 ;     
01.06.1983 00:00:00   ;   570,87 ;     
01.07.1983 00:00:00   ;   570,88 ;     
01.08.1983 00:00:00   ;   570,43 ;     
01.09.1983 00:00:00   ;   570,27 ;     
01.10.1983 00:00:00   ;   569,77 ;     
01.11.1983 00:00:00   ;   569,35 ;     
01.12.1983 00:00:00   ;   569,25 ;     
01.01.1984 00:00:00   ;   568,99 ;     
01.02.1984 00:00:00   ;   568,84 ;     
01.03.1984 00:00:00   ;Lücke     ;     
01.04.1984 00:00:00   ;Lücke     ;     
01.05.1984 00:00:00   ;   569,71 ;     
01.06.1984 00:00:00   ;   570,29 ;     
01.07.1984 00:00:00   ;   570,74 ;     
01.08.1984 00:00:00   ;   570,63 ;     
01.09.1984 00:00:00   ;   570,79 ;     
01.10.1984 00:00:00   ;   570,44 ;     
01.11.1984 00:00:00   ;   569,97 ;     
01.12.1984 00:00:00   ;Lücke     ;     
01.01.1985 00:00:00   ;   569,47 ;     
01.02.1985 00:00:00   ;   569,32 ;     
01.03.1985 00:00:00   ;   569,16 ;     
01.04.1985 00:00:00   ;   569,05 ;     
01.05.1985 00:00:00   ;   569,29 ;     
01.06.1985 00:00:00   ;   569,75 ;     
01.07.1985 00:00:00   ;   570,04 ;     
01.08.1985 00:00:00   ;   570,46 ;     
01.09.1985 00:00:00   ;   570,47 ;     
01.10.1985 00:00:00   ;   570,22 ;     
01.11.1985 00:00:00   ;   569,92 ;     
01.12.1985 00:00:00   ;   569,54 ;     
01.01.1986 00:00:00   ;   569,39 ;     
