Messstelle:                ;Pridahof, Bl391531
HZB-Nummer:                ;349423
HD-Nummer:                 ;uw391531
DBMS-Nummer:               ;6003386
Fremdnummer:               ;P6
PorenGW-Gebiet:            ;400 Unteres Murtal
Grundwasserkörper:         ;Unteres Murtal [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;02.09.1996
 Geländehöhe:              ;214,72
 Messpunkthöhe:            ;215,74
 Sohllage:                 ;208,74
 T-Messtiefe u.GOK:        ;5,98
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  02.09.1996               ;15 58 39                 ;46 43 05
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch:
  1996 bis -> FG10 kommuniziert stark mit nahegelegenem Oberflächengewässer
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.04.2004 00:00:00   ;   213,39 ;     
01.05.2004 00:00:00   ;   213,27 ;     
01.06.2004 00:00:00   ;   213,28 ;     
01.07.2004 00:00:00   ;   213,27 ;     
01.08.2004 00:00:00   ;   213,11 ;     
01.09.2004 00:00:00   ;   213,11 ;     
01.10.2004 00:00:00   ;   213,21 ;     
01.11.2004 00:00:00   ;   213,26 ;     
01.12.2004 00:00:00   ;   213,20 ;     
01.01.2005 00:00:00   ;   213,17 ;     
01.02.2005 00:00:00   ;   213,20 ;     
01.03.2005 00:00:00   ;   213,38 ;     
01.04.2005 00:00:00   ;   213,42 ;     
01.05.2005 00:00:00   ;   213,32 ;     
01.06.2005 00:00:00   ;   213,13 ;     
01.07.2005 00:00:00   ;   213,31 ;     
01.08.2005 00:00:00   ;   213,43 ;     
01.09.2005 00:00:00   ;   213,43 ;     
01.10.2005 00:00:00   ;   213,43 ;     
01.11.2005 00:00:00   ;   213,38 ;     
01.12.2005 00:00:00   ;   213,50 ;     
01.01.2006 00:00:00   ;   213,50 ;     
01.02.2006 00:00:00   ;   213,37 ;     
01.03.2006 00:00:00   ;   213,53 ;     
01.04.2006 00:00:00   ;   213,45 ;     
01.05.2006 00:00:00   ;   213,54 ;     
01.06.2006 00:00:00   ;   213,45 ;     
01.07.2006 00:00:00   ;   213,24 ;     
01.08.2006 00:00:00   ;   213,38 ;     
01.09.2006 00:00:00   ;   213,39 ;     
01.10.2006 00:00:00   ;   213,38 ;     
01.11.2006 00:00:00   ;   213,34 ;     
01.12.2006 00:00:00   ;   213,28 ;     
01.01.2007 00:00:00   ;   213,30 ;     
01.02.2007 00:00:00   ;   213,38 ;     
01.03.2007 00:00:00   ;   213,49 ;     
01.04.2007 00:00:00   ;   213,35 ;     
01.05.2007 00:00:00   ;   213,26 ;     
01.06.2007 00:00:00   ;   213,19 ;     
01.07.2007 00:00:00   ;   213,11 ;     
01.08.2007 00:00:00   ;   213,11 ;     
01.09.2007 00:00:00   ;   213,32 ;     
01.10.2007 00:00:00   ;   213,31 ;     
01.11.2007 00:00:00   ;   213,41 ;     
01.12.2007 00:00:00   ;   213,44 ;     
01.01.2008 00:00:00   ;   213,28 ;     
01.02.2008 00:00:00   ;   213,26 ;     
01.03.2008 00:00:00   ;   213,29 ;     
01.04.2008 00:00:00   ;   213,25 ;     
01.05.2008 00:00:00   ;   213,17 ;     
01.06.2008 00:00:00   ;   213,28 ;     
01.07.2008 00:00:00   ;   213,45 ;     
01.08.2008 00:00:00   ;   213,45 ;     
01.09.2008 00:00:00   ;   213,40 ;     
01.10.2008 00:00:00   ;   213,35 ;     
01.11.2008 00:00:00   ;   213,42 ;     
01.12.2008 00:00:00   ;   213,55 ;     
01.01.2009 00:00:00   ;   213,49 ;     
01.02.2009 00:00:00   ;   213,58 ;     
01.03.2009 00:00:00   ;   213,46 ;     
01.04.2009 00:00:00   ;   213,38 ;     
01.05.2009 00:00:00   ;   213,37 ;     
01.06.2009 00:00:00   ;   213,47 ;     
01.07.2009 00:00:00   ;   213,52 ;     
01.08.2009 00:00:00   ;   213,55 ;     
01.09.2009 00:00:00   ;   213,46 ;     
01.10.2009 00:00:00   ;   213,40 ;     
01.11.2009 00:00:00   ;   213,53 ;     
01.12.2009 00:00:00   ;   213,53 ;     
01.01.2010 00:00:00   ;   213,54 ;     
01.02.2010 00:00:00   ;   213,52 ;     
01.03.2010 00:00:00   ;   213,45 ;     
01.04.2010 00:00:00   ;   213,40 ;     
01.05.2010 00:00:00   ;   213,33 ;     
01.06.2010 00:00:00   ;   213,33 ;     
01.07.2010 00:00:00   ;   213,18 ;     
01.08.2010 00:00:00   ;   213,32 ;     
01.09.2010 00:00:00   ;   213,46 ;     
01.10.2010 00:00:00   ;   213,45 ;     
01.11.2010 00:00:00   ;   213,54 ;     
01.12.2010 00:00:00   ;   213,58 ;     
01.01.2011 00:00:00   ;   213,42 ;     
01.02.2011 00:00:00   ;   213,35 ;     
01.03.2011 00:00:00   ;   213,35 ;     
01.04.2011 00:00:00   ;   213,30 ;     
01.05.2011 00:00:00   ;   213,29 ;     
01.06.2011 00:00:00   ;   213,30 ;     
01.07.2011 00:00:00   ;   213,22 ;     
01.08.2011 00:00:00   ;   213,20 ;     
01.09.2011 00:00:00   ;   213,13 ;     
