Messstelle:                ;Hirnsdorf, Tbl 56140
HZB-Nummer:                ;349571
HD-Nummer:                 ;uw56140
DBMS-Nummer:               ;6003455
Fremdnummer:               ;VB Hirnsdorf I
PorenGW-Gebiet:            ;975 Steirisch Pannonisches Becken
Grundwasserkörper:         ;Gruppe TGWK Steirisches u. Pannonisches Becken [LRR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.07.1999
 Geländehöhe:              ;357,22
 Messpunkthöhe:            ;357,95
 Sohllage:                 ;292,15
 T-Messtiefe u.GOK:        ;9,27
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  08.07.1999               ;15 49 41                 ;47 12 05
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.06.2008 00:00:00   ;   355,41 ;     
01.07.2008 00:00:00   ;   355,37 ;     
01.08.2008 00:00:00   ;   355,50 ;     
01.09.2008 00:00:00   ;   355,19 ;     
01.10.2008 00:00:00   ;   355,14 ;     
01.11.2008 00:00:00   ;   355,20 ;     
01.12.2008 00:00:00   ;   355,45 ;     
01.01.2009 00:00:00   ;   355,37 ;     
01.02.2009 00:00:00   ;   355,45 ;     
01.03.2009 00:00:00   ;   355,47 ;     
01.04.2009 00:00:00   ;   355,45 ;     
01.05.2009 00:00:00   ;   355,28 ;     
01.06.2009 00:00:00   ;   355,27 ;     
01.07.2009 00:00:00   ;   355,54 ;     
01.08.2009 00:00:00   ;   355,55 ;     
01.09.2009 00:00:00   ;   355,55 ;     
01.10.2009 00:00:00   ;   355,45 ;     
01.11.2009 00:00:00   ;   355,49 ;     
01.12.2009 00:00:00   ;   355,49 ;     
01.01.2010 00:00:00   ;   355,43 ;     
01.02.2010 00:00:00   ;   355,35 ;     
01.03.2010 00:00:00   ;   355,43 ;     
01.04.2010 00:00:00   ;   355,31 ;     
01.05.2010 00:00:00   ;   355,30 ;     
01.06.2010 00:00:00   ;   355,41 ;     
01.07.2010 00:00:00   ;   355,19 ;     
01.08.2010 00:00:00   ;   355,36 ;     
01.09.2010 00:00:00   ;   355,37 ;     
01.10.2010 00:00:00   ;   355,40 ;     
01.11.2010 00:00:00   ;   355,41 ;     
01.12.2010 00:00:00   ;   355,49 ;     
01.01.2011 00:00:00   ;   355,40 ;     
01.02.2011 00:00:00   ;   355,15 ;     
01.03.2011 00:00:00   ;   355,36 ;     
01.04.2011 00:00:00   ;   355,22 ;     
01.05.2011 00:00:00   ;   355,18 ;     
01.06.2011 00:00:00   ;   355,28 ;     
01.07.2011 00:00:00   ;   355,19 ;     
01.08.2011 00:00:00   ;   355,26 ;     
01.09.2011 00:00:00   ;   355,12 ;     
01.10.2011 00:00:00   ;   355,10 ;     
01.11.2011 00:00:00   ;   355,10 ;     
01.12.2011 00:00:00   ;   355,06 ;     
01.01.2012 00:00:00   ;   355,03 ;     
01.02.2012 00:00:00   ;   354,96 ;     
01.03.2012 00:00:00   ;   355,10 ;     
01.04.2012 00:00:00   ;   355,10 ;     
01.05.2012 00:00:00   ;   355,10 ;     
01.06.2012 00:00:00   ;   355,09 ;     
01.07.2012 00:00:00   ;   355,30 ;     
01.08.2012 00:00:00   ;   355,13 ;     
01.09.2012 00:00:00   ;   355,17 ;     
01.10.2012 00:00:00   ;   355,30 ;     
01.11.2012 00:00:00   ;   355,51 ;     
01.12.2012 00:00:00   ;   355,39 ;     
01.01.2013 00:00:00   ;   355,46 ;     
01.02.2013 00:00:00   ;   355,61 ;     
01.03.2013 00:00:00   ;   355,74 ;     
01.04.2013 00:00:00   ;   355,71 ;     
01.05.2013 00:00:00   ;   355,71 ;     
01.06.2013 00:00:00   ;   355,52 ;     
01.07.2013 00:00:00   ;   355,22 ;     
01.08.2013 00:00:00   ;   355,11 ;     
01.09.2013 00:00:00   ;   355,18 ;     
01.10.2013 00:00:00   ;   355,28 ;     
01.11.2013 00:00:00   ;   355,51 ;     
01.12.2013 00:00:00   ;   355,53 ;     
01.01.2014 00:00:00   ;   355,53 ;     
01.02.2014 00:00:00   ;   355,68 ;     
01.03.2014 00:00:00   ;   355,61 ;     
01.04.2014 00:00:00   ;   355,49 ;     
01.05.2014 00:00:00   ;   355,62 ;     
01.06.2014 00:00:00   ;   355,35 ;     
01.07.2014 00:00:00   ;   355,53 ;     
01.08.2014 00:00:00   ;   355,66 ;     
01.09.2014 00:00:00   ;   355,77 ;     
01.10.2014 00:00:00   ;   355,48 ;     
01.11.2014 00:00:00   ;   355,48 ;     
01.12.2014 00:00:00   ;   355,60 ;     
01.01.2015 00:00:00   ;   355,62 ;     
01.02.2015 00:00:00   ;   355,63 ;     
01.03.2015 00:00:00   ;   355,57 ;     
01.04.2015 00:00:00   ;   355,50 ;     
01.05.2015 00:00:00   ;   355,48 ;     
01.06.2015 00:00:00   ;   355,32 ;     
01.07.2015 00:00:00   ;   355,18 ;     
01.08.2015 00:00:00   ;   355,06 ;     
01.09.2015 00:00:00   ;   354,98 ;     
01.10.2015 00:00:00   ;   355,20 ;     
01.11.2015 00:00:00   ;   355,17 ;     
01.12.2015 00:00:00   ;   355,06 ;     
01.01.2016 00:00:00   ;   355,13 ;     
01.02.2016 00:00:00   ;   355,38 ;     
01.03.2016 00:00:00   ;   355,52 ;     
01.04.2016 00:00:00   ;   355,43 ;     
01.05.2016 00:00:00   ;   355,53 ;     
01.06.2016 00:00:00   ;   355,48 ;     
01.07.2016 00:00:00   ;   355,45 ;     
01.08.2016 00:00:00   ;   355,57 ;     
01.09.2016 00:00:00   ;   355,47 ;     
01.10.2016 00:00:00   ;   355,34 ;     
01.11.2016 00:00:00   ;   355,60 ;     
01.12.2016 00:00:00   ;   355,50 ;     
01.01.2017 00:00:00   ;   355,35 ;     
01.02.2017 00:00:00   ;   355,48 ;     
01.03.2017 00:00:00   ;   355,52 ;     
01.04.2017 00:00:00   ;   355,35 ;     
01.05.2017 00:00:00   ;   355,36 ;     
01.06.2017 00:00:00   ;   355,20 ;     
01.07.2017 00:00:00   ;   355,19 ;     
01.08.2017 00:00:00   ;   355,42 ;     
01.09.2017 00:00:00   ;   355,50 ;     
01.10.2017 00:00:00   ;   355,12 ;     
01.11.2017 00:00:00   ;   355,07 ;     
01.12.2017 00:00:00   ;   355,23 ;     
01.01.2018 00:00:00   ;   355,29 ;     
01.02.2018 00:00:00   ;   355,41 ;     
01.03.2018 00:00:00   ;   355,69 ;     
01.04.2018 00:00:00   ;   355,70 ;     
01.05.2018 00:00:00   ;   355,77 ;     
01.06.2018 00:00:00   ;   355,84 ;     
01.07.2018 00:00:00   ;   355,63 ;     
01.08.2018 00:00:00   ;   355,57 ;     
01.09.2018 00:00:00   ;   355,63 ;     
01.10.2018 00:00:00   ;   355,37 ;     
01.11.2018 00:00:00   ;   355,49 ;     
01.12.2018 00:00:00   ;   355,57 ;     
01.01.2019 00:00:00   ;   355,49 ;     
01.02.2019 00:00:00   ;   355,52 ;     
01.03.2019 00:00:00   ;   355,47 ;     
01.04.2019 00:00:00   ;   355,42 ;     
01.05.2019 00:00:00   ;   355,40 ;     
01.06.2019 00:00:00   ;   355,46 ;     
01.07.2019 00:00:00   ;   355,28 ;     
01.08.2019 00:00:00   ;   355,23 ;     
01.09.2019 00:00:00   ;   355,29 ;     
01.10.2019 00:00:00   ;   355,17 ;     
01.11.2019 00:00:00   ;   355,57 ;     
01.12.2019 00:00:00   ;   355,67 ;     
01.01.2020 00:00:00   ;   355,57 ;     
01.02.2020 00:00:00   ;   355,51 ;     
01.03.2020 00:00:00   ;   355,49 ;     
01.04.2020 00:00:00   ;   355,34 ;     
01.05.2020 00:00:00   ;   355,28 ;     
01.06.2020 00:00:00   ;   355,12 ;     
01.07.2020 00:00:00   ;   355,51 ;     
01.08.2020 00:00:00   ;   355,67 ;     
01.09.2020 00:00:00   ;   355,69 ;     
01.10.2020 00:00:00   ;   355,83 ;     
01.11.2020 00:00:00   ;   355,68 ;     
01.12.2020 00:00:00   ;   355,75 ;     
01.01.2021 00:00:00   ;   355,79 ;     
01.02.2021 00:00:00   ;   355,83 ;     
01.03.2021 00:00:00   ;   355,73 ;     
01.04.2021 00:00:00   ;   355,62 ;     
01.05.2021 00:00:00   ;   355,65 ;     
01.06.2021 00:00:00   ;   355,58 ;     
01.07.2021 00:00:00   ;   355,45 ;     
01.08.2021 00:00:00   ;   355,40 ;     
01.09.2021 00:00:00   ;   355,21 ;     
01.10.2021 00:00:00   ;   355,12 ;     
01.11.2021 00:00:00   ;   355,15 ;     
01.12.2021 00:00:00   ;   355,38 ;     
01.01.2022 00:00:00   ;Lücke         ; 
