Messstelle:                ;Mürzsteg, Bl   29021
HZB-Nummer:                ;358622
HD-Nummer:                 ;uw29021
DBMS-Nummer:               ;6003627
Fremdnummer:               ;OM8
PorenGW-Gebiet:            ;377 Dobrein
Grundwasserkörper:         ;Gruppe Nördliche Kalkalpen [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;25.06.2009
 Geländehöhe:              ;847,91
 Messpunkthöhe:            ;848,81
 Sohllage:                 ;834,11
 T-Messtiefe u.GOK:        ;9,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  25.06.2009               ;15 26 38                 ;47 40 33
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.07.2009 00:00:00   ;   844,05 ;     
01.08.2009 00:00:00   ;   844,03 ;     
01.09.2009 00:00:00   ;   844,01 ;     
01.10.2009 00:00:00   ;   844,01 ;     
01.11.2009 00:00:00   ;   843,99 ;     
01.12.2009 00:00:00   ;   843,98 ;     
01.01.2010 00:00:00   ;   843,95 ;     
01.02.2010 00:00:00   ;   843,95 ;     
01.03.2010 00:00:00   ;   844,02 ;     
01.04.2010 00:00:00   ;   844,03 ;     
01.05.2010 00:00:00   ;   844,06 ;     
01.06.2010 00:00:00   ;   844,07 ;     
01.07.2010 00:00:00   ;   844,00 ;     
01.08.2010 00:00:00   ;   844,00 ;     
01.09.2010 00:00:00   ;   844,01 ;     
01.10.2010 00:00:00   ;   843,98 ;     
01.11.2010 00:00:00   ;   843,98 ;     
01.12.2010 00:00:00   ;   843,96 ;     
01.01.2011 00:00:00   ;   843,99 ;     
01.02.2011 00:00:00   ;   843,97 ;     
01.03.2011 00:00:00   ;   843,99 ;     
01.04.2011 00:00:00   ;   843,99 ;     
01.05.2011 00:00:00   ;   843,97 ;     
01.06.2011 00:00:00   ;   843,98 ;     
01.07.2011 00:00:00   ;   843,99 ;     
01.08.2011 00:00:00   ;   843,98 ;     
01.09.2011 00:00:00   ;   843,97 ;     
01.10.2011 00:00:00   ;   843,97 ;     
01.11.2011 00:00:00   ;   843,89 ;     
01.12.2011 00:00:00   ;   843,89 ;     
01.01.2012 00:00:00   ;   843,93 ;     
01.02.2012 00:00:00   ;   843,95 ;     
01.03.2012 00:00:00   ;   844,10 ;     
01.04.2012 00:00:00   ;   844,04 ;     
01.05.2012 00:00:00   ;   843,98 ;     
