Messstelle:                ;Tristach, Bl  8 (KB4)
HZB-Nummer:                ;360628
HD-Nummer:                 ;
DBMS-Nummer:               ;7004900
Fremdnummer:               ;GW70732043
PorenGW-Gebiet:            ;410 Oberes Drautal
Grundwasserkörper:         ;Drautal [DRA]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;01.03.2020
 Geländehöhe:              ;654,53
 Messpunkthöhe:            ;655,33
 Sohllage:                 ;645,23
 T-Messtiefe u.GOK:        ;8,20
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  01.05.2015               ;12 49 20                 ;46 48 53
Anmerkungen zur Zeitreihe und zu deren Veröffentlichung im Hydrographischen Jahrbuch für ein Jahr:
  2017 HG15 häufig trockengefallen
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.05.2015 00:00:00   ;   650,09 ;     
01.06.2015 00:00:00   ;   650,62 ;     
01.07.2015 00:00:00   ;   650,62 ;     
01.08.2015 00:00:00   ;   650,57 ;     
01.09.2015 00:00:00   ;   650,18 ;     
01.10.2015 00:00:00   ;   649,91 ;     
01.11.2015 00:00:00   ;   649,59 ;     
01.12.2015 00:00:00   ;   649,19 ;     
01.01.2016 00:00:00   ;   648,83 ;     
01.02.2016 00:00:00   ;   648,62 ;     
01.03.2016 00:00:00   ;   648,72 ;     
01.04.2016 00:00:00   ;   649,11 ;     
01.05.2016 00:00:00   ;   649,29 ;     
01.06.2016 00:00:00   ;   649,98 ;     
01.07.2016 00:00:00   ;   650,37 ;     
01.08.2016 00:00:00   ;   650,35 ;     
01.09.2016 00:00:00   ;   650,05 ;     
01.10.2016 00:00:00   ;   649,66 ;     
01.11.2016 00:00:00   ;   649,40 ;     
01.12.2016 00:00:00   ;   649,07 ;     
01.01.2017 00:00:00   ;   648,71 ;     
01.02.2017 00:00:00   ;   648,51 ;     
01.03.2017 00:00:00   ;   648,46 ;     
01.04.2017 00:00:00   ;   648,49 ;     
01.05.2017 00:00:00   ;   648,78 ;     
01.06.2017 00:00:00   ;   649,42 ;     
01.07.2017 00:00:00   ;   649,64 ;     
01.08.2017 00:00:00   ;   649,75 ;     
01.09.2017 00:00:00   ;   649,74 ;     
01.10.2017 00:00:00   ;   649,51 ;     
01.11.2017 00:00:00   ;   649,25 ;     
01.12.2017 00:00:00   ;   649,04 ;     
01.01.2018 00:00:00   ;   649,04 ;     
01.02.2018 00:00:00   ;   648,83 ;     
01.03.2018 00:00:00   ;   648,81 ;     
01.04.2018 00:00:00   ;   649,46 ;     
01.05.2018 00:00:00   ;   650,14 ;     
01.06.2018 00:00:00   ;   650,44 ;     
01.07.2018 00:00:00   ;   650,18 ;     
01.08.2018 00:00:00   ;   649,88 ;     
01.09.2018 00:00:00   ;   649,80 ;     
01.10.2018 00:00:00   ;   649,42 ;     
01.11.2018 00:00:00   ;   650,28 ;     
01.12.2018 00:00:00   ;   649,97 ;     
01.01.2019 00:00:00   ;   649,78 ;     
01.02.2019 00:00:00   ;   649,80 ;     
01.03.2019 00:00:00   ;   650,06 ;     
01.04.2019 00:00:00   ;   650,28 ;     
01.05.2019 00:00:00   ;   650,63 ;     
01.06.2019 00:00:00   ;   651,37 ;     
01.07.2019 00:00:00   ;   651,36 ;     
01.08.2019 00:00:00   ;   651,02 ;     
01.09.2019 00:00:00   ;   650,65 ;     
01.10.2019 00:00:00   ;   650,20 ;     
01.11.2019 00:00:00   ;   650,65 ;     
01.12.2019 00:00:00   ;   650,80 ;     
01.01.2020 00:00:00   ;   650,50 ;     
01.02.2020 00:00:00   ;   650,19 ;     
01.03.2020 00:00:00   ;   650,03 ;     
01.04.2020 00:00:00   ;   650,03 ;     
01.05.2020 00:00:00   ;   650,51 ;     
01.06.2020 00:00:00   ;   651,02 ;     
01.07.2020 00:00:00   ;   651,33 ;     
01.08.2020 00:00:00   ;   651,20 ;     
01.09.2020 00:00:00   ;   651,26 ;     
01.10.2020 00:00:00   ;   651,21 ;     
01.11.2020 00:00:00   ;   651,00 ;     
01.12.2020 00:00:00   ;   651,30 ;     
01.01.2021 00:00:00   ;   651,00 ;     
01.02.2021 00:00:00   ;   650,75 ;     
01.03.2021 00:00:00   ;   650,97 ;     
01.04.2021 00:00:00   ;   651,59 ;     
01.05.2021 00:00:00   ;   651,57 ;     
01.06.2021 00:00:00   ;   651,86 ;     
01.07.2021 00:00:00   ;   651,90 ;     
01.08.2021 00:00:00   ;   651,66 ;     
01.09.2021 00:00:00   ;   651,11 ;     
01.10.2021 00:00:00   ;   650,64 ;     
01.11.2021 00:00:00   ;   650,30 ;     
01.12.2021 00:00:00   ;   649,89 ;     
01.01.2022 00:00:00   ;Lücke         ; 
