Messstelle:                ;Wettmannstätten, Bl 4229
HZB-Nummer:                ;361121
HD-Nummer:                 ;uw4229
DBMS-Nummer:               ;6003683
Fremdnummer:               ;F63/03
PorenGW-Gebiet:            ;383 Lassnitztal
Grundwasserkörper:         ;Lassnitz, Stainzbach [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;14.12.2016
 Geländehöhe:              ;293,28
 Messpunkthöhe:            ;294,23
 Sohllage:                 ;288,23
 T-Messtiefe u.GOK:        ;5,05
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  14.12.2016               ;15 22 57                 ;46 50 14
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.01.2017 00:00:00   ;   290,96 ;     
01.02.2017 00:00:00   ;   291,10 ;     
01.03.2017 00:00:00   ;   290,96 ;     
01.04.2017 00:00:00   ;   290,90 ;     
01.05.2017 00:00:00   ;   291,04 ;     
01.06.2017 00:00:00   ;   290,99 ;     
01.07.2017 00:00:00   ;   290,88 ;     
01.08.2017 00:00:00   ;   290,80 ;     
01.09.2017 00:00:00   ;   290,98 ;     
01.10.2017 00:00:00   ;   290,91 ;     
01.11.2017 00:00:00   ;   291,04 ;     
01.12.2017 00:00:00   ;   291,12 ;     
01.01.2018 00:00:00   ;   291,06 ;     
01.02.2018 00:00:00   ;   291,16 ;     
01.03.2018 00:00:00   ;   291,36 ;     
01.04.2018 00:00:00   ;   291,33 ;     
01.05.2018 00:00:00   ;   291,58 ;     
01.06.2018 00:00:00   ;   291,45 ;     
01.07.2018 00:00:00   ;   291,24 ;     
01.08.2018 00:00:00   ;   291,04 ;     
01.09.2018 00:00:00   ;   291,19 ;     
01.10.2018 00:00:00   ;   291,02 ;     
01.11.2018 00:00:00   ;   291,07 ;     
01.12.2018 00:00:00   ;   291,03 ;     
01.01.2019 00:00:00   ;   290,91 ;     
01.02.2019 00:00:00   ;   290,95 ;     
01.03.2019 00:00:00   ;   290,89 ;     
01.04.2019 00:00:00   ;   290,92 ;     
01.05.2019 00:00:00   ;   290,93 ;     
01.06.2019 00:00:00   ;   291,08 ;     
01.07.2019 00:00:00   ;   291,02 ;     
01.08.2019 00:00:00   ;   291,04 ;     
01.09.2019 00:00:00   ;   291,11 ;     
01.10.2019 00:00:00   ;   290,95 ;     
01.11.2019 00:00:00   ;   291,26 ;     
01.12.2019 00:00:00   ;   291,21 ;     
01.01.2020 00:00:00   ;   291,05 ;     
01.02.2020 00:00:00   ;   290,97 ;     
01.03.2020 00:00:00   ;   290,95 ;     
01.04.2020 00:00:00   ;   290,96 ;     
01.05.2020 00:00:00   ;   290,95 ;     
01.06.2020 00:00:00   ;   290,94 ;     
01.07.2020 00:00:00   ;   291,19 ;     
01.08.2020 00:00:00   ;   291,27 ;     
01.09.2020 00:00:00   ;   291,18 ;     
01.10.2020 00:00:00   ;   291,27 ;     
01.11.2020 00:00:00   ;   291,21 ;     
01.12.2020 00:00:00   ;   291,38 ;     
01.01.2021 00:00:00   ;   291,34 ;     
01.02.2021 00:00:00   ;   291,27 ;     
01.03.2021 00:00:00   ;   291,10 ;     
01.04.2021 00:00:00   ;   291,13 ;     
01.05.2021 00:00:00   ;   291,17 ;     
01.06.2021 00:00:00   ;   291,08 ;     
01.07.2021 00:00:00   ;   290,81 ;     
01.08.2021 00:00:00   ;   290,92 ;     
01.09.2021 00:00:00   ;   290,85 ;     
01.10.2021 00:00:00   ;   290,98 ;     
01.11.2021 00:00:00   ;   290,97 ;     
01.12.2021 00:00:00   ;   291,08 ;     
01.01.2022 00:00:00   ;Lücke         ; 
