Messstelle:                ;Nofels, Bl 01.32.72 A
HZB-Nummer:                ;379297
HD-Nummer:                 ;01.32.72 A
DBMS-Nummer:               ;8002473
PorenGW-Gebiet:            ;004 Rheintal
Grundwasserkörper:         ;Rheintal [RHE]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;16.12.2020
 Geländehöhe:              ;429,72
 Messpunkthöhe:            ;430,62
 Sohllage:                 ;405,32
 T-Messtiefe u.GOK:        ;21,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  18.11.2020               ;09 32 32                 ;47 15 48
  01.03.1986               ;09 32 32                 ;47 15 48
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;2 Nachkommastellen
Einheit:                   ;m ü.A.
Werte:
01.02.1987 00:00:00   ;   427,58 ;     
01.03.1987 00:00:00   ;   427,76 ;     
01.04.1987 00:00:00   ;   427,83 ;     
01.05.1987 00:00:00   ;   428,10 ;     
01.06.1987 00:00:00   ;   428,56 ;     
01.07.1987 00:00:00   ;   428,77 ;     
01.08.1987 00:00:00   ;   428,57 ;     
01.09.1987 00:00:00   ;   428,28 ;     
01.10.1987 00:00:00   ;   428,07 ;     
01.11.1987 00:00:00   ;   427,75 ;     
01.12.1987 00:00:00   ;   427,67 ;     
01.01.1988 00:00:00   ;   427,62 ;     
01.02.1988 00:00:00   ;   427,63 ;     
01.03.1988 00:00:00   ;   427,80 ;     
01.04.1988 00:00:00   ;   428,09 ;     
01.05.1988 00:00:00   ;   428,29 ;     
01.06.1988 00:00:00   ;   428,38 ;     
01.07.1988 00:00:00   ;   428,29 ;     
01.08.1988 00:00:00   ;   428,14 ;     
01.09.1988 00:00:00   ;   428,07 ;     
01.10.1988 00:00:00   ;   427,85 ;     
01.11.1988 00:00:00   ;   427,62 ;     
01.12.1988 00:00:00   ;   427,79 ;     
01.01.1989 00:00:00   ;   427,63 ;     
01.02.1989 00:00:00   ;   427,51 ;     
01.03.1989 00:00:00   ;   427,52 ;     
01.04.1989 00:00:00   ;   427,60 ;     
01.05.1989 00:00:00   ;   427,78 ;     
01.06.1989 00:00:00   ;   427,86 ;     
01.07.1989 00:00:00   ;   427,94 ;     
01.08.1989 00:00:00   ;   427,85 ;     
01.09.1989 00:00:00   ;   427,63 ;     
01.10.1989 00:00:00   ;   427,54 ;     
01.11.1989 00:00:00   ;   427,41 ;     
01.12.1989 00:00:00   ;   427,29 ;     
01.01.1990 00:00:00   ;   427,08 ;     
01.02.1990 00:00:00   ;   427,42 ;     
01.03.1990 00:00:00   ;   427,62 ;     
01.04.1990 00:00:00   ;   427,46 ;     
01.05.1990 00:00:00   ;   427,72 ;     
01.06.1990 00:00:00   ;   428,02 ;     
01.07.1990 00:00:00   ;   428,17 ;     
01.08.1990 00:00:00   ;   427,69 ;     
01.09.1990 00:00:00   ;   427,46 ;     
01.10.1990 00:00:00   ;   427,34 ;     
01.11.1990 00:00:00   ;   427,36 ;     
01.12.1990 00:00:00   ;   427,34 ;     
01.01.1991 00:00:00   ;   427,31 ;     
01.02.1991 00:00:00   ;   427,32 ;     
01.03.1991 00:00:00   ;   427,30 ;     
01.04.1991 00:00:00   ;   427,38 ;     
01.05.1991 00:00:00   ;   427,51 ;     
01.06.1991 00:00:00   ;   428,05 ;     
01.07.1991 00:00:00   ;   428,33 ;     
01.08.1991 00:00:00   ;   428,02 ;     
01.09.1991 00:00:00   ;   427,74 ;     
01.10.1991 00:00:00   ;   427,78 ;     
01.11.1991 00:00:00   ;   427,54 ;     
01.12.1991 00:00:00   ;   427,52 ;     
01.01.1992 00:00:00   ;   427,50 ;     
01.02.1992 00:00:00   ;   427,46 ;     
01.03.1992 00:00:00   ;   427,57 ;     
01.04.1992 00:00:00   ;   427,79 ;     
01.05.1992 00:00:00   ;   428,13 ;     
01.06.1992 00:00:00   ;   428,22 ;     
01.07.1992 00:00:00   ;   428,06 ;     
01.08.1992 00:00:00   ;   427,81 ;     
01.09.1992 00:00:00   ;   427,68 ;     
01.10.1992 00:00:00   ;   427,47 ;     
01.11.1992 00:00:00   ;   427,57 ;     
01.12.1992 00:00:00   ;   427,81 ;     
01.01.1993 00:00:00   ;   427,58 ;     
01.02.1993 00:00:00   ;   427,54 ;     
01.03.1993 00:00:00   ;   427,48 ;     
01.04.1993 00:00:00   ;   427,60 ;     
01.05.1993 00:00:00   ;   427,82 ;     
01.06.1993 00:00:00   ;   427,99 ;     
01.07.1993 00:00:00   ;   428,19 ;     
01.08.1993 00:00:00   ;   428,18 ;     
01.09.1993 00:00:00   ;   428,35 ;     
01.10.1993 00:00:00   ;   428,55 ;     
01.11.1993 00:00:00   ;   428,12 ;     
01.12.1993 00:00:00   ;   427,85 ;     
01.01.1994 00:00:00   ;   427,79 ;     
01.02.1994 00:00:00   ;   427,70 ;     
01.03.1994 00:00:00   ;   427,73 ;     
01.04.1994 00:00:00   ;   427,73 ;     
01.05.1994 00:00:00   ;   428,00 ;     
01.06.1994 00:00:00   ;   428,25 ;     
01.07.1994 00:00:00   ;   428,07 ;     
01.08.1994 00:00:00   ;   427,88 ;     
01.09.1994 00:00:00   ;   427,95 ;     
01.10.1994 00:00:00   ;   427,66 ;     
01.11.1994 00:00:00   ;   427,36 ;     
01.12.1994 00:00:00   ;   427,39 ;     
01.01.1995 00:00:00   ;   427,53 ;     
01.02.1995 00:00:00   ;   427,60 ;     
01.03.1995 00:00:00   ;   427,55 ;     
01.04.1995 00:00:00   ;   427,85 ;     
01.05.1995 00:00:00   ;   427,90 ;     
01.06.1995 00:00:00   ;   428,12 ;     
