Messstelle:                ;Straßwalchen, Bl 8
HZB-Nummer:                ;358069
HD-Nummer:                 ;
DBMS-Nummer:               ;5002446
PorenGW-Gebiet:            ;055 Mattigtal
Grundwasserkörper:         ;Gruppe Salzburger Alpenvorland [DBJ]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;08.10.2014
 Geländehöhe:              ;540,79
 Messpunkthöhe:            ;540,70
 Sohllage:                 ;506,27
 T-Messtiefe u.GOK:        ;34,10
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  09.08.2011               ;13 14 42                 ;47 58 15
Exportzeitreihe:           ;FUGWTEP,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (0)
Werteinformation:          ;GWT-Messhöhe(n) unter GOK: 9.8.11: 34.7 - 8.10.14: 34.1 - ~~;aus 1.1.16: 3TAGESMINIMA - 1.10.21
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
Exportzeitraum:            ;Datenbeginn; bis ;01.01.2022 00:00
Hinweis:                   ;Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               ;1 Nachkommastelle
Einheit:                   ;°C
Werte:
01.09.2011 00:00:00   ;     9,8 ;     
01.10.2011 00:00:00   ;     9,8 ;     
01.11.2011 00:00:00   ;     9,8 ;     
01.12.2011 00:00:00   ;     9,8 ;     
01.01.2012 00:00:00   ;     9,8 ;     
01.02.2012 00:00:00   ;     9,8 ;     
01.03.2012 00:00:00   ;     9,8 ;     
01.04.2012 00:00:00   ;     9,8 ;     
01.05.2012 00:00:00   ;     9,8 ;     
01.06.2012 00:00:00   ;     9,8 ;     
01.07.2012 00:00:00   ;     9,8 ;     
01.08.2012 00:00:00   ;     9,8 ;     
01.09.2012 00:00:00   ;     9,8 ;     
01.10.2012 00:00:00   ;     9,8 ;     
01.11.2012 00:00:00   ;     9,8 ;     
01.12.2012 00:00:00   ;     9,8 ;     
01.01.2013 00:00:00   ;     9,8 ;     
01.02.2013 00:00:00   ;     9,8 ;     
01.03.2013 00:00:00   ;     9,8 ;     
01.04.2013 00:00:00   ;     9,8 ;     
01.05.2013 00:00:00   ;     9,8 ;     
