Messstelle:                ;Klösterle (ÖBB)
HZB-Nummer:                ;200592
HD-Nummer:                 ;
DBMS-Nummer:               ;8002380
Gewässer:                  ;Alfenz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Vorarlberger Kraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;66,47
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1998              ;01014,35
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1998              ;129424,00 - 221155,00
Exportzeitreihe:           ;(8002380,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1998 00:15,01.01.2022 00:00]
Werte:
13.01.1998 11:30:00;  2,21
28.02.1998 20:30:00;  2,21
31.03.1998 21:30:00;  3,45
26.04.1998 17:30:00;  7,47
13.05.1998 19:30:00;  12,0
27.06.1998 21:30:00;  13,6
27.07.1998 20:30:00;  10,5
23.08.1998 05:00:00;  11,7
05.09.1998 16:00:00;  8,16
25.10.1998 08:45:00;  8,16
10.11.1998 16:45:00;  8,97
13.12.1998 10:45:00;  3,07
21.01.1999 04:15:00;  2,01
12.02.1999 15:15:00;  3,28
16.03.1999 22:15:00;  2,80
29.04.1999 20:00:00;  8,51
12.05.1999 14:30:00;  25,3
03.06.1999 01:00:00;  34,6
05.07.1999 09:30:00;  13,0
10.08.1999 12:45:00;  19,0
26.09.1999 20:00:00;  18,0
01.10.1999 00:00:00;  7,64
08.11.1999 12:15:00;  4,11
19.12.1999 10:30:00;  2,76
31.01.2000 05:30:00;  1,92
15.02.2000 10:00:00;  3,07
09.03.2000 16:45:00;  3,40
29.04.2000 18:45:00;  13,0
16.05.2000 21:45:00;  15,6
14.06.2000 20:30:00;  14,9
24.07.2000 23:00:00;  33,3
07.08.2000 08:15:00;  22,6
21.09.2000 07:45:00;  13,1
02.10.2000 17:30:00;  6,42
03.11.2000 11:00:00;  3,40
01.12.2000 00:00:00;  2,05
09.01.2001 02:45:00;  2,08
17.02.2001 05:00:00;  2,08
24.03.2001 20:45:00;  6,26
30.04.2001 18:00:00;  7,72
31.05.2001 16:00:00;  19,4
10.06.2001 21:30:00;  20,5
15.07.2001 23:00:00;  14,6
10.08.2001 01:15:00;  12,3
09.09.2001 02:30:00;  21,6
15.10.2001 10:30:00;  6,04
12.11.2001 19:00:00;  2,91
01.12.2001 23:00:00;  3,07
27.01.2002 21:00:00;  2,64
02.02.2002 04:15:00;  2,21
20.03.2002 08:15:00;  18,7
27.04.2002 02:30:00;  6,08
19.05.2002 00:15:00;  14,3
07.06.2002 08:00:00;  12,2
04.07.2002 05:45:00;  14,0
12.08.2002 03:00:00;  24,5
22.09.2002 09:15:00;  6,34
17.10.2002 16:15:00;  6,08
03.11.2002 20:00:00;  14,2
23.12.2002 01:45:00;  3,39
01.01.2003 00:00:00;  2,35
15.02.2003 23:45:00;  1,88
30.03.2003 19:00:00;  2,76
30.04.2003 23:59:55;  8,16
01.05.2003 01:00:00;  8,97
06.06.2003 18:00:00;  12,2
28.07.2003 01:45:00;  8,48
29.08.2003 20:30:00;  7,93
11.09.2003 11:30:00;  5,59
09.10.2003 10:15:00;  10,8
01.11.2003 07:30:00;  2,76
02.12.2003 18:30:00;  1,99
14.01.2004 03:15:00;  2,76
04.02.2004 13:30:00;  1,88
21.03.2004 16:30:00;  2,49
29.04.2004 18:30:00;  6,08
21.05.2004 19:00:00;  13,6
28.06.2004 04:30:00;  34,2
09.07.2004 06:00:00;  12,3
20.08.2004 11:30:00;  11,0
24.09.2004 03:00:00;  17,0
06.10.2004 08:15:00;  4,91
04.11.2004 10:15:00;  2,91
01.12.2004 00:00:00;  1,77
03.01.2005 05:45:00;  1,66
13.02.2005 01:15:00;  2,11
25.03.2005 11:30:00;  4,91
30.04.2005 19:15:00;  10,2
29.05.2005 22:15:00;  19,7
25.06.2005 18:00:00;  14,3
19.07.2005 00:00:00;  12,3
23.08.2005 02:00:00;  77,3
17.09.2005 01:15:00;  5,63
02.10.2005 19:00:00;  6,78
10.11.2005 14:30:00;  3,13
31.12.2005 14:15:00;  2,04
11.01.2006 05:45:00;  2,04
06.02.2006 14:45:00;  1,71
31.03.2006 16:15:00;  2,11
28.04.2006 19:45:00;  8,09
19.05.2006 06:15:00;  25,6
16.06.2006 19:00:00;  25,0
28.07.2006 20:00:00;  29,5
28.08.2006 22:15:00;  15,3
18.09.2006 22:45:00;  8,10
03.10.2006 23:00:00;  14,4
14.11.2006 12:45:00;  6,54
06.12.2006 14:45:00;  2,76
19.01.2007 11:30:00;  10,8
28.02.2007 04:45:00;  2,23
16.03.2007 21:15:00;  2,91
27.04.2007 16:45:00;  6,79
23.05.2007 18:00:00;  11,3
26.06.2007 02:45:00;  12,1
09.07.2007 19:00:05;  17,7
30.08.2007 04:45:00;  15,2
03.09.2007 22:00:00;  12,1
17.10.2007 08:30:00;  6,05
22.11.2007 19:00:00;  2,76
07.12.2007 13:00:00;  4,11
02.01.2008 04:00:00;  2,11
13.02.2008 18:45:00;  1,91
01.03.2008 15:15:00;  2,46
29.04.2008 04:30:00;  5,84
28.05.2008 18:00:00;  20,7
23.06.2008 21:15:00;  21,8
13.07.2008 10:45:00;  29,6
15.08.2008 08:30:00;  11,6
14.09.2008 13:15:00;  7,47
16.10.2008 23:00:00;  5,74
03.11.2008 23:45:00;  2,46
01.12.2008 07:00:00;  2,05
08.01.2009 18:30:00;  1,92
06.02.2009 08:30:00;  1,92
08.03.2009 17:45:00;  1,92
14.04.2009 17:15:00;  5,96
27.05.2009 01:45:00;  16,8
16.06.2009 01:00:00;  22,3
24.07.2009 22:00:00;  15,0
03.08.2009 22:30:00;  7,89
04.09.2009 22:30:00;  7,74
12.10.2009 07:00:00;  5,23
18.11.2009 11:45:00;  5,88
07.12.2009 23:15:00;  2,95
02.01.2010 05:15:00;  2,35
02.02.2010 08:15:00;  2,08
26.03.2010 17:15:00;  3,28
