Messstelle:                ;Lilienfeld-Marktl
HZB-Nummer:                ;207894
HD-Nummer:                 ;no200
DBMS-Nummer:               ;3001029
Gewässer:                  ;Traisen
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;345,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00371,02
   01.01.1980              ;00370,99
   17.11.2005              ;00356,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;694538,30 - 319631,30
   17.11.2005              ;695714,00 - 321116,00
Exportzeitreihe:           ;(3001029,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[02.01.1959 12:00,01.01.2022 00:00]
Werte:
02.01.1959 12:00:00;  11,3
28.02.1959 12:00:00;  6,18
09.03.1959 12:00:00;  11,3
20.04.1959 12:00:00;  40,2
03.05.1959 12:00:00;  12,2
13.06.1959 12:00:00;  71,8
21.07.1959 12:00:00;   160
13.08.1959 12:00:00;  55,2
01.09.1959 12:00:00;  8,77
02.10.1959 12:00:00;  5,91
15.11.1959 12:00:00;  6,80
31.12.1959 12:00:00;  22,7
02.01.1960 12:00:00;  12,6
27.02.1960 12:00:00;  14,4
02.03.1960 12:00:00;  14,8
25.04.1960 12:00:00;  10,9
23.05.1960 12:00:00;  16,7
05.06.1960 12:00:00;  7,74
25.07.1960 12:00:00;  28,0
21.08.1960 12:00:00;  14,8
27.09.1960 12:00:00;  10,9
19.10.1960 12:00:00;  11,3
30.11.1960 12:00:00;  6,49
02.12.1960 12:00:00;  6,49
12.01.1961 12:00:00;  9,82
10.02.1961 12:00:00;  22,7
14.03.1961 12:00:00;  18,4
03.04.1961 12:00:00;  10,7
13.05.1961 12:00:00;  29,0
03.06.1961 12:00:00;  22,9
13.07.1961 12:00:00;  5,68
20.08.1961 12:00:00;  8,42
17.09.1961 12:00:00;  4,24
18.10.1961 12:00:00;  5,68
13.11.1961 12:00:00;  12,5
13.12.1961 12:00:00;   150
27.01.1962 12:00:00;  19,4
13.02.1962 12:00:00;  32,0
06.03.1962 12:00:00;  20,3
01.04.1962 12:00:00;  19,2
21.05.1962 12:00:00;  27,5
19.06.1962 12:00:00;  11,6
23.07.1962 12:00:00;  9,90
18.08.1962 12:00:00;  6,57
24.09.1962 12:00:00;  15,0
15.10.1962 12:00:00;  4,54
19.11.1962 12:00:00;  5,41
16.12.1962 12:00:00;  28,8
07.01.1963 12:00:00;  4,83
23.02.1963 12:00:00;  4,25
21.03.1963 12:00:00;  22,0
11.04.1963 12:00:00;  19,2
06.05.1963 12:00:00;  13,3
26.06.1963 12:00:00;  17,8
01.07.1963 12:00:00;  11,3
31.08.1963 12:00:00;  6,49
09.09.1963 12:00:00;  19,9
09.10.1963 12:00:00;  10,6
21.11.1963 12:00:00;  10,6
04.12.1963 12:00:00;  5,38
13.01.1964 12:00:00;  4,42
05.02.1964 12:00:00;  5,91
23.03.1964 12:00:00;  27,0
25.04.1964 12:00:00;  29,6
21.05.1964 12:00:00;  90,0
20.06.1964 12:00:00;  12,2
11.07.1964 12:00:00;  11,3
03.08.1964 12:00:00;  9,82
22.09.1964 12:00:00;  7,74
20.10.1964 12:00:00;  23,3
18.11.1964 12:00:00;  25,8
21.12.1964 12:00:00;  9,82
11.01.1965 12:00:00;  11,3
01.02.1965 12:00:00;  16,7
31.03.1965 12:00:00;  39,5
22.04.1965 12:00:00;   120
12.05.1965 12:00:00;  86,3
11.06.1965 12:00:00;  25,8
04.07.1965 12:00:00;  11,3
06.08.1965 12:00:00;  11,3
01.09.1965 12:00:00;  9,45
01.10.1965 12:00:00;  6,49
02.11.1965 12:00:00;  4,85
15.12.1965 12:00:00;  11,3
31.01.1966 12:00:00;  9,11
08.02.1966 12:00:00;  22,1
19.03.1966 12:00:00;  9,82
18.04.1966 12:00:00;  15,7
29.05.1966 12:00:00;  13,1
30.06.1966 12:00:00;  16,7
25.07.1966 12:00:00;   170
19.08.1966 12:00:00;  71,8
10.09.1966 12:00:00;  14,8
04.10.1966 12:00:00;  9,11
04.11.1966 12:00:00;  7,74
20.12.1966 12:00:00;  23,3
27.01.1967 12:00:00;  15,7
04.02.1967 12:00:00;  33,4
23.03.1967 12:00:00;  27,0
10.04.1967 12:00:00;  25,8
31.05.1967 12:00:00;  77,0
01.06.1967 12:00:00;  40,2
10.07.1967 12:00:00;  44,6
05.08.1967 12:00:00;  7,74
17.09.1967 12:00:00;  12,6
06.10.1967 12:00:00;  6,49
27.11.1967 12:00:00;  5,12
24.12.1967 12:00:00;  30,8
16.01.1968 12:00:00;  37,5
01.02.1968 12:00:00;  10,2
19.03.1968 12:00:00;  14,4
03.04.1968 12:00:00;  14,8
02.05.1968 12:00:00;  7,12
14.06.1968 12:00:00;  5,38
22.07.1968 12:00:00;  40,0
09.08.1968 12:00:00;  20,9
01.09.1968 12:00:00;  9,45
03.10.1968 12:00:00;  25,8
06.11.1968 12:00:00;  5,91
24.12.1968 12:00:00;  5,91
29.01.1969 12:00:00;  7,74
27.02.1969 12:00:00;  9,82
15.03.1969 12:00:00;  13,1
26.04.1969 12:00:00;  15,7
01.05.1969 12:00:00;  13,9
07.06.1969 12:00:00;  72,0
12.07.1969 12:00:00;  9,11
26.08.1969 12:00:00;  10,6
01.09.1969 12:00:00;  7,74
17.10.1969 12:00:00;  4,85
26.11.1969 12:00:00;  5,91
31.12.1969 12:00:00;  4,85
14.01.1970 12:00:00;  7,74
23.02.1970 12:00:00;  65,0
23.03.1970 12:00:00;  27,0
21.04.1970 12:00:00;  27,0
06.05.1970 12:00:00;  20,9
10.06.1970 12:00:00;  19,9
18.07.1970 12:00:00;   130
09.08.1970 12:00:00;  32,1
02.09.1970 12:00:00;  8,42
06.10.1970 12:00:00;  23,3
23.11.1970 12:00:00;  38,8
02.12.1970 12:00:00;  13,9
27.01.1971 12:00:00;  7,74
28.02.1971 12:00:00;  6,49
22.03.1971 12:00:00;  18,8
01.04.1971 12:00:00;  12,2
31.05.1971 12:00:00;  10,6
12.06.1971 12:00:00;  33,4
02.07.1971 12:00:00;  9,11
31.08.1971 12:00:00;  5,38
30.09.1971 12:00:00;  5,38
17.10.1971 12:00:00;  7,15
30.11.1971 12:00:00;  5,99
21.12.1971 12:00:00;  89,0
02.01.1972 12:00:00;  6,57
21.02.1972 12:00:00;  10,7
01.03.1972 12:00:00;  8,57
17.04.1972 12:00:00;  16,1
31.05.1972 12:00:00;  13,1
02.06.1972 12:00:00;  16,7
14.07.1972 12:00:00;   110
21.08.1972 12:00:00;  47,6
24.09.1972 12:00:00;  8,42
28.10.1972 12:00:00;  6,49
27.11.1972 12:00:00;  7,74
05.12.1972 12:00:00;  6,49
29.01.1973 12:00:00;  6,49
23.02.1973 12:00:00;  7,74
29.03.1973 12:00:00;  23,8
30.04.1973 12:00:00;  25,0
02.05.1973 12:00:00;  32,6
25.06.1973 12:00:00;  99,0
10.07.1973 12:00:00;  11,1
02.08.1973 12:00:00;  7,26
28.09.1973 12:00:00;  7,00
24.10.1973 12:00:00;  9,16
17.11.1973 12:00:00;  22,9
07.12.1973 12:00:00;  12,5
19.01.1974 12:00:00;  55,9
10.02.1974 12:00:00;  16,3
18.03.1974 12:00:00;  11,2
03.04.1974 12:00:00;  9,21
06.05.1974 12:00:00;  44,4
13.06.1974 12:00:00;  70,2
19.07.1974 12:00:00;  14,2
07.08.1974 12:00:00;  6,91
10.09.1974 12:00:00;  5,47
28.10.1974 12:00:00;  11,2
28.11.1974 12:00:00;  6,16
09.12.1974 12:00:00;  86,0
02.01.1975 12:00:00;  17,6
03.02.1975 12:00:00;  18,1
14.03.1975 12:00:00;  8,26
14.04.1975 12:00:00;  62,5
01.05.1975 12:00:00;  11,6
30.06.1975 12:00:00;  35,8
01.07.1975 12:00:00;   170
09.08.1975 12:00:00;  12,6
22.09.1975 12:00:00;  13,8
04.10.1975 12:00:00;  7,16
21.11.1975 12:00:00;  7,68
07.12.1975 12:00:00;  6,39
01.01.1976 00:00:00; Lücke
12.01.1976 10:00:00;  51,0
01.02.1976 00:00:00;  8,70
01.03.1976 05:00:00;  8,87
27.04.1976 08:00:00;  15,8
27.05.1976 01:00:00;  16,8
03.06.1976 14:00:00;  24,9
24.07.1976 10:00:00;  18,9
21.08.1976 18:00:00;  16,1
01.09.1976 00:00:00; Lücke
18.09.1976 14:00:00;  29,0
01.10.1976 00:00:00;  8,63
15.11.1976 20:00:00;  13,0
03.12.1976 00:00:00;  17,0
27.01.1977 09:00:00;  12,9
13.02.1977 12:00:00;  25,3
04.03.1977 06:00:00;  58,8
14.04.1977 08:00:00;  24,8
16.05.1977 20:00:00;  10,8
27.06.1977 16:00:00;  10,1
21.07.1977 13:00:00;  9,46
02.08.1977 12:00:00;  78,9
19.09.1977 22:00:00;  8,12
12.10.1977 09:00:00;  8,85
27.11.1977 01:00:00;  6,98
25.12.1977 08:00:00;  24,9
01.01.1978 03:00:00;  7,92
26.02.1978 23:00:00;  14,3
30.03.1978 01:00:00;  14,8
01.04.1978 00:00:00;  12,1
10.05.1978 08:00:00;  10,7
24.06.1978 21:00:00;  7,60
05.07.1978 18:00:00;  17,0
18.08.1978 15:00:00;  4,81
30.09.1978 00:00:00;  5,85
26.10.1978 08:00:00;  16,4
01.11.1978 14:00:00;  4,72
10.12.1978 08:00:00;  19,1
01.01.1979 01:00:00;  7,50
09.02.1979 01:00:00;  10,3
12.03.1979 18:00:00;  51,5
28.04.1979 19:00:00;  24,7
03.05.1979 07:00:00;  16,5
19.06.1979 13:00:00;  12,1
15.07.1979 01:00:00;  26,5
04.08.1979 18:00:00;  9,43
05.09.1979 08:00:00;  8,51
19.10.1979 23:00:00;  6,24
27.11.1979 19:00:00;  28,9
07.12.1979 11:00:00;  14,8
