Messstelle:                ;Hörmsdorf
HZB-Nummer:                ;211961
HD-Nummer:                 ;ow3800
DBMS-Nummer:               ;6001141
Gewässer:                  ;Saggaubach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;56
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1994              ;00349,42
   20.10.1998              ;00345,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1994              ;668346,60 - 173544,50
   01.01.2018              ;668324,70 - 173550,00
Exportzeitreihe:           ;(6001141,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1994 00:15,01.01.2022 00:00]
Werte:
07.01.1994 03:00:00;  4,05
24.02.1994 11:45:00;  4,05
01.03.1994 00:00:00;  1,47
12.04.1994 11:45:00;  19,9
11.05.1994 12:00:00;  2,27
13.06.1994 07:00:00;  21,6
18.07.1994 19:15:00;  11,9
25.08.1994 18:45:00;  8,22
03.09.1994 11:45:00;  3,36
27.10.1994 00:15:00;  11,6
11.11.1994 12:45:00;  27,7
31.12.1994 07:15:00;  5,79
27.01.1995 06:45:00;  7,30
18.02.1995 17:00:00;  2,27
02.03.1995 16:45:00;  7,53
25.04.1995 09:45:00;  5,19
30.05.1995 15:15:00;  11,9
04.06.1995 19:15:00;  7,76
15.07.1995 17:00:00;  10,2
28.08.1995 14:15:00;  15,1
14.09.1995 22:15:00;  39,7
01.10.1995 00:15:00;  1,11
02.11.1995 13:00:00;  1,47
23.12.1995 17:30:00;  7,99
11.01.1996 17:15:00;  10,2
20.02.1996 06:00:00;  2,87
26.03.1996 15:45:00;  6,64
05.04.1996 03:15:00;  13,0
13.05.1996 07:15:00;  41,8
30.06.1996 05:15:00;  8,95
03.07.1996 00:30:00;  18,5
12.08.1996 21:15:00;  4,61
23.09.1996 10:00:00;  22,6
02.10.1996 19:45:00;  12,2
20.11.1996 15:15:00;  7,76
27.12.1996 06:15:00;  1,99
15.01.1997 08:31:05; 0,897
26.02.1997 06:16:45; 0,977
01.03.1997 00:00:00; 0,644
21.04.1997 15:49:25; 0,566
24.05.1997 21:07:10;  1,49
23.06.1997 06:21:25;  13,6
05.07.1997 11:47:45;  2,63
18.08.1997 10:12:55;  16,6
14.09.1997 03:50:35;  12,1
11.10.1997 06:13:00; 0,734
30.11.1997 23:59:55;  4,02
03.12.1997 18:19:25;  22,5
01.01.1998 23:08:25;  1,18
01.02.1998 00:00:00; 0,640
02.03.1998 02:24:35; 0,546
09.04.1998 13:07:15;  1,05
04.05.1998 17:43:50; 0,782
29.06.1998 07:29:30;  8,45
14.07.1998 17:15:10;  14,6
28.08.1998 00:33:45;  13,0
