Messstelle:                ;Urschwirtbrücke
HZB-Nummer:                ;212878
HD-Nummer:                 ;00506
DBMS-Nummer:               ;2001049
Gewässer:                  ;Gurk
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;230,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   26.02.1957              ;00935,40
   01.01.1976              ;00935,48
   01.01.2002              ;00934,97
   03.06.2004              ;00934,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1977              ;501572,00 - 181937,00
Exportzeitreihe:           ;(2001049,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1965 12:00,01.01.2022 00:00]
Werte:
22.01.1965 12:00:00;  5,74
16.02.1965 12:00:00;  5,50
30.03.1965 12:00:00;  4,61
09.04.1965 12:00:00;  7,43
19.05.1965 12:00:00;  32,1
17.06.1965 12:00:00;  24,8
31.07.1965 12:00:00;  42,2
01.08.1965 12:00:00;  55,2
02.09.1965 12:00:00;  36,4
01.10.1965 12:00:00;  13,8
21.11.1965 12:00:00;  5,97
05.12.1965 12:00:00;  3,38
05.01.1966 12:00:00;  1,74
22.02.1966 12:00:00;  2,14
12.03.1966 12:00:00;  1,84
30.04.1966 12:00:00;  9,82
07.05.1966 12:00:00;  15,6
24.06.1966 12:00:00;  9,27
15.07.1966 12:00:00;  20,7
19.08.1966 12:00:00;  31,7
01.09.1966 12:00:00;  15,9
17.10.1966 12:00:00;  8,45
05.11.1966 12:00:00;  60,0
02.12.1966 12:00:00;  10,9
18.01.1967 12:00:00;  1,94
27.02.1967 12:00:00;  1,74
11.03.1967 12:00:00;  2,99
13.04.1967 12:00:00;  13,8
17.05.1967 12:00:00;  14,0
10.06.1967 12:00:00;  13,2
04.07.1967 12:00:00;  5,74
01.08.1967 12:00:00;  11,8
09.09.1967 12:00:00;  20,0
05.10.1967 12:00:00;  7,42
05.11.1967 12:00:00;  10,1
11.12.1967 12:00:00;  2,01
16.01.1968 12:00:00;  1,66
25.02.1968 12:00:00;  1,89
31.03.1968 12:00:00;  6,66
24.04.1968 12:00:00;  9,24
28.05.1968 12:00:00;  14,9
15.06.1968 12:00:00;  32,0
17.07.1968 12:00:00;  10,6
18.08.1968 12:00:00;  17,9
16.09.1968 12:00:00;  11,5
15.10.1968 12:00:00;  4,22
18.11.1968 12:00:00;  7,01
01.12.1968 12:00:00;  3,12
15.01.1969 12:00:00;  1,94
17.02.1969 12:00:00;  1,84
15.03.1969 12:00:00;  3,82
29.04.1969 12:00:00;  17,6
07.05.1969 12:00:00;  19,2
08.06.1969 12:00:00;  21,0
31.07.1969 12:00:00;  15,9
24.08.1969 12:00:00;  21,0
15.09.1969 12:00:00;  9,75
01.10.1969 12:00:00;  5,20
15.11.1969 12:00:00;  12,1
03.12.1969 12:00:00;  3,30
06.01.1970 12:00:00;  1,64
12.02.1970 12:00:00;  1,40
01.03.1970 12:00:00;  2,06
26.04.1970 12:00:00;  20,3
16.05.1970 12:00:00;  24,1
30.06.1970 12:00:00;  15,8
15.07.1970 12:00:00;  26,0
09.08.1970 12:00:00;  28,0
04.09.1970 12:00:00;  7,81
01.10.1970 12:00:00;  4,42
22.11.1970 12:00:00;  2,50
01.12.1970 12:00:00;  2,02
19.01.1971 12:00:00;  1,45
02.02.1971 12:00:00;  1,17
22.03.1971 12:00:00;  4,36
24.04.1971 12:00:00;  7,81
10.05.1971 12:00:00;  8,59
04.06.1971 12:00:00;  5,89
14.07.1971 12:00:00;  3,45
15.08.1971 12:00:00;  10,0
15.09.1971 12:00:00;  3,25
15.10.1971 12:00:00;  14,5
12.11.1971 12:00:00;  3,29
11.12.1971 12:00:00;  1,74
05.01.1972 12:00:00;  1,42
29.02.1972 12:00:00;  1,57
28.03.1972 12:00:00;  6,26
22.04.1972 12:00:00;  23,9
27.05.1972 12:00:00;  32,0
17.06.1972 12:00:00;  41,0
20.07.1972 12:00:00;  23,9
01.08.1972 12:00:00;  11,8
09.09.1972 12:00:00;  3,45
09.10.1972 12:00:00;  2,27
18.11.1972 12:00:00;  2,53
02.12.1972 12:00:00;  1,74
22.01.1973 12:00:00;  1,31
02.02.1973 12:00:00;  1,10
26.03.1973 12:00:00;  2,02
10.04.1973 12:00:00;  8,84
07.05.1973 12:00:00;  23,2
23.06.1973 12:00:00;  50,3
07.07.1973 12:00:00;  12,1
28.08.1973 12:00:00;  10,8
26.09.1973 12:00:00;  53,0
01.10.1973 12:00:00;  42,3
06.11.1973 12:00:00;  3,47
22.12.1973 12:00:00;  2,38
20.01.1974 12:00:00;  2,14
19.02.1974 12:00:00;  1,64
29.03.1974 12:00:00;  8,57
01.04.1974 12:00:00;  7,76
14.05.1974 12:00:00;  8,03
29.06.1974 12:00:00;  12,7
18.07.1974 12:00:00;  13,5
28.08.1974 12:00:00;  8,84
24.09.1974 12:00:00;  16,5
01.10.1974 12:00:00;  6,26
19.11.1974 12:00:00;  2,66
02.12.1974 12:00:00;  1,74
03.01.1975 12:00:00;  1,42
05.02.1975 12:00:00;  1,27
29.03.1975 12:00:00;  2,04
25.04.1975 12:00:00;  23,6
08.05.1975 12:00:00;  57,0
02.06.1975 12:00:00;  27,2
01.07.1975 12:00:00;  20,7
25.08.1975 12:00:00;  14,5
05.09.1975 12:00:00;  9,17
17.10.1975 12:00:00;  6,01
18.11.1975 12:00:00;  2,79
01.12.1975 12:00:00;  2,79
01.01.1976 11:00:00;  1,94
23.02.1976 11:00:00;  1,69
31.03.1976 22:00:00;  2,57
08.04.1976 00:00:00;  5,39
14.05.1976 00:00:00;  19,3
02.06.1976 13:00:00;  8,92
26.07.1976 15:00:00;  13,7
01.08.1976 17:00:00;  6,42
14.09.1976 13:00:00;  22,0
30.10.1976 22:00:00;  10,9
08.11.1976 01:00:00;  9,40
02.12.1976 05:00:00;  4,25
27.01.1977 14:00:00;  1,96
25.02.1977 15:00:00;  4,47
29.03.1977 02:00:00;  9,92
30.04.1977 21:00:00;  15,3
05.05.1977 19:00:00;  17,7
15.06.1977 21:00:00;  8,40
26.07.1977 09:00:00;  13,1
19.08.1977 05:00:00;  9,48
09.09.1977 16:00:00;  4,15
10.10.1977 18:00:00;  2,19
30.11.1977 08:00:00;  1,86
12.12.1977 19:00:00;  1,16
21.01.1978 18:00:00;  1,23
28.02.1978 23:59:55;  1,36
31.03.1978 23:59:55;  3,60
30.04.1978 20:00:00;  9,81
23.05.1978 02:00:00;  32,5
24.06.1978 23:00:00;  13,7
19.07.1978 11:00:00;  24,1
17.08.1978 20:00:00;  8,45
27.09.1978 19:00:00;  5,29
03.10.1978 16:00:00;  9,29
01.11.1978 00:00:00;  2,10
27.12.1978 10:00:00;  1,50
29.01.1979 00:01:00;  2,12
01.02.1979 00:00:05;  1,52
16.03.1979 21:00:00;  11,2
17.04.1979 21:00:00;  8,35
20.05.1979 20:00:00;  27,2
15.06.1979 06:00:00;  28,0
03.07.1979 13:00:00;  35,3
10.08.1979 12:00:00;  10,0
24.09.1979 14:00:00;  20,3
18.10.1979 02:00:00;  4,79
10.11.1979 06:00:00;  10,2
11.12.1979 20:00:00;  4,60
01.01.1980 00:00:00;  1,91
27.02.1980 20:00:00;  1,72
30.03.1980 03:00:00;  2,86
18.04.1980 23:00:00;  5,96
14.05.1980 02:00:00;  12,2
24.06.1980 04:00:00;  16,5
30.07.1980 03:00:00;  23,6
12.08.1980 22:00:00;  10,3
10.09.1980 10:00:00;  12,7
18.10.1980 06:00:00;  23,2
18.11.1980 23:00:00;  6,44
01.12.1980 22:00:00;  4,14
04.01.1981 06:00:00;  1,77
01.02.1981 00:00:00;  1,42
26.03.1981 23:00:00;  5,38
05.04.1981 22:00:00;  7,09
27.05.1981 08:00:00;  17,0
01.06.1981 01:00:00;  8,36
19.07.1981 09:00:00;  23,4
21.08.1981 11:00:00;  20,7
28.09.1981 23:00:00;  6,14
27.10.1981 13:00:00;  14,5
11.11.1981 15:00:00;  5,14
02.12.1981 19:00:00;  2,49
01.01.1982 15:30:00;  2,25
15.02.1982 10:00:00;  1,31
29.03.1982 19:30:00;  2,70
08.04.1982 22:30:00;  5,55
24.05.1982 08:30:00;  19,0
27.06.1982 17:00:00;  15,4
31.07.1982 19:00:00;  12,7
16.08.1982 22:00:00;  21,8
08.09.1982 05:00:00;  12,9
06.10.1982 21:00:00;  28,9
14.11.1982 05:30:00;  9,49
18.12.1982 10:00:00;  6,02
09.01.1983 10:00:00;  2,86
01.02.1983 19:00:00;  2,20
25.03.1983 20:00:00;  2,79
25.04.1983 10:30:00;  8,22
24.05.1983 17:30:00;  10,2
09.06.1983 22:00:00;  13,0
06.07.1983 02:30:00;  8,18
03.08.1983 15:00:00;  5,63
04.09.1983 00:00:00;  18,6
17.10.1983 11:30:00;  8,91
27.11.1983 21:00:00;  2,13
30.12.1983 00:30:00;  1,48
03.01.1984 19:00:00;  1,32
01.02.1984 00:01:00;  1,04
30.03.1984 03:00:00;  2,15
24.04.1984 21:30:00;  7,78
21.05.1984 10:30:00;  29,2
05.06.1984 23:30:00;  8,63
26.07.1984 02:30:00;  8,05
06.08.1984 04:00:00;  13,0
24.09.1984 05:30:00;  13,5
02.10.1984 19:00:00;  15,7
01.11.1984 16:00:00;  2,91
04.12.1984 08:30:00;  1,92
01.01.1985 00:00:00;  1,31
03.02.1985 01:00:00;  1,88
31.03.1985 19:30:00;  2,49
05.04.1985 21:30:00;  5,40
14.05.1985 23:00:00;  17,2
09.06.1985 01:00:00;  18,9
21.07.1985 09:00:00;  9,38
06.08.1985 20:30:00;  13,5
04.09.1985 08:00:00;  5,42
09.10.1985 07:00:00;  2,21
06.11.1985 10:30:00;  2,77
29.12.1985 18:30:00;  2,43
01.01.1986 09:30:00;  1,68
08.02.1986 00:01:00;  1,19
31.03.1986 21:30:00;  1,86
30.04.1986 21:30:00;  20,2
01.05.1986 19:30:00;  20,3
16.06.1986 02:00:00;  18,3
31.07.1986 22:00:00;  11,1
28.08.1986 17:45:00;  14,9
10.09.1986 14:30:00;  13,4
23.10.1986 17:45:00;  5,56
23.11.1986 21:15:00;  2,00
03.12.1986 10:15:00;  1,44
01.01.1987 00:00:00;  1,01
23.02.1987 11:45:00;  1,35
13.03.1987 14:15:00;  7,01
21.04.1987 03:00:00;  13,2
05.05.1987 06:00:00;  24,2
