Messstelle:                ;Bad Hofgastein
HZB-Nummer:                ;203208
HD-Nummer:                 ;
DBMS-Nummer:               ;5001019
Gewässer:                  ;Gasteiner Ache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;220,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00836,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;433015,00 - 224920,00
Exportzeitreihe:           ;(5001019,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  1,80
07.02.1951 12:00:00;  1,80
13.03.1951 12:00:00;  2,10
05.04.1951 12:00:00;  3,22
02.05.1951 12:00:00;  7,46
30.06.1951 12:00:00;  25,7
31.07.1951 12:00:00;  19,5
31.08.1951 12:00:00;  14,0
30.09.1951 12:00:00;  10,0
31.10.1951 12:00:00;  4,00
05.11.1951 12:00:00;  3,22
31.12.1951 12:00:00;  3,74
31.01.1952 12:00:00;  2,70
29.02.1952 12:00:00;  2,50
17.03.1952 12:00:00;  2,30
08.04.1952 12:00:00;  5,63
25.05.1952 12:00:00;  9,60
11.06.1952 12:00:00;  16,0
26.07.1952 12:00:00;  12,6
09.08.1952 12:00:00;  10,5
30.09.1952 12:00:00;  10,5
25.10.1952 12:00:00;  6,33
30.11.1952 12:00:00;  2,88
31.12.1952 12:00:00;  2,69
31.01.1953 12:00:00;  1,76
28.02.1953 12:00:00;  1,76
18.03.1953 12:00:00;  1,58
02.04.1953 12:00:00;  3,45
14.05.1953 12:00:00;  6,33
03.06.1953 12:00:00;  11,1
24.07.1953 12:00:00;  12,0
31.08.1953 12:00:00;  9,60
30.09.1953 12:00:00;  7,92
24.10.1953 12:00:00;  5,63
30.11.1953 12:00:00;  2,50
04.12.1953 12:00:00;  1,85
31.01.1954 12:00:00;  1,76
28.02.1954 12:00:00;  1,76
19.03.1954 12:00:00;  1,76
02.04.1954 12:00:00;  1,98
01.05.1954 12:00:00;  5,86
28.06.1954 12:00:00;  24,0
31.07.1954 12:00:00;  15,2
04.08.1954 12:00:00;  11,3
25.09.1954 12:00:00;  6,98
28.10.1954 12:00:00;  5,76
30.11.1954 12:00:00;  4,50
31.12.1954 12:00:00;  3,90
31.01.1955 12:00:00;  2,30
28.02.1955 12:00:00;  2,30
19.03.1955 12:00:00;  2,18
04.04.1955 12:00:00;  2,78
08.05.1955 12:00:00;  12,2
16.06.1955 12:00:00;  13,5
29.07.1955 12:00:00;  18,9
31.08.1955 12:00:00;  8,90
06.09.1955 12:00:00;  6,98
31.10.1955 12:00:00;  5,98
30.11.1955 12:00:00;  2,30
26.12.1955 12:00:00;  1,36
31.01.1956 12:00:00;  1,53
28.02.1956 12:00:00;  1,45
11.03.1956 12:00:00;  1,45
12.04.1956 12:00:00;  3,10
06.05.1956 12:00:00;  5,10
27.06.1956 12:00:00;  13,5
29.07.1956 12:00:00;  13,8
13.08.1956 12:00:00;  12,9
25.09.1956 12:00:00;  6,46
25.10.1956 12:00:00;  4,10
23.11.1956 12:00:00;  3,10
31.12.1956 12:00:00;  2,18
31.01.1957 12:00:00;  1,70
14.02.1957 12:00:00;  1,53
12.03.1957 12:00:00;  1,70
18.04.1957 12:00:00;  4,70
09.05.1957 12:00:00;  4,90
02.06.1957 12:00:00;  13,8
27.07.1957 12:00:00;  14,9
06.08.1957 12:00:00;  12,9
30.09.1957 12:00:00;  10,3
31.10.1957 12:00:00;  4,50
30.11.1957 12:00:00;  3,70
31.12.1957 12:00:00;  1,17
31.01.1958 12:00:00; 0,900
12.02.1958 12:00:00; 0,900
18.03.1958 12:00:00;  1,53
20.04.1958 12:00:00;  2,46
01.05.1958 12:00:00;  3,50
17.06.1958 12:00:00;  10,6
21.07.1958 12:00:00;  8,90
31.08.1958 12:00:00;  10,3
17.09.1958 12:00:00;  4,90
31.10.1958 12:00:00;  7,50
30.11.1958 12:00:00;  8,06
31.12.1958 12:00:00;  3,50
31.01.1959 12:00:00;  2,94
28.02.1959 12:00:00;  2,18
27.03.1959 12:00:00;  1,70
03.04.1959 12:00:00;  2,30
08.05.1959 12:00:00;  4,90
03.06.1959 12:00:00;  8,90
27.07.1959 12:00:00;  11,3
09.08.1959 12:00:00;  9,50
30.09.1959 12:00:00;  5,58
27.10.1959 12:00:00;  2,87
28.11.1959 12:00:00;  4,45
31.12.1959 12:00:00;  2,36
23.01.1960 12:00:00;  1,17
12.02.1960 12:00:00;  1,05
04.03.1960 12:00:00;  1,35
01.04.1960 12:00:00;  3,63
03.05.1960 12:00:00;  5,82
01.06.1960 12:00:00;  14,3
07.07.1960 12:00:00;  11,0
