Messstelle:                ;Löbenau
HZB-Nummer:                ;203737
HD-Nummer:                 ;
DBMS-Nummer:               ;5001068
Gewässer:                  ;Taurach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;86,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00835,80
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;461290,00 - 247850,00
Exportzeitreihe:           ;(5001068,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  2,76
07.02.1951 12:00:00;  2,58
14.03.1951 12:00:00;  2,58
17.04.1951 12:00:00;  2,94
01.05.1951 12:00:00;  4,10
28.06.1951 12:00:00;  6,70
15.07.1951 12:00:00;  4,74
31.08.1951 12:00:00;  4,10
30.09.1951 12:00:00;  4,10
31.10.1951 12:00:00;  3,70
08.11.1951 12:00:00;  3,70
31.12.1951 12:00:00;  3,50
30.01.1952 12:00:00;  2,45
29.02.1952 12:00:00;  2,35
19.03.1952 12:00:00;  2,35
07.04.1952 12:00:00;  3,09
24.05.1952 12:00:00;  5,52
13.06.1952 12:00:00;  5,78
28.07.1952 12:00:00;  3,97
16.08.1952 12:00:00;  3,79
22.09.1952 12:00:00;  4,15
01.10.1952 12:00:00;  4,15
26.11.1952 12:00:00;  3,61
31.12.1952 12:00:00;  2,77
31.01.1953 12:00:00;  2,61
28.02.1953 12:00:00;  2,45
16.03.1953 12:00:00;  2,45
18.04.1953 12:00:00;  4,15
14.05.1953 12:00:00;  4,37
30.06.1953 12:00:00;  4,37
01.07.1953 12:00:00;  4,59
26.08.1953 12:00:00;  4,30
30.09.1953 12:00:00;  3,70
31.10.1953 12:00:00;  3,30
30.11.1953 12:00:00;  2,76
31.12.1953 12:00:00;  2,58
31.01.1954 12:00:00;  2,30
27.02.1954 12:00:00;  2,20
14.03.1954 12:00:00;  2,20
24.04.1954 12:00:00;  2,76
09.05.1954 12:00:00;  4,10
25.06.1954 12:00:00;  5,40
29.07.1954 12:00:00;  6,70
31.08.1954 12:00:00;  5,18
20.09.1954 12:00:00;  4,10
25.10.1954 12:00:00;  4,30
28.11.1954 12:00:00;  3,90
31.12.1954 12:00:00;  3,30
31.01.1955 12:00:00;  3,12
28.02.1955 12:00:00;  2,94
24.03.1955 12:00:00;  2,76
21.04.1955 12:00:00;  3,70
24.05.1955 12:00:00;  5,92
