Messstelle:                ;Böckstein (Summenpegel)
HZB-Nummer:                ;203851
HD-Nummer:                 ;
DBMS-Nummer:               ;5001080
Gewässer:                  ;Nassfelder Ache m.Werksk.
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;57,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;01115,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;433400,00 - 216520,00
Exportzeitreihe:           ;(5001080,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 02:00,01.01.2022 00:00]
Werte:
30.01.1982 10:00:00; 0,220
10.02.1982 02:00:00; 0,180
13.03.1982 02:00:00; 0,190
01.04.1982 02:00:00; 0,790
01.05.1982 02:00:00; 0,370
16.06.1982 10:00:00;  6,44
30.07.1982 02:00:00;  7,37
04.08.1982 10:00:00;  3,84
30.09.1982 02:00:00;  1,34
01.10.1982 00:00:00;  1,34
27.11.1982 02:00:00;  1,38
31.12.1982 14:00:00; 0,660
15.01.1983 12:00:00; 0,520
26.02.1983 12:00:00; 0,280
31.03.1983 12:00:00; 0,620
03.04.1983 02:00:00; 0,410
05.05.1983 12:00:00;  3,91
19.06.1983 12:00:00;  4,49
28.07.1983 12:00:00;  6,92
15.08.1983 12:00:00;  3,74
09.09.1983 12:00:00;  2,99
30.10.1983 12:00:00;  1,64
19.11.1983 02:00:00; 0,510
26.12.1983 02:00:00; 0,220
15.01.1984 09:45:00; 0,195
25.02.1984 17:45:00; 0,068
10.03.1984 02:00:00; 0,063
08.04.1984 02:00:00; 0,261
01.05.1984 09:45:00; 0,568
30.06.1984 23:59:55;  1,25
01.07.1984 09:45:00;  1,14
29.08.1984 08:00:00;  3,31
13.09.1984 11:30:00;  3,53
22.10.1984 15:30:00; 0,469
13.11.1984 10:45:00; 0,361
15.12.1984 02:00:00; 0,374
21.01.1985 00:00:00; 0,126
25.02.1985 00:00:00; 0,121
31.03.1985 12:15:00; 0,234
01.04.1985 00:00:00; 0,390
01.05.1985 01:00:00; 0,576
02.06.1985 08:15:00;  1,66
07.07.1985 02:00:00;  5,38
19.08.1985 22:00:00; 0,920
28.09.1985 10:30:00; 0,491
30.10.1985 09:15:00; 0,212
23.11.1985 23:30:00; 0,175
01.12.1985 11:30:00; 0,159
24.01.1986 10:15:00; 0,095
02.02.1986 02:00:00; 0,289
02.03.1986 13:30:00; 0,115
02.04.1986 07:45:00; 0,470
11.05.1986 11:00:00;  2,10
28.06.1986 09:15:00;  2,15
15.07.1986 23:00:00;  4,47
26.08.1986 08:00:00;  5,75
28.09.1986 11:00:00;  2,22
