Messstelle:                ;Obermühl
HZB-Nummer:                ;204883
HD-Nummer:                 ;3170
DBMS-Nummer:               ;4001037
Gewässer:                  ;Kleine Mühl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;200,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1958              ;00284,08
   17.06.2013              ;00283,50
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;493630,00 - 368955,00
   27.03.2020              ;493631,54 - 368960,62
Exportzeitreihe:           ;(4001037,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 08:00,01.01.2022 00:00]
Werte:
01.01.1976 08:00:00;  2,27
24.02.1976 08:00:00;  2,69
22.03.1976 08:00:00;  1,76
29.04.1976 08:00:00;  1,43
15.05.1976 08:00:00;  1,11
30.06.1976 08:00:00; 0,240
12.07.1976 08:00:00; 0,076
09.08.1976 08:00:00; 0,486
08.09.1976 08:00:00; 0,759
09.10.1976 08:00:00; 0,759
06.11.1976 08:00:00; 0,918
31.12.1976 00:01:00;  1,34
01.01.1977 00:00:00; Lücke
23.01.1977 08:00:00; 0,979
01.02.1977 00:01:00;  2,27
26.03.1977 08:00:00;  2,85
20.04.1977 08:00:00;  2,01
30.05.1977 08:00:00; 0,627
01.06.1977 00:00:00; 0,759
22.07.1977 22:00:00; 0,584
08.08.1977 04:00:00; 0,856
26.09.1977 04:00:00;  1,56
26.10.1977 06:00:00; 0,627
01.11.1977 04:00:00; 0,998
24.12.1977 06:00:00;  1,35
28.01.1978 04:30:00;  2,50
15.02.1978 09:00:00;  2,09
01.03.1978 10:00:00;  4,04
30.04.1978 21:30:00;  1,85
01.05.1978 00:00:00;  1,89
05.06.1978 07:30:00;  1,93
31.07.1978 03:30:00;  1,76
30.08.1978 03:30:00;  1,41
16.09.1978 05:30:00;  1,51
21.10.1978 05:00:00;  1,91
18.11.1978 07:00:00;  1,64
04.12.1978 00:00:00;  1,72
27.01.1979 00:00:05;  1,53
01.02.1979 00:01:00;  2,01
02.03.1979 08:30:00;  2,15
29.04.1979 19:30:00;  4,24
26.05.1979 20:00:00; 0,792
02.06.1979 05:00:00; 0,765
28.07.1979 12:30:00;  1,04
07.08.1979 20:30:00; 0,672
15.09.1979 07:30:00;  1,02
06.10.1979 06:00:00;  1,18
01.11.1979 03:00:00;  1,15
08.12.1979 04:00:00;  4,32
21.01.1980 00:01:00;  2,01
01.02.1980 04:30:00;  2,74
