Messstelle:                ;Spering
HZB-Nummer:                ;206524
HD-Nummer:                 ;8530
DBMS-Nummer:               ;4001193
Gewässer:                  ;Vorderer Rettenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00513,95
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1980              ;514775,00 - 294130,00
   01.01.2018              ;514751,10 - 294100,17
Exportzeitreihe:           ;(4001193,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1980 01:00,01.01.2022 00:00]
Werte:
31.01.1980 01:00:00; 0,072
21.02.1980 18:00:00; 0,169
13.03.1980 06:00:00; 0,125
11.04.1980 21:00:00; 0,238
19.05.1980 14:00:00; 0,920
20.06.1980 18:00:00; 0,553
30.07.1980 12:00:00; 0,351
30.08.1980 20:00:00; 0,054
23.09.1980 19:00:00; 0,074
08.10.1980 15:00:00; 0,062
15.11.1980 23:00:00; 0,075
08.12.1980 23:00:00; 0,046
26.01.1981 12:00:00; 0,056
01.02.1981 00:00:00; 0,059
04.03.1981 09:00:00; 0,094
20.04.1981 16:00:00; 0,217
01.05.1981 02:00:00; 0,356
09.06.1981 20:00:00; 0,186
16.07.1981 09:00:00; 0,088
15.08.1981 12:00:00; 0,086
08.09.1981 09:00:00; 0,066
08.10.1981 16:00:00; 0,082
12.11.1981 16:00:00; 0,088
28.12.1981 12:00:00; 0,101
30.01.1982 06:00:00; 0,119
02.02.1982 08:00:00; 0,007
01.03.1982 00:00:00; 0,182
16.04.1982 18:00:00; 0,319
01.05.1982 17:00:00; 0,437
27.06.1982 02:00:00; 0,789
22.07.1982 18:00:00; 0,272
31.08.1982 18:00:00; 0,116
14.09.1982 09:00:00; 0,017
31.10.1982 23:59:55; 0,061
01.11.1982 21:00:00; 0,045
06.12.1982 14:00:00; 0,060
26.01.1983 05:00:00; 0,128
22.02.1983 12:00:00; 0,058
07.03.1983 08:00:00; 0,151
06.04.1983 13:00:00; 0,420
27.05.1983 16:00:00; 0,223
09.06.1983 19:00:00; 0,123
30.07.1983 17:00:00; 0,023
03.08.1983 07:00:00; 0,024
27.09.1983 10:00:00; 0,038
09.10.1983 14:00:00; 0,057
20.11.1983 10:00:00; 0,019
14.12.1983 19:00:00; 0,021
09.01.1984 21:00:00; 0,068
18.02.1984 22:45:00; 0,081
06.03.1984 05:45:00; 0,088
09.04.1984 06:30:00; 0,486
13.05.1984 03:30:00; 0,436
20.06.1984 19:00:00; 0,062
12.07.1984 19:00:00; 0,033
31.08.1984 19:45:00; 0,202
05.09.1984 06:45:00; 0,135
31.10.1984 10:00:00; 0,056
23.11.1984 04:45:00; 0,010
08.12.1984 06:00:00; 0,017
07.01.1985 00:00:00; 0,021
21.02.1985 04:00:00; 0,010
20.03.1985 20:00:00; 0,115
30.04.1985 23:59:55; 0,371
01.05.1985 05:30:00; 0,369
30.06.1985 23:59:55; 0,389
15.07.1985 04:45:00; 0,034
01.08.1985 00:00:00; 0,067
30.09.1985 23:59:55; 0,058
08.10.1985 06:30:00; 0,022
30.11.1985 23:45:00; 0,029
01.12.1985 00:00:00; 0,042
09.01.1986 13:45:00; 0,060
27.02.1986 17:30:00; 0,048
03.03.1986 04:30:00; 0,033
15.04.1986 19:15:00; 0,160
25.05.1986 20:00:00; 0,206
20.06.1986 17:45:00; 0,188
07.07.1986 05:00:00; 0,094
17.08.1986 18:00:00; 0,042
29.09.1986 03:15:00; 0,032
12.10.1986 14:00:00; 0,010
21.11.1986 09:30:00; 0,070
15.12.1986 02:30:00; 0,012
16.01.1987 19:15:00; 0,144
27.02.1987 21:30:00; 0,090
21.03.1987 18:00:00; 0,079
03.04.1987 15:00:00; 0,250
23.05.1987 12:30:00;  1,06
29.06.1987 12:30:00; 0,947
19.07.1987 21:00:00; 0,169
27.08.1987 21:30:00; 0,128
05.09.1987 06:45:00; 0,057
17.10.1987 16:30:00; 0,046
01.11.1987 22:15:00; 0,105
16.12.1987 17:30:00; 0,130
25.01.1988 00:00:00; 0,046
27.02.1988 14:45:00; 0,028
10.03.1988 03:15:00; 0,012
02.04.1988 13:00:00; 0,734
23.05.1988 09:00:00; 0,622
21.06.1988 16:30:00; 0,199
27.07.1988 20:45:00; 0,108
20.08.1988 18:30:00; 0,113
30.09.1988 13:45:00; 0,166
17.10.1988 04:30:00; 0,020
10.11.1988 15:45:00; 0,145
19.12.1988 13:45:00; 0,379
24.01.1989 04:30:00; 0,340
18.02.1989 04:00:00; 0,254
07.03.1989 06:45:00; 0,340
30.04.1989 21:00:00; 0,254
01.05.1989 00:00:00; 0,292
05.06.1989 15:00:00; 0,340
25.07.1989 08:00:00; 0,151
17.08.1989 16:45:00; 0,181
26.09.1989 00:00:00; 0,077
28.10.1989 22:30:00; 0,077
29.11.1989 16:45:00; 0,043
11.12.1989 08:00:00; 0,013
12.01.1990 20:45:00; 0,023
05.02.1990 06:00:00; 0,060
28.03.1990 02:30:00; 0,319
11.04.1990 19:00:00; 0,278
31.05.1990 23:59:55; 0,064
01.06.1990 02:00:00; 0,058
30.07.1990 03:15:00; 0,060
03.08.1990 03:45:00; 0,045
03.09.1990 05:30:00; 0,045
19.10.1990 04:15:00; 0,058
06.11.1990 22:15:00; 0,151
21.12.1990 07:30:00; 0,077
31.01.1991 23:59:55; 0,141
09.02.1991 14:00:00; 0,031
31.03.1991 08:15:00; 0,151
22.04.1991 08:15:00; 0,098
08.05.1991 13:30:00; 0,691
25.06.1991 08:15:00; 0,216
13.07.1991 15:45:00; 0,181
31.08.1991 23:59:55; 0,043
16.09.1991 11:30:00; 0,007
18.10.1991 00:15:00; 0,005
02.11.1991 00:30:00; 0,050
10.12.1991 16:45:00; 0,021
20.01.1992 13:15:00; 0,081
24.02.1992 03:00:00; 0,108
18.03.1992 17:45:00; 0,205
19.04.1992 10:30:00; 0,285
30.05.1992 14:30:00; 0,528
30.06.1992 23:59:55; 0,106
29.07.1992 11:15:00; 0,043
31.08.1992 19:15:00; 0,014
28.09.1992 08:15:00; 0,012
17.10.1992 14:45:00; 0,050
15.11.1992 16:00:00; 0,205
31.12.1992 23:59:55; 0,107
