Messstelle:                ;Loipersbach
HZB-Nummer:                ;208785
HD-Nummer:                 ;no705
DBMS-Nummer:               ;3001103
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;716,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00345,50
   01.01.1977              ;00346,76
   01.01.1984              ;00347,00
   01.01.2002              ;00344,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;734242,60 - 286864,50
Exportzeitreihe:           ;(3001103,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1977 23:59:55,01.01.2022 00:00]
Werte:
31.12.1977 23:59:55; 0,254
04.01.1978 00:00:00; 0,044
26.02.1978 03:00:00; 0,045
21.03.1978 00:00:00; 0,046
15.04.1978 20:00:00; 0,046
06.05.1978 19:30:00; 0,256
24.06.1978 18:30:00; 0,045
13.07.1978 19:00:00; 0,045
01.08.1978 00:00:00; 0,046
16.09.1978 14:00:00; 0,045
03.10.1978 00:30:00; 0,043
01.11.1978 00:00:00; 0,044
01.12.1978 00:00:00; 0,045
31.01.1979 23:59:55; 0,045
18.02.1979 00:00:00; 0,043
07.03.1979 21:30:30; 0,044
02.04.1979 06:30:00; 0,412
05.05.1979 19:30:00; 0,624
03.06.1979 17:30:00; 0,129
12.07.1979 10:00:00; 0,097
25.08.1979 21:30:00; 0,044
01.09.1979 00:00:00; 0,044
01.10.1979 00:00:00; 0,047
14.11.1979 13:30:00; 0,047
31.12.1979 23:59:55; 0,074
29.01.1980 00:30:00; 0,046
02.02.1980 16:00:00; 0,054
01.03.1980 00:00:00; 0,070
08.04.1980 08:00:00;  1,63
25.05.1980 13:30:00;  6,56
18.06.1980 03:30:00; 0,390
07.07.1980 08:30:00; 0,000
01.08.1980 00:00:00; 0,000
01.09.1980 00:00:00; 0,000
01.10.1980 00:00:00; 0,000
01.11.1980 00:00:00; 0,000
01.12.1980 00:00:00; 0,000
13.01.1981 22:15:00; 0,334
21.02.1981 04:47:50; 0,000
01.03.1981 00:00:00; 0,000
27.04.1981 05:00:00; 0,492
31.05.1981 23:59:55; 0,001
04.06.1981 00:00:00; 0,000
01.07.1981 00:00:00; 0,000
01.08.1981 00:00:00; 0,000
01.09.1981 00:00:00; 0,000
07.10.1981 00:00:00; 0,000
01.11.1981 00:00:00; 0,000
18.12.1981 07:23:45; 0,000
30.01.1982 18:17:50; 0,010
22.02.1982 12:45:00; 0,000
01.03.1982 00:00:00; 0,000
19.04.1982 11:15:00; 0,033
02.05.1982 00:45:00; 0,215
20.06.1982 19:30:00; 0,032
09.07.1982 09:27:50; 0,150
28.08.1982 23:00:00; 0,000
01.09.1982 00:00:00; 0,000
01.10.1982 00:00:00; 0,000
14.11.1982 18:00:00; 0,013
01.12.1982 00:00:00; 0,027
03.01.1983 03:30:00; 0,090
25.02.1983 13:30:00; 0,211
07.03.1983 06:15:00; 0,442
08.04.1983 05:45:00; 0,528
22.05.1983 08:45:00; 0,037
30.06.1983 19:00:00; 0,037
01.07.1983 00:00:00; 0,037
01.08.1983 00:00:00; 0,037
08.09.1983 17:00:00; 0,036
01.10.1983 00:00:00; 0,037
01.11.1983 00:00:00; 0,038
01.12.1983 00:00:00; 0,038
02.01.1984 15:30:00; 0,049
22.02.1984 20:15:00; 0,047
01.03.1984 00:00:00; 0,048
30.04.1984 16:00:00; 0,081
02.05.1984 07:00:00; 0,050
18.06.1984 14:30:00; 0,053
01.07.1984 00:00:00; 0,056
15.08.1984 08:00:00; 0,051
28.09.1984 08:00:00; 0,050
31.10.1984 23:59:55; 0,053
30.11.1984 23:59:55; 0,052
31.12.1984 23:45:00; 0,052
11.01.1985 01:00:00; 0,051
28.02.1985 23:59:55; 0,053
22.03.1985 07:30:00; 0,051
27.04.1985 20:15:00; 0,054
06.05.1985 11:30:00; 0,165
30.06.1985 23:59:55; 0,154
08.07.1985 11:15:00; 0,051
18.08.1985 03:15:00; 0,051
04.09.1985 19:00:00; 0,053
15.10.1985 20:30:00; 0,053
30.11.1985 23:59:55; 0,053
04.12.1985 02:00:00; 0,052
31.01.1986 22:00:00; 0,054
01.02.1986 04:45:00; 0,054
01.03.1986 00:00:00; 0,060
20.04.1986 21:15:00; 0,347
25.05.1986 21:45:00; 0,052
29.06.1986 13:15:00; 0,047
14.07.1986 08:15:00; 0,053
01.08.1986 00:00:00; 0,053
30.09.1986 23:59:55; 0,053
12.10.1986 00:10:00; 0,000
01.11.1986 00:00:00; 0,000
01.12.1986 00:00:00; 0,000
07.01.1987 17:00:00; 0,000
02.02.1987 09:45:00; 0,350
17.03.1987 02:45:00; 0,067
26.04.1987 19:00:00;  3,38
31.05.1987 14:00:00;  7,78
30.06.1987 20:45:00; 0,444
07.07.1987 14:00:00; 0,000
01.08.1987 05:15:00; 0,000
01.09.1987 00:00:00; 0,000
01.10.1987 00:00:00; 0,000
01.11.1987 00:00:00; 0,000
01.12.1987 00:00:00; 0,000
02.01.1988 13:45:00; 0,000
01.02.1988 00:00:00; 0,000
01.03.1988 00:00:00; 0,000
17.04.1988 16:45:00;  2,07
31.05.1988 08:45:00; 0,034
22.06.1988 17:45:00; 0,000
01.07.1988 00:00:00; 0,000
01.08.1988 00:00:00; 0,000
02.09.1988 13:15:00; 0,000
01.10.1988 00:00:00; 0,000
01.11.1988 00:00:00; 0,000
01.12.1988 05:30:00; 0,000
29.01.1989 16:55:00; 0,000
01.02.1989 00:00:00; 0,000
12.03.1989 04:00:00; 0,394
26.04.1989 21:15:00; 0,275
01.05.1989 00:00:00; 0,873
