Messstelle:                ;Aigen im Ennstal-Ketten
HZB-Nummer:                ;210773
HD-Nummer:                 ;ow1185
DBMS-Nummer:               ;6001028
Gewässer:                  ;Gulling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;155,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00640,74
   01.01.1994              ;00640,42
   19.11.2003              ;00637,78
   20.01.2014              ;00643,84
   26.05.2021              ;00644,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1857              ;00000,00 - 00000,00
   01.01.1994              ;585442,30 - 267950,50
   19.11.2003              ;585469,40 - 268350,20
   20.01.2014              ;585535,50 - 267500,20
   01.01.2018              ;585538,90 - 267487,50
Exportzeitreihe:           ;(6001028,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
04.01.1976 10:30:00; 0,983
13.02.1976 10:30:00;  1,16
22.03.1976 11:00:00;  1,00
01.04.1976 12:30:00;  2,45
01.05.1976 13:00:00;  3,39
30.06.1976 13:30:00;  2,60
21.07.1976 07:00:00;  2,06
20.08.1976 12:00:00;  3,34
29.09.1976 17:00:00;  3,18
30.10.1976 08:00:00;  2,39
17.11.1976 16:00:00;  2,01
30.12.1976 14:30:00;  1,50
20.01.1977 10:00:00; 0,820
03.02.1977 10:00:00; 0,846
01.03.1977 09:30:00;  2,17
15.04.1977 18:00:00;  3,25
31.05.1977 23:59:55;  7,88
29.06.1977 11:00:00;  2,53
16.07.1977 05:30:00;  2,53
30.08.1977 17:30:00;  2,82
19.09.1977 07:30:00;  1,96
31.10.1977 11:30:00;  1,23
19.11.1977 10:30:00;  1,45
22.12.1977 15:00:00; 0,463
10.01.1978 23:30:00; 0,992
