Messstelle:                ;Miklauzhof
HZB-Nummer:                ;212852
HD-Nummer:                 ;00484
DBMS-Nummer:               ;2001047
Gewässer:                  ;Vellach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;194,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1909              ;00481,33
   01.11.1926              ;00460,12
   04.03.1939              ;00459,12
   01.01.1963              ;00459,05
   01.01.1976              ;00459,05
   12.08.2004              ;00459,05
   01.09.2023              ;00458,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1907              ;546724,00 - 156024,51
   04.08.2015              ;546724,00 - 156024,51
Exportzeitreihe:           ;(2001047,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[25.01.1951 12:00,01.01.2022 00:00]
Werte:
25.01.1951 12:00:00;  5,30
04.02.1951 12:00:00;  4,98
07.03.1951 12:00:00;  4,98
17.04.1951 12:00:00;  11,3
21.05.1951 12:00:00;  12,3
30.06.1951 12:00:00;  5,30
16.07.1951 12:00:00;  4,98
31.08.1951 12:00:00;  3,70
18.09.1951 12:00:00;  3,44
24.10.1951 12:00:00;  3,44
02.11.1951 12:00:00;  5,30
31.12.1951 12:00:00;  4,98
31.01.1952 12:00:00;  4,66
07.02.1952 12:00:00;  4,66
20.03.1952 12:00:00;  5,30
30.04.1952 12:00:00;  6,53
31.05.1952 12:00:00;  4,02
30.06.1952 12:00:00;  3,44
28.07.1952 12:00:00;  3,18
16.08.1952 12:00:00;  2,92
25.09.1952 12:00:00;  5,30
13.10.1952 12:00:00;  5,30
18.11.1952 12:00:00;  5,30
13.12.1952 12:00:00;  4,98
31.01.1953 12:00:00;  4,02
18.02.1953 12:00:00;  3,70
24.03.1953 12:00:00;  4,66
17.04.1953 12:00:00;  5,30
27.05.1953 12:00:00;  5,30
30.06.1953 12:00:00;  5,30
30.07.1953 12:00:00;  4,66
21.08.1953 12:00:00;  4,34
29.09.1953 12:00:00;  5,30
15.10.1953 12:00:00;  4,98
30.11.1953 12:00:00;  4,66
31.12.1953 12:00:00;  3,18
31.01.1954 12:00:00;  2,92
13.02.1954 12:00:00;  2,25
15.03.1954 12:00:00;  4,98
28.04.1954 12:00:00;  4,34
31.05.1954 12:00:00;  6,12
23.06.1954 12:00:00;  6,94
28.07.1954 12:00:00;  5,30
10.08.1954 12:00:00;  6,53
20.09.1954 12:00:00;  3,18
25.10.1954 12:00:00;  2,92
30.11.1954 12:00:00;  6,53
31.12.1954 12:00:00;  6,53
15.01.1955 12:00:00;  6,12
16.02.1955 12:00:00;  4,66
16.03.1955 12:00:00;  6,12
27.04.1955 12:00:00;  5,30
11.05.1955 12:00:00;  7,76
30.06.1955 12:00:00;  6,94
22.07.1955 12:00:00;  3,70
26.08.1955 12:00:00;  6,53
30.09.1955 12:00:00;  5,30
29.10.1955 12:00:00;  5,30
30.11.1955 12:00:00;  6,53
31.12.1955 12:00:00;  6,12
31.01.1956 12:00:00;  6,12
28.02.1956 12:00:00;  5,30
03.03.1956 12:00:00;  5,71
13.04.1956 12:00:00;  6,94
14.05.1956 12:00:00;  5,71
30.06.1956 12:00:00;  7,76
31.07.1956 12:00:00;  6,12
14.08.1956 12:00:00;  5,30
26.09.1956 12:00:00;  5,30
03.10.1956 12:00:00;  2,66
16.11.1956 12:00:00;  5,30
31.12.1956 12:00:00;  5,30
31.01.1957 12:00:00;  5,30
04.02.1957 12:00:00;  5,30
18.03.1957 12:00:00;  5,30
30.04.1957 12:00:00;  6,94
24.05.1957 12:00:00;  6,53
17.06.1957 12:00:00;  6,12
09.07.1957 12:00:00;  6,12
17.08.1957 12:00:00;  6,53
13.09.1957 12:00:00;  5,71
31.10.1957 12:00:00;  5,30
06.11.1957 12:00:00;  5,30
11.12.1957 12:00:00;  5,71
12.01.1958 12:00:00;  4,66
03.02.1958 12:00:00;  5,71
