Messstelle:                ;Töbring
HZB-Nummer:                ;213116
HD-Nummer:                 ;00337
DBMS-Nummer:               ;2001067
Gewässer:                  ;Treffner Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;140,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1973              ;00514,52
   02.10.1996              ;00512,52
   07.07.2009              ;00512,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1974              ;490813,00 - 168328,00
   01.01.1976              ;490771,00 - 168405,00
   01.01.1997              ;490813,00 - 168328,00
Exportzeitreihe:           ;(2001067,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1974 12:00,01.01.2022 00:00]
Werte:
31.01.1974 12:00:00; 0,960
02.02.1974 12:00:00; 0,960
04.03.1974 12:00:00;  1,03
27.04.1974 12:00:00;  1,03
30.05.1974 12:00:00;  1,10
04.06.1974 12:00:00;  1,03
30.07.1974 12:00:00;  1,54
27.08.1974 12:00:00;  1,03
04.09.1974 12:00:00; 0,890
23.10.1974 12:00:00;  1,30
30.11.1974 12:00:00;  1,03
19.12.1974 12:00:00; 0,960
31.01.1975 12:00:00; 0,550
06.02.1975 12:00:00; 0,550
03.03.1975 12:00:00; 0,700
01.04.1975 12:00:00;  1,96
31.05.1975 12:00:00;  4,70
29.06.1975 12:00:00;  2,40
09.07.1975 12:00:00;  2,64
31.08.1975 12:00:00;  1,96
30.09.1975 12:00:00; 0,960
21.10.1975 12:00:00; 0,960
21.11.1975 12:00:00; 0,960
12.12.1975 12:00:00; 0,750
01.01.1976 00:00:00; Lücke
30.01.1976 00:01:00; 0,703
10.02.1976 13:30:00; 0,686
08.03.1976 12:30:00; 0,755
12.04.1976 19:00:00; 0,887
06.05.1976 12:30:00;  1,21
26.06.1976 09:30:00; 0,755
20.07.1976 19:45:00; 0,648
24.08.1976 17:00:00; 0,885
01.09.1976 11:00:00; 0,943
05.10.1976 10:00:00; 0,900
02.11.1976 15:00:00;  1,18
30.12.1976 10:00:00;  1,06
17.01.1977 10:30:00;  1,05
03.02.1977 11:00:00;  1,23
17.03.1977 21:30:00;  2,49
25.04.1977 13:30:00;  1,97
09.05.1977 23:30:00;  2,50
29.06.1977 03:30:00;  1,19
