Messstelle:                ;Gries am Brenner (mit UW-Kanal)
HZB-Nummer:                ;201640
HD-Nummer:                 ;
DBMS-Nummer:               ;7004611
Gewässer:                  ;Obernberger Seebach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;58,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.1946              ;01177,65
   01.01.1979              ;01174,66
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.10.1946              ;237095,00 - 211456,00
   10.10.2006              ;237078,00 - 211451,00
Exportzeitreihe:           ;(7004611,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1951 00:00:00; 0,720
02.01.1951 00:00:00; 0,720
03.01.1951 00:00:00; 0,720
04.01.1951 00:00:00; 0,720
05.01.1951 00:00:00; 0,720
06.01.1951 00:00:00; 0,720
07.01.1951 00:00:00; 0,720
08.01.1951 00:00:00; 0,720
09.01.1951 00:00:00; 0,720
10.01.1951 00:00:00; 0,720
11.01.1951 00:00:00; 0,720
12.01.1951 00:00:00; 0,720
13.01.1951 00:00:00; 0,820
14.01.1951 00:00:00; 0,820
15.01.1951 00:00:00; 0,820
16.01.1951 00:00:00; 0,820
17.01.1951 00:00:00; 0,820
18.01.1951 00:00:00; 0,820
19.01.1951 00:00:00; 0,820
20.01.1951 00:00:00; 0,820
21.01.1951 00:00:00; 0,820
22.01.1951 00:00:00; 0,820
23.01.1951 00:00:00; 0,820
24.01.1951 00:00:00; 0,820
25.01.1951 00:00:00; 0,820
26.01.1951 00:00:00; 0,820
27.01.1951 00:00:00; 0,820
28.01.1951 00:00:00; 0,820
29.01.1951 00:00:00; 0,820
30.01.1951 00:00:00; 0,820
31.01.1951 00:00:00; 0,820
01.02.1951 00:00:00; 0,820
02.02.1951 00:00:00; 0,820
03.02.1951 00:00:00; 0,820
04.02.1951 00:00:00; 0,820
05.02.1951 00:00:00; 0,820
06.02.1951 00:00:00; 0,820
07.02.1951 00:00:00; 0,820
08.02.1951 00:00:00; 0,820
09.02.1951 00:00:00; 0,820
10.02.1951 00:00:00; 0,820
11.02.1951 00:00:00; 0,820
12.02.1951 00:00:00; 0,820
13.02.1951 00:00:00; 0,820
14.02.1951 00:00:00; 0,820
15.02.1951 00:00:00; 0,820
16.02.1951 00:00:00; 0,820
17.02.1951 00:00:00; 0,820
18.02.1951 00:00:00; 0,820
19.02.1951 00:00:00; 0,820
20.02.1951 00:00:00; 0,820
21.02.1951 00:00:00; 0,820
22.02.1951 00:00:00; 0,820
23.02.1951 00:00:00; 0,820
24.02.1951 00:00:00; 0,820
25.02.1951 00:00:00; 0,820
26.02.1951 00:00:00; 0,820
27.02.1951 00:00:00; 0,820
28.02.1951 00:00:00; 0,820
01.03.1951 00:00:00; 0,820
02.03.1951 00:00:00; 0,820
03.03.1951 00:00:00; 0,820
04.03.1951 00:00:00; 0,820
05.03.1951 00:00:00; 0,820
06.03.1951 00:00:00; 0,820
07.03.1951 00:00:00; 0,820
08.03.1951 00:00:00; 0,820
09.03.1951 00:00:00; 0,820
10.03.1951 00:00:00; 0,820
11.03.1951 00:00:00; 0,820
12.03.1951 00:00:00; 0,820
13.03.1951 00:00:00; 0,820
14.03.1951 00:00:00; 0,820
15.03.1951 00:00:00; 0,820
16.03.1951 00:00:00; 0,820
17.03.1951 00:00:00; 0,820
18.03.1951 00:00:00; 0,960
19.03.1951 00:00:00; 0,960
20.03.1951 00:00:00; 0,960
21.03.1951 00:00:00; 0,820
22.03.1951 00:00:00; 0,820
23.03.1951 00:00:00; 0,820
24.03.1951 00:00:00; 0,820
25.03.1951 00:00:00; 0,820
26.03.1951 00:00:00; 0,820
27.03.1951 00:00:00; 0,820
28.03.1951 00:00:00; 0,820
29.03.1951 00:00:00; 0,820
30.03.1951 00:00:00; 0,820
31.03.1951 00:00:00; 0,820
01.04.1951 00:00:00; 0,820
02.04.1951 00:00:00; 0,820
03.04.1951 00:00:00; 0,820
04.04.1951 00:00:00; 0,820
05.04.1951 00:00:00; 0,820
06.04.1951 00:00:00; 0,820
07.04.1951 00:00:00; 0,820
08.04.1951 00:00:00;  1,03
09.04.1951 00:00:00;  1,03
10.04.1951 00:00:00;  1,03
11.04.1951 00:00:00;  1,03
12.04.1951 00:00:00;  1,03
13.04.1951 00:00:00;  1,17
14.04.1951 00:00:00;  1,17
15.04.1951 00:00:00;  1,17
16.04.1951 00:00:00;  1,45
17.04.1951 00:00:00;  1,45
18.04.1951 00:00:00;  1,64
19.04.1951 00:00:00;  1,88
20.04.1951 00:00:00;  1,88
21.04.1951 00:00:00;  2,25
22.04.1951 00:00:00;  2,70
23.04.1951 00:00:00;  2,70
24.04.1951 00:00:00;  3,00
25.04.1951 00:00:00;  3,00
26.04.1951 00:00:00;  3,17
27.04.1951 00:00:00;  3,17
28.04.1951 00:00:00;  3,17
29.04.1951 00:00:00;  3,17
30.04.1951 00:00:00;  2,68
01.05.1951 00:00:00;  2,40
02.05.1951 00:00:00;  2,40
03.05.1951 00:00:00;  2,40
04.05.1951 00:00:00;  2,40
05.05.1951 00:00:00;  2,68
06.05.1951 00:00:00;  2,68
07.05.1951 00:00:00;  2,68
08.05.1951 00:00:00;  2,68
09.05.1951 00:00:00;  2,68
10.05.1951 00:00:00;  3,17
11.05.1951 00:00:00;  3,49
12.05.1951 00:00:00;  3,49
13.05.1951 00:00:00;  3,49
14.05.1951 00:00:00;  3,49
15.05.1951 00:00:00;  3,49
16.05.1951 00:00:00;  3,49
17.05.1951 00:00:00;  3,49
18.05.1951 00:00:00;  3,49
19.05.1951 00:00:00;  3,49
20.05.1951 00:00:00;  4,40
21.05.1951 00:00:00;  4,40
22.05.1951 00:00:00;  4,40
23.05.1951 00:00:00;  5,42
24.05.1951 00:00:00;  6,57
25.05.1951 00:00:00;  7,80
26.05.1951 00:00:00;  7,80
27.05.1951 00:00:00;  9,08
28.05.1951 00:00:00;  10,5
29.05.1951 00:00:00;  10,5
30.05.1951 00:00:00;  10,5
31.05.1951 00:00:00;  10,5
01.06.1951 00:00:00;  10,5
02.06.1951 00:00:00;  9,87
03.06.1951 00:00:00;  9,87
04.06.1951 00:00:00;  9,08
05.06.1951 00:00:00;  7,80
06.06.1951 00:00:00;  6,57
07.06.1951 00:00:00;  6,57
08.06.1951 00:00:00;  6,57
09.06.1951 00:00:00;  5,88
10.06.1951 00:00:00;  5,88
11.06.1951 00:00:00;  5,42
12.06.1951 00:00:00;  5,42
13.06.1951 00:00:00;  5,42
14.06.1951 00:00:00;  5,42
15.06.1951 00:00:00;  5,42
16.06.1951 00:00:00;  5,42
17.06.1951 00:00:00;  6,57
18.06.1951 00:00:00;  6,57
19.06.1951 00:00:00;  6,57
20.06.1951 00:00:00;  6,57
21.06.1951 00:00:00;  6,57
22.06.1951 00:00:00;  7,31
23.06.1951 00:00:00;  7,31
24.06.1951 00:00:00;  7,31
25.06.1951 00:00:00;  7,31
26.06.1951 00:00:00;  6,57
27.06.1951 00:00:00;  6,57
28.06.1951 00:00:00;  6,57
29.06.1951 00:00:00;  5,42
30.06.1951 00:00:00;  5,42
01.07.1951 00:00:00;  5,51
02.07.1951 00:00:00;  5,51
03.07.1951 00:00:00;  5,51
04.07.1951 00:00:00;  5,51
05.07.1951 00:00:00;  5,51
06.07.1951 00:00:00;  4,58
07.07.1951 00:00:00;  4,58
08.07.1951 00:00:00;  4,58
09.07.1951 00:00:00;  3,72
10.07.1951 00:00:00;  3,72
11.07.1951 00:00:00;  3,72
12.07.1951 00:00:00;  3,72
13.07.1951 00:00:00;  3,72
14.07.1951 00:00:00;  3,72
15.07.1951 00:00:00;  3,72
16.07.1951 00:00:00;  4,58
17.07.1951 00:00:00;  4,58
18.07.1951 00:00:00;  4,58
19.07.1951 00:00:00;  3,72
20.07.1951 00:00:00;  3,72
