Messstelle:                ;Krenstetten
HZB-Nummer:                ;207696
HD-Nummer:                 ;no055
DBMS-Nummer:               ;3001009
Gewässer:                  ;Urlbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;155,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1978              ;00304,36
   04.11.2004              ;00304,25
   01.01.2007              ;00304,27
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1978              ;628480,90 - 325663,10
Exportzeitreihe:           ;(3001009,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1978 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1978 00:15:00;  1,15
02.01.1978 00:00:00; 0,980
03.01.1978 00:00:00;  2,22
04.01.1978 00:00:00;  3,45
05.01.1978 00:00:00;  1,97
06.01.1978 00:00:00;  1,23
07.01.1978 00:00:00; 0,926
08.01.1978 00:00:00; 0,799
09.01.1978 00:00:00; 0,895
10.01.1978 00:00:00; 0,938
11.01.1978 00:00:00;  1,04
12.01.1978 00:00:00;  1,19
13.01.1978 00:00:00;  1,12
14.01.1978 00:00:00;  1,05
15.01.1978 00:00:00;  1,03
16.01.1978 00:00:00;  1,01
17.01.1978 00:00:00; 0,874
18.01.1978 00:00:00; 0,902
19.01.1978 00:00:00; 0,848
20.01.1978 00:00:00; 0,830
21.01.1978 00:00:00; 0,760
22.01.1978 00:00:00; 0,749
23.01.1978 00:00:00; 0,753
24.01.1978 00:00:00; 0,689
25.01.1978 00:00:00; 0,826
26.01.1978 00:00:00; 0,857
27.01.1978 00:00:00; 0,816
28.01.1978 00:00:00; 0,778
29.01.1978 00:00:00;  1,10
30.01.1978 00:00:00;  1,58
31.01.1978 00:00:00;  1,27
01.02.1978 00:00:00;  1,14
02.02.1978 00:00:00;  1,04
03.02.1978 00:00:00;  1,43
04.02.1978 00:00:00;  1,38
05.02.1978 00:00:00;  1,09
06.02.1978 00:00:00;  1,05
07.02.1978 00:00:00; 0,995
08.02.1978 00:00:00; 0,926
09.02.1978 00:00:00; 0,878
10.02.1978 00:00:00;  1,24
11.02.1978 00:00:00; 0,838
12.02.1978 00:00:00; 0,741
13.02.1978 00:00:00; 0,728
14.02.1978 00:00:00; 0,714
15.02.1978 00:00:00; 0,678
16.02.1978 00:00:00; 0,721
17.02.1978 00:00:00; 0,708
18.02.1978 00:00:00; 0,685
19.02.1978 00:00:00; 0,726
20.02.1978 00:00:00; 0,850
21.02.1978 00:00:00;  1,49
22.02.1978 00:00:00;  1,19
23.02.1978 00:00:00;  1,24
24.02.1978 00:00:00;  1,28
25.02.1978 00:00:00;  1,63
26.02.1978 00:00:00;  5,40
27.02.1978 00:00:00;  9,25
28.02.1978 00:00:00;  6,52
01.03.1978 00:00:00;  5,65
02.03.1978 00:00:00;  5,38
03.03.1978 00:00:00;  4,21
04.03.1978 00:00:00;  3,17
05.03.1978 00:00:00;  2,30
06.03.1978 00:00:00;  1,79
07.03.1978 00:00:00;  1,74
08.03.1978 00:00:00;  1,55
09.03.1978 00:00:00;  1,48
10.03.1978 00:00:00;  1,60
11.03.1978 00:00:00;  1,93
12.03.1978 00:00:00;  1,89
13.03.1978 00:00:00;  1,37
14.03.1978 00:00:00;  1,16
15.03.1978 00:00:00;  1,49
16.03.1978 00:00:00;  1,39
17.03.1978 00:00:00;  1,43
18.03.1978 00:00:00;  2,12
19.03.1978 00:00:00;  1,67
20.03.1978 00:00:00;  1,34
21.03.1978 00:00:00;  8,79
22.03.1978 00:00:00;  8,01
23.03.1978 00:00:00;  6,19
24.03.1978 00:00:00;  5,89
25.03.1978 00:00:00;  3,85
26.03.1978 00:00:00;  3,04
27.03.1978 00:00:00;  3,46
28.03.1978 00:00:00;  4,89
29.03.1978 00:00:00;  4,47
30.03.1978 00:00:00;  3,31
31.03.1978 00:00:00;  2,93
01.04.1978 00:00:00;  2,31
02.04.1978 00:00:00;  1,92
03.04.1978 00:00:00;  1,84
04.04.1978 00:00:00;  1,82
05.04.1978 00:00:00;  1,51
06.04.1978 00:00:00;  1,44
07.04.1978 00:00:00;  1,40
08.04.1978 00:00:00;  1,33
09.04.1978 00:00:00;  1,24
10.04.1978 00:00:00; 0,977
11.04.1978 00:00:00; 0,741
12.04.1978 00:00:00; 0,930
13.04.1978 00:00:00;  1,38
14.04.1978 00:00:00;  3,85
15.04.1978 00:00:00;  4,08
16.04.1978 00:00:00;  2,85
17.04.1978 00:00:00;  2,49
18.04.1978 00:00:00;  2,79
19.04.1978 00:00:00;  2,12
20.04.1978 00:00:00;  1,69
21.04.1978 00:00:00;  1,53
22.04.1978 00:00:00;  1,24
23.04.1978 00:00:00;  1,02
24.04.1978 00:00:00;  1,05
25.04.1978 00:00:00;  1,00
26.04.1978 00:00:00; 0,901
27.04.1978 00:00:00; 0,900
28.04.1978 00:00:00; 0,994
29.04.1978 00:00:00; 0,834
30.04.1978 00:00:00; 0,803
01.05.1978 00:00:00; 0,671
02.05.1978 00:00:00; 0,791
03.05.1978 00:00:00; 0,814
04.05.1978 00:00:00; 0,776
05.05.1978 00:00:00; 0,892
06.05.1978 00:00:00; 0,725
07.05.1978 00:00:00; 0,570
08.05.1978 00:00:00; 0,663
09.05.1978 00:00:00; 0,746
10.05.1978 00:00:00;  1,34
11.05.1978 00:00:00;  1,30
12.05.1978 00:00:00;  1,09
13.05.1978 00:00:00; 0,939
14.05.1978 00:00:00; 0,892
15.05.1978 00:00:00; 0,647
16.05.1978 00:00:00; 0,835
17.05.1978 00:00:00; 0,765
18.05.1978 00:00:00; 0,711
19.05.1978 00:00:00; 0,696
20.05.1978 00:00:00; 0,693
21.05.1978 00:00:00; 0,657
22.05.1978 00:00:00; 0,670
23.05.1978 00:00:00; 0,605
24.05.1978 00:00:00; 0,632
25.05.1978 00:00:00; 0,564
26.05.1978 00:00:00; 0,975
27.05.1978 00:00:00;  1,16
28.05.1978 00:00:00; 0,928
29.05.1978 00:00:00;  1,34
30.05.1978 00:00:00;  1,60
31.05.1978 00:00:00;  1,09
01.06.1978 00:00:00; 0,828
02.06.1978 00:00:00; 0,699
03.06.1978 00:00:00; 0,614
04.06.1978 00:00:00; 0,595
05.06.1978 00:00:00; 0,641
06.06.1978 00:00:00; 0,555
07.06.1978 00:00:00; 0,542
08.06.1978 00:00:00; 0,516
09.06.1978 00:00:00; 0,668
10.06.1978 00:00:00; 0,584
11.06.1978 00:00:00; 0,427
12.06.1978 00:00:00; 0,550
13.06.1978 00:00:00; 0,583
14.06.1978 00:00:00; 0,554
15.06.1978 00:00:00; 0,533
16.06.1978 00:00:00; 0,477
17.06.1978 00:00:00; 0,369
18.06.1978 00:00:00; 0,556
19.06.1978 00:00:00; 0,581
20.06.1978 00:00:00; 0,493
21.06.1978 00:00:00; 0,418
22.06.1978 00:00:00; 0,447
23.06.1978 00:00:00; 0,518
24.06.1978 00:00:00; 0,389
25.06.1978 00:00:00; 0,486
26.06.1978 00:00:00; 0,605
27.06.1978 00:00:00; 0,503
28.06.1978 00:00:00; 0,524
29.06.1978 00:00:00; 0,472
30.06.1978 00:00:00; 0,442
01.07.1978 00:00:00; 0,312
02.07.1978 00:00:00; 0,904
