Messstelle:                ;Siegersdorf
HZB-Nummer:                ;208017
HD-Nummer:                 ;no315
DBMS-Nummer:               ;3001041
Gewässer:                  ;Große Tulln
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;202,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00195,51
   01.01.2009              ;00195,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1933              ;720768,00 - 346399,00
Exportzeitreihe:           ;(3001041,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1956 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1956 00:00:00;  1,59
02.01.1956 00:00:00;  1,27
03.01.1956 00:00:00;  1,27
04.01.1956 00:00:00;  1,27
05.01.1956 00:00:00;  1,20
06.01.1956 00:00:00;  1,20
07.01.1956 00:00:00;  1,20
08.01.1956 00:00:00;  1,20
09.01.1956 00:00:00;  1,20
10.01.1956 00:00:00;  1,20
11.01.1956 00:00:00;  1,20
12.01.1956 00:00:00;  1,12
13.01.1956 00:00:00;  1,12
14.01.1956 00:00:00;  1,20
15.01.1956 00:00:00;  1,27
16.01.1956 00:00:00;  1,20
17.01.1956 00:00:00;  1,20
18.01.1956 00:00:00;  1,12
19.01.1956 00:00:00;  1,12
20.01.1956 00:00:00;  1,06
21.01.1956 00:00:00;  1,00
22.01.1956 00:00:00;  1,00
23.01.1956 00:00:00;  1,06
24.01.1956 00:00:00;  1,06
25.01.1956 00:00:00;  1,00
26.01.1956 00:00:00; 0,940
27.01.1956 00:00:00; 0,940
28.01.1956 00:00:00; 0,880
29.01.1956 00:00:00;  1,27
30.01.1956 00:00:00;  1,59
31.01.1956 00:00:00;  1,35
01.02.1956 00:00:00;  1,00
02.02.1956 00:00:00;  1,00
03.02.1956 00:00:00; 0,940
04.02.1956 00:00:00;  1,00
05.02.1956 00:00:00;  1,27
06.02.1956 00:00:00;  1,35
07.02.1956 00:00:00;  1,27
08.02.1956 00:00:00;  1,27
09.02.1956 00:00:00;  1,20
10.02.1956 00:00:00;  1,27
11.02.1956 00:00:00;  1,35
12.02.1956 00:00:00;  1,42
13.02.1956 00:00:00;  1,50
14.02.1956 00:00:00;  1,50
15.02.1956 00:00:00;  1,50
16.02.1956 00:00:00;  1,50
17.02.1956 00:00:00;  1,50
18.02.1956 00:00:00;  1,59
19.02.1956 00:00:00;  1,68
20.02.1956 00:00:00;  1,76
21.02.1956 00:00:00;  1,76
22.02.1956 00:00:00;  1,76
23.02.1956 00:00:00;  1,59
24.02.1956 00:00:00;  1,50
25.02.1956 00:00:00;  1,42
26.02.1956 00:00:00;  1,50
27.02.1956 00:00:00;  1,42
28.02.1956 00:00:00;  1,42
29.02.1956 00:00:00;  1,50
01.03.1956 00:00:00;  3,02
02.03.1956 00:00:00;  9,50
03.03.1956 00:00:00;  22,8
04.03.1956 00:00:00;  16,7
05.03.1956 00:00:00;  10,6
06.03.1956 00:00:00;  5,40
07.03.1956 00:00:00;  4,18
08.03.1956 00:00:00;  3,29
09.03.1956 00:00:00;  2,79
10.03.1956 00:00:00;  2,56
11.03.1956 00:00:00;  2,44
12.03.1956 00:00:00;  2,24
13.03.1956 00:00:00;  2,14
14.03.1956 00:00:00;  2,14
15.03.1956 00:00:00;  1,94
16.03.1956 00:00:00;  1,94
17.03.1956 00:00:00;  2,34
18.03.1956 00:00:00;  3,29
19.03.1956 00:00:00;  3,29
20.03.1956 00:00:00;  3,02
21.03.1956 00:00:00;  2,79
22.03.1956 00:00:00;  2,79
23.03.1956 00:00:00;  4,34
24.03.1956 00:00:00;  5,04
25.03.1956 00:00:00;  3,70
26.03.1956 00:00:00;  3,02
27.03.1956 00:00:00;  2,79
28.03.1956 00:00:00;  2,44
29.03.1956 00:00:00;  2,34
30.03.1956 00:00:00;  2,44
31.03.1956 00:00:00;  2,67
01.04.1956 00:00:00;  2,79
02.04.1956 00:00:00;  2,79
03.04.1956 00:00:00;  2,44
04.04.1956 00:00:00;  2,14
05.04.1956 00:00:00;  2,04
06.04.1956 00:00:00;  1,94
07.04.1956 00:00:00;  1,76
08.04.1956 00:00:00;  1,76
09.04.1956 00:00:00;  1,68
10.04.1956 00:00:00;  1,68
11.04.1956 00:00:00;  1,76
12.04.1956 00:00:00;  1,76
13.04.1956 00:00:00;  1,76
14.04.1956 00:00:00;  1,68
15.04.1956 00:00:00;  1,68
16.04.1956 00:00:00;  1,42
17.04.1956 00:00:00;  1,35
18.04.1956 00:00:00;  1,35
19.04.1956 00:00:00;  1,42
20.04.1956 00:00:00;  1,42
21.04.1956 00:00:00;  1,42
22.04.1956 00:00:00;  1,42
23.04.1956 00:00:00;  1,35
24.04.1956 00:00:00;  1,35
25.04.1956 00:00:00;  1,27
26.04.1956 00:00:00;  1,27
27.04.1956 00:00:00;  1,35
28.04.1956 00:00:00;  1,35
29.04.1956 00:00:00;  4,18
30.04.1956 00:00:00;  12,6
01.05.1956 00:00:00;  3,86
02.05.1956 00:00:00;  1,94
03.05.1956 00:00:00;  1,12
04.05.1956 00:00:00;  4,18
05.05.1956 00:00:00;  3,56
06.05.1956 00:00:00;  3,29
07.05.1956 00:00:00;  3,02
08.05.1956 00:00:00;  3,02
09.05.1956 00:00:00;  3,02
10.05.1956 00:00:00;  2,56
11.05.1956 00:00:00;  2,79
12.05.1956 00:00:00;  3,16
13.05.1956 00:00:00;  2,56
14.05.1956 00:00:00;  2,24
15.05.1956 00:00:00;  2,14
16.05.1956 00:00:00;  2,14
17.05.1956 00:00:00;  2,04
18.05.1956 00:00:00;  1,94
19.05.1956 00:00:00;  2,14
20.05.1956 00:00:00;  2,56
21.05.1956 00:00:00;  1,20
22.05.1956 00:00:00;  1,00
23.05.1956 00:00:00;  1,00
24.05.1956 00:00:00;  1,00
25.05.1956 00:00:00;  1,35
26.05.1956 00:00:00;  1,42
27.05.1956 00:00:00;  1,50
28.05.1956 00:00:00;  2,34
29.05.1956 00:00:00;  2,14
30.05.1956 00:00:00;  2,14
31.05.1956 00:00:00;  1,68
01.06.1956 00:00:00;  1,50
02.06.1956 00:00:00;  1,68
03.06.1956 00:00:00;  1,68
04.06.1956 00:00:00;  1,68
05.06.1956 00:00:00;  1,85
06.06.1956 00:00:00;  2,14
07.06.1956 00:00:00;  2,34
08.06.1956 00:00:00;  2,14
09.06.1956 00:00:00;  2,14
10.06.1956 00:00:00;  1,94
11.06.1956 00:00:00;  1,59
12.06.1956 00:00:00;  1,68
13.06.1956 00:00:00;  1,76
14.06.1956 00:00:00;  1,76
15.06.1956 00:00:00;  1,76
16.06.1956 00:00:00;  1,68
17.06.1956 00:00:00;  1,35
18.06.1956 00:00:00;  1,27
19.06.1956 00:00:00;  1,27
20.06.1956 00:00:00;  1,85
21.06.1956 00:00:00;  1,68
22.06.1956 00:00:00;  1,94
23.06.1956 00:00:00;  2,56
24.06.1956 00:00:00;  4,02
25.06.1956 00:00:00;  2,14
26.06.1956 00:00:00;  1,94
27.06.1956 00:00:00;  1,85
28.06.1956 00:00:00;  1,85
29.06.1956 00:00:00;  1,68
30.06.1956 00:00:00;  1,59
01.07.1956 00:00:00;  1,50
02.07.1956 00:00:00;  1,20
03.07.1956 00:00:00;  1,12
