Messstelle:                ;Fundusalm
HZB-Nummer:                ;230383
HD-Nummer:                 ;
DBMS-Nummer:               ;7001158
Gewässer:                  ;Fundusbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;13,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1971              ;01600,00
   20.05.1987              ;01630,00
   01.08.1989              ;01593,85
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1984              ;192959,00 - 222588,00
   01.08.1989              ;192726,00 - 221794,00
Exportzeitreihe:           ;(7001158,Abfluss,I,Mit,T,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1984 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
01.01.1984 00:00:00; 0,099
02.01.1984 00:00:00; 0,097
03.01.1984 00:00:00; 0,096
04.01.1984 00:00:00; 0,093
05.01.1984 00:00:00; 0,091
06.01.1984 00:00:00; 0,091
07.01.1984 00:00:00; 0,091
08.01.1984 00:00:00; 0,091
09.01.1984 00:00:00; 0,091
10.01.1984 00:00:00; 0,091
11.01.1984 00:00:00; 0,091
12.01.1984 00:00:00; 0,091
13.01.1984 00:00:00; 0,091
14.01.1984 00:00:00; 0,091
15.01.1984 00:00:00; 0,091
16.01.1984 00:00:00; 0,090
17.01.1984 00:00:00; 0,090
18.01.1984 00:00:00; 0,089
19.01.1984 00:00:00; 0,089
20.01.1984 00:00:00; 0,088
21.01.1984 00:00:00; 0,088
22.01.1984 00:00:00; 0,087
23.01.1984 00:00:00; 0,087
24.01.1984 00:00:00; 0,086
25.01.1984 00:00:00; 0,086
26.01.1984 00:00:00; 0,086
27.01.1984 00:00:00; 0,085
28.01.1984 00:00:00; 0,085
29.01.1984 00:00:00; 0,084
30.01.1984 00:00:00; 0,084
31.01.1984 00:00:00; 0,083
01.02.1984 00:00:00; 0,083
02.02.1984 00:00:00; 0,082
03.02.1984 00:00:00; 0,082
04.02.1984 00:00:00; 0,082
05.02.1984 00:00:00; 0,083
06.02.1984 00:00:00; 0,084
07.02.1984 00:00:00; 0,087
08.02.1984 00:00:00; 0,088
09.02.1984 00:00:00; 0,089
10.02.1984 00:00:00; 0,088
11.02.1984 00:00:00; 0,087
12.02.1984 00:00:00; 0,087
13.02.1984 00:00:00; 0,086
14.02.1984 00:00:00; 0,086
15.02.1984 00:00:00; 0,085
16.02.1984 00:00:00; 0,084
17.02.1984 00:00:00; 0,084
18.02.1984 00:00:00; 0,083
19.02.1984 00:00:00; 0,083
20.02.1984 00:00:00; 0,082
21.02.1984 00:00:00; 0,082
22.02.1984 00:00:00; 0,081
23.02.1984 00:00:00; 0,080
24.02.1984 00:00:00; 0,080
25.02.1984 00:00:00; 0,080
26.02.1984 00:00:00; 0,081
27.02.1984 00:00:00; 0,081
28.02.1984 00:00:00; 0,081
29.02.1984 00:00:00; 0,081
01.03.1984 00:00:00; 0,081
02.03.1984 00:00:00; 0,080
03.03.1984 00:00:00; 0,080
04.03.1984 00:00:00; 0,079
05.03.1984 00:00:00; 0,079
06.03.1984 00:00:00; 0,078
07.03.1984 00:00:00; 0,078
08.03.1984 00:00:00; 0,077
09.03.1984 00:00:00; 0,077
10.03.1984 00:00:00; 0,076
11.03.1984 00:00:00; 0,076
12.03.1984 00:00:00; 0,075
13.03.1984 00:00:00; 0,075
14.03.1984 00:00:00; 0,074
15.03.1984 00:00:00; 0,074
16.03.1984 00:00:00; 0,073
17.03.1984 00:00:00; 0,073
18.03.1984 00:00:00; 0,072
19.03.1984 00:00:00; 0,072
20.03.1984 00:00:00; 0,071
21.03.1984 00:00:00; 0,071
22.03.1984 00:00:00; 0,070
23.03.1984 00:00:00; 0,070
24.03.1984 00:00:00; 0,069
25.03.1984 00:00:00; 0,069
26.03.1984 00:00:00; 0,068
27.03.1984 00:00:00; 0,068
28.03.1984 00:00:00; 0,067
29.03.1984 00:00:00; 0,067
30.03.1984 00:00:00; 0,066
31.03.1984 00:00:00; 0,066
01.04.1984 00:00:00; 0,066
02.04.1984 00:00:00; 0,066
03.04.1984 00:00:00; 0,066
04.04.1984 00:00:00; 0,066
05.04.1984 00:00:00; 0,066
06.04.1984 00:00:00; 0,066
07.04.1984 00:00:00; 0,066
08.04.1984 00:00:00; 0,066
09.04.1984 00:00:00; 0,066
10.04.1984 00:00:00; 0,066
11.04.1984 00:00:00; 0,066
12.04.1984 00:00:00; 0,066
13.04.1984 00:00:00; 0,066
14.04.1984 00:00:00; 0,066
15.04.1984 00:00:00; 0,066
16.04.1984 00:00:00; 0,066
17.04.1984 00:00:00; 0,067
18.04.1984 00:00:00; 0,068
19.04.1984 00:00:00; 0,069
20.04.1984 00:00:00; 0,070
21.04.1984 00:00:00; 0,071
22.04.1984 00:00:00; 0,086
23.04.1984 00:00:00; 0,116
24.04.1984 00:00:00; 0,156
25.04.1984 00:00:00; 0,188
26.04.1984 00:00:00; 0,193
27.04.1984 00:00:00; 0,193
28.04.1984 00:00:00; 0,190
29.04.1984 00:00:00; 0,165
30.04.1984 00:00:00; 0,154
01.05.1984 00:00:00; 0,142
02.05.1984 00:00:00; 0,138
03.05.1984 00:00:00; 0,154
04.05.1984 00:00:00; 0,209
