Messstelle:                ;Krumbach-Zwing
HZB-Nummer:                ;200303
HD-Nummer:                 ;
DBMS-Nummer:               ;8001030
Gewässer:                  ;Weißach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;200,15

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;540,21
   01.01.1979              ;540,23
   01.01.2000              ;540,32

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1948              ;118729,00 - 262692,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.04.1948              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.04.1948    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.07.1999              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.1976              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.2010              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1956              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/vom 24. Sep bis zum 31. Dez Aufstau infolge Hangrutschung
   01.01.1998    31.12.1998;OWF-Q/vom 24. Sep - 31. Dez durch Aufstau (Hangrutschung) beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/Beeinflussung durch Aufstau nach Hangrutschung
   01.01.1999    31.12.1999;OWF-Q/Beeinflussung durch Aufstau nach Hangrutschung
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Mrz,Jul nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.2009              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/am 27. und 28. Okt Entleerung Speicher Bolgenach
   01.01.2009    31.12.2009;OWF-Q/am 27. und 28. Okt Entleerung Speicher Bolgenach
   01.01.2010    31.12.2010;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-W/am 8. Mai HW beeinflusst durch Öffnung Grundablass Speicher Bolgenach
   01.01.2012    31.12.2012;OWF-Q/am 8. Mai HQ beeinflusst durch Öffnung Grundablass Speicher Bolgenach
   01.01.2013    31.12.2013;OWF-Q/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Dez durch Eis beeinflusst
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Jun,Jul,Aug,Dez nach ergänzten Wasserständen ermittelt

