Messstelle:                ;Obermühl
HZB-Nummer:                ;204883
HD-Nummer:                 ;3170
DBMS-Nummer:               ;4001037
Gewässer:                  ;Kleine Mühl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;200,2

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1958              ;284,08
   17.06.2013              ;283,50

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;493630,00 - 368955,00
   27.03.2020              ;493631,54 - 368960,62

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1928              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   10.08.2017    25.10.2019;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   25.10.2019              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   16.01.1996    01.12.2012;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   01.12.2012    10.08.2017;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   01.01.2013    10.08.2017;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   10.08.2017    25.10.2019;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   25.10.2019              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   04.07.1977    25.10.2019;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   09.12.2019              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1981              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1982    01.01.1998;2161003310-2/OWF-WT/Metal-Schreibstreifen manuell
   01.01.1998    25.10.2019;2161003320-4/OWF-WT/Hleiter-Datensammler
   25.10.2019              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1997;OWF-WT/ausgewiesene Extremwerte sind zeitweise Tagesmittelwerte
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
