Messstelle:                ;Lambach (Traunbrücke)
HZB-Nummer:                ;205468
HD-Nummer:                 ;6020
DBMS-Nummer:               ;4001093
Gewässer:                  ;Traun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;2740,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1957              ;341,45

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1900              ;490485,00 - 328105,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1851    01.07.1998;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1991    01.07.1998;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.1976    01.07.1998;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.07.1998              ;2141006820-1/OWF-Q/Kraftwerk (Turb.+Wehr)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.1997              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1997              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1997    31.12.1997;OWF-W/Pegel liegt im Baustellenbereich des Kraftwerkes Lambach  | wegen Bauarbeiten zeitweise kein Lattenpegel
   01.01.1997    31.12.1997;OWF-Q/Pegel liegt im Baustellenbereich des Kraftwerkes Lambach  | wegen Bauarbeiten zeitweise kein Lattenpegel
   01.01.1998              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1998              ;OWF-W/durch Seeschleuse beeinflusst
   01.01.1998              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1998    31.12.2001;OWF-Q/durch Seeschleuse beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/von Jan bis Jun durch Bauarbeiten des KW Lambach beeinflusst  | am 30. Jun aufgelassen
   01.01.1998    31.12.1998;OWF-Q/von Jan bis Jun durch Bauarbeiten des KW Lambach beeinflusst  | ab 1. Jul Abfluß aus Kraftwerksdurchflüssen ermittelt
   01.01.2002    31.12.2002;OWF-Q/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis  | Stationsname geändert
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers

