Messstelle:                ;HWR-Becken Leithen (Ausfluß)
HZB-Nummer:                ;206565
HD-Nummer:                 ;3610
DBMS-Nummer:               ;4001197
Gewässer:                  ;Trattnach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;19,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1981              ;465,00
   01.01.1988              ;467,44

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1981              ;475100,00 - 336460,00
   01.10.2020              ;475091,59 - 336447,63

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1981              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1981    09.11.2021;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.05.2003    30.09.2009;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   07.11.2021              ;2111002240-8/OWF-W/Schwimmer (Winkelcod.)-DFÜ -> Datensammler
   25.09.2009    09.11.2021;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   07.11.2021              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.1981              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1981              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   25.09.2009    09.11.2021;2161003320-4/OWF-WT/Hleiter-Datensammler
   07.11.2021              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Rückhaltebecken flussaufwärts des Pegels
   01.01.1996              ;OWF-Q/Rückhaltebecken flussaufwärts des Pegels
   01.01.1996              ;OWF-Q/im Jahrbuch nicht veröffentlicht
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/Im Nov nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/vom 26. Sep bis zum 1. Okt Grundseeablass geöffnet
   01.01.1999    31.12.1999;OWF-Q/vom 26. Sep bis zum 1. Okt Grundseeablass geöffnet
   01.01.2000    31.12.2000;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-WT/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez trocken
   01.01.2002    31.12.2002;OWF-W/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2002    31.12.2002;OWF-Q/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2003    31.12.2003;OWF-Q/Im Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Feb,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr,Mai,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/am 18. Jän und am 23. Feb Einlaufbauwerk gesäubert
   01.01.2011    31.12.2011;OWF-Q/am 18. Jän und am 23. Feb Einlaufbauwerk gesäubert
   01.01.2012    31.12.2012;OWF-W/vom 10. bis 13. Dez Grundseeausfluss aufgestaut
   01.01.2012    31.12.2012;OWF-Q/vom 10. bis 13. Dez Grundseeausfluss aufgestaut
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

