Messstelle:                ;Dürnkrut (Fluss-km 44,33)
HZB-Nummer:                ;207316
HD-Nummer:                 ;
DBMS-Nummer:               ;10001013
Gewässer:                  ;March
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;25404,7

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1955              ;143,14
   01.01.1976              ;142,14
   01.01.2001              ;142,02

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1955              ;789340,00 - 369825,00
   01.01.2010              ;789325,50 - 369809,60

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1895              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1965    01.01.1997;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1997              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   13.10.1999    28.05.2018;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   24.11.2017              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   13.10.1999              ;2111005310-6/OWF-W/Drucksonde (direkt)-Fernübertragung (DFÜ)
   01.01.1895              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   01.01.1998              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.06.1964              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   13.10.1999    28.05.2018;2161004310-4/OWF-WT/Thermoelement-Datensammler
   24.11.2017              ;2161004310-4/OWF-WT/Thermoelement-Datensammler
   24.11.2017              ;2161004310-6/OWF-WT/Thermoelement-Fernübertragung (DFÜ)

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1997    31.12.1997;OWF-WT/Im Feb,Mrz,Apr,Mai,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/vom 1. - 23. Jän geschlossene Eisdecke
   01.01.1998    31.12.1998;OWF-WT/Im Mrz,Apr,Mai,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/vom 8. Apr bis zum 20. Mai Pegelumbau
   01.01.1999    31.12.1999;OWF-W/ab  13. Okt Datensammler
   01.01.1999    31.12.1999;OWF-WT/ab  13. Okt Datensammler
   01.01.2000    31.12.2000;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Mrz,Apr,Mai,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-WT/Im Feb,Mrz,Apr,Mai,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Feb,Mrz,Apr,Okt,Nov,Dez trocken
   01.01.2003    31.12.2003;OWF-WT/Im Jän,Feb,Mrz,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Jän,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Jän,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Nov nach ergänzten Wasserständen ermittelt

