Messstelle:                ;Nußdorf
HZB-Nummer:                ;203844
HD-Nummer:                 ;
DBMS-Nummer:               ;5001079
Gewässer:                  ;Oichten
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;40,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1983              ;00416,00
   26.04.2007              ;00414,11
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1983              ;425530,00 - 315620,00
Exportzeitreihe:           ;(5001079,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1983 01:00,01.01.2022 00:00]
Werte:
05.01.1983 17:00:00;   216
27.02.1983 13:00:00;   147
19.03.1983 18:00:00;    88
16.04.1983 04:00:00;   125
09.05.1983 11:00:00;   142
14.06.1983 20:00:00;   250
07.07.1983 20:00:00;   266
07.08.1983 04:00:00;   189
25.09.1983 08:00:00;    74
05.10.1983 16:00:00;    42
28.11.1983 22:00:00;    52
24.12.1983 07:00:00;   178
15.01.1984 03:00:00;    89
07.02.1984 01:00:00;    84
30.03.1984 14:00:00;    57
02.04.1984 22:00:00;    40
29.05.1984 09:00:00;    54
09.06.1984 08:00:00;    43
29.07.1984 14:00:00;   167
12.08.1984 17:00:00;    75
17.09.1984 08:00:00;   201
04.10.1984 08:00:00;    62
27.11.1984 05:00:00;    37
17.12.1984 10:00:00;    75
24.01.1985 05:45:00;    75
02.02.1985 07:45:00;   144
24.03.1985 18:30:00;   108
10.04.1985 15:30:00;    37
02.05.1985 14:00:00;    72
23.06.1985 08:00:00;   146
31.07.1985 08:45:00;    35
06.08.1985 17:00:00;   205
06.09.1985 10:45:00;    81
15.10.1985 17:00:00;    41
30.11.1985 23:15:00;    82
19.12.1985 03:30:00;   114
15.01.1986 04:15:00;   137
02.02.1986 14:00:00;    26
24.03.1986 01:15:00;   116
21.04.1986 08:00:00;    44
31.05.1986 00:45:00;    63
13.06.1986 03:30:00;    41
24.07.1986 22:45:00;    39
01.08.1986 00:00:00;    17
18.09.1986 16:45:00;    34
26.10.1986 18:15:00;    56
23.11.1986 21:45:00;    47
29.12.1986 21:30:00;   118
02.01.1987 04:30:00;   108
10.02.1987 15:00:00;   131
04.03.1987 20:15:00;   182
10.04.1987 21:15:00;    52
20.05.1987 13:30:00;   139
22.06.1987 00:45:00;   177
01.07.1987 21:45:00;   193
05.08.1987 13:00:00;   100
27.09.1987 13:30:00;   163
18.10.1987 08:15:00;    44
14.11.1987 03:30:00;    54
20.12.1987 20:00:00;   173
30.01.1988 07:15:00;    88
01.02.1988 00:00:00;    57
21.03.1988 19:00:00;   185
13.04.1988 21:15:00;   105
20.05.1988 18:15:00;    64
12.06.1988 20:30:00;   186
14.07.1988 13:00:00;   131
30.08.1988 04:00:00;    71
16.09.1988 18:45:00;   134
30.10.1988 01:30:00;    81
15.11.1988 07:45:00;   130
10.12.1988 21:15:00;   198
07.01.1989 08:45:00;   136
19.02.1989 06:15:00;   125
19.03.1989 03:15:00;    67
02.04.1989 19:45:00;    96
14.05.1989 15:15:00;    89
23.06.1989 12:00:00;   116
03.07.1989 11:30:00;   166
09.08.1989 17:45:00;   178
16.09.1989 00:45:00;   101
12.10.1989 09:00:00;   106
09.11.1989 11:45:00;   118
19.12.1989 12:15:00;   119
21.01.1990 12:30:00;    49
15.02.1990 14:30:00;   214
01.03.1990 00:00:00;    86
26.04.1990 15:00:00;   115
25.05.1990 15:30:00;    66
15.06.1990 17:15:00;   153
04.07.1990 08:15:00;   198
17.08.1990 17:00:00;    64
24.09.1990 11:30:00;   158
08.10.1990 10:15:00;   118
01.11.1990 08:45:00;   160
23.12.1990 15:45:00;    86
03.01.1991 02:00:00;    66
24.02.1991 16:00:00;   102
23.03.1991 00:30:00;    56
01.04.1991 00:00:00;    32
12.05.1991 20:15:00;    69
27.06.1991 16:45:00;   200
31.07.1991 23:15:00;   261
02.08.1991 21:00:00;   275
01.09.1991 00:00:00;    39
04.10.1991 14:45:00;    36
16.11.1991 20:00:00;    59
22.12.1991 23:45:00;   195
