Messstelle:                ;Friedburg
HZB-Nummer:                ;204636
HD-Nummer:                 ;2220
DBMS-Nummer:               ;4001013
Gewässer:                  ;Schwemmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;82,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1965              ;00505,00
   01.01.1989              ;00507,72
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1965              ;443585,00 - 319840,00
   20.07.2009              ;443597,00 - 319813,00
   24.03.2020              ;443595,25 - 319806,27
Exportzeitreihe:           ;(4001013,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
12.01.1976 06:30:00;    79
26.02.1976 23:30:00;    41
26.03.1976 06:30:00;    48
27.04.1976 07:00:00;    51
31.05.1976 16:30:00;    71
02.06.1976 23:00:00;   107
27.07.1976 23:30:00;    67
14.08.1976 00:00:00;    61
02.09.1976 08:00:00;    57
31.10.1976 13:00:00;    60
15.11.1976 09:00:00;    75
09.12.1976 23:00:00;    64
27.01.1977 10:00:00;    49
07.02.1977 10:00:00;    86
03.03.1977 04:00:00;    79
13.04.1977 21:30:00;    92
09.05.1977 03:00:00;    77
27.06.1977 12:00:00;    98
31.07.1977 23:59:55;    85
01.08.1977 11:30:00;   127
05.09.1977 00:00:00;   116
11.10.1977 05:00:00;    52
03.11.1977 06:00:00;    58
25.12.1977 05:30:00;    97
03.01.1978 23:00:00;    48
21.02.1978 08:00:00;    49
28.03.1978 17:30:00;    73
01.04.1978 00:00:00;    55
20.05.1978 00:30:00;    80
24.06.1978 15:30:00;    72
10.07.1978 04:30:00;    77
17.08.1978 00:30:00;    77
29.09.1978 10:00:00;    71
26.10.1978 04:30:00;    68
04.11.1978 13:30:00;    38
30.12.1978 01:00:00;    44
03.01.1979 02:30:00;    43
03.02.1979 03:00:00;    61
12.03.1979 17:00:00;   110
28.04.1979 10:30:00;    77
12.05.1979 08:30:00;    69
18.06.1979 02:30:00;   120
14.07.1979 14:00:00;    66
04.08.1979 14:30:00;    73
24.09.1979 19:00:00;    70
17.10.1979 23:00:00;    42
28.11.1979 00:00:00;   125
02.12.1979 01:30:00;    50
05.01.1980 23:30:00;    44
05.02.1980 18:30:00;    69
12.03.1980 19:00:00;    48
30.04.1980 18:30:00;    83
01.05.1980 18:00:00;    89
27.06.1980 11:30:00;    70
22.07.1980 04:30:00;   107
13.08.1980 08:00:00;    53
01.09.1980 20:30:00;    81
13.10.1980 09:30:00;    73
16.11.1980 15:00:00;    43
24.12.1980 04:30:00;    79
03.01.1981 20:00:00;    58
08.02.1981 04:00:00;    81
13.03.1981 06:00:00;    98
09.04.1981 15:00:00;    42
01.05.1981 22:00:00;    73
19.06.1981 10:30:00;    58
20.07.1981 08:30:00;   161
23.08.1981 11:00:00;    47
30.09.1981 07:00:00;    49
15.10.1981 14:00:00;    64
28.11.1981 06:00:00;    63
09.12.1981 01:30:00;    57
31.01.1982 09:30:00;    93
01.02.1982 00:00:00;    71
31.03.1982 19:00:00;    74
01.04.1982 00:00:00;    72
24.05.1982 13:00:00;    60
16.06.1982 23:00:00;    87
