Messstelle:                ;Königswiesen (Ort)
HZB-Nummer:                ;205997
HD-Nummer:                 ;9420
DBMS-Nummer:               ;4001141
Gewässer:                  ;Große Naarn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;80,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00560,00
   01.01.1984              ;00563,39
   01.01.1987              ;00562,56
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;561602,00 - 363922,00
   27.03.2020              ;561573,94 - 363955,58
Exportzeitreihe:           ;(4001141,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
12.01.1976 18:00:00;   215
01.02.1976 00:00:00;   141
02.03.1976 12:00:00;   141
03.04.1976 12:00:00;   155
31.05.1976 12:00:00;   181
01.06.1976 00:00:00;   181
24.07.1976 12:00:00;   176
05.08.1976 12:00:00;   159
30.09.1976 12:00:00;   149
31.10.1976 12:00:00;   201
01.11.1976 00:00:00;   201
02.12.1976 12:00:00;   149
27.01.1977 12:00:00;   148
11.02.1977 12:00:00;   202
04.03.1977 18:00:00;   240
14.04.1977 12:00:00;   183
01.05.1977 00:00:00;   144
27.06.1977 12:00:00;   141
21.07.1977 12:00:00;   130
22.08.1977 12:00:00;   175
09.09.1977 12:00:00;   178
10.10.1977 12:00:00;   145
15.11.1977 12:00:00;   144
25.12.1977 12:00:00;   220
01.01.1978 02:00:00;   133
28.02.1978 12:00:00;   140
31.03.1978 14:00:00;   160
01.04.1978 00:00:00;   160
01.05.1978 00:00:00;   140
18.06.1978 12:00:00;   154
10.07.1978 12:00:00;   195
09.08.1978 12:00:00;   133
23.09.1978 12:00:00;   148
05.10.1978 12:00:00;   144
22.11.1978 14:00:00;   121
30.12.1978 12:00:00;   166
01.01.1979 00:00:00;   153
03.02.1979 12:00:00;   139
12.03.1979 20:00:00;   248
14.04.1979 22:00:00;   235
03.05.1979 12:00:00;   176
25.06.1979 22:00:00;   285
14.07.1979 18:00:00;   300
04.08.1979 20:00:00;   255
24.09.1979 18:00:00;   196
18.10.1979 12:00:00;   131
29.11.1979 12:00:00;   166
18.12.1979 12:00:00;   166
06.01.1980 00:00:05;   137
06.02.1980 12:00:00;   167
29.03.1980 12:00:00;   171
30.04.1980 20:00:00;   232
01.05.1980 00:00:00;   232
07.06.1980 22:00:00;   210
27.07.1980 20:00:00;   255
04.08.1980 12:00:00;   188
01.09.1980 02:00:00;   170
13.10.1980 12:00:00;   198
16.11.1980 12:00:00;   150
25.12.1980 12:00:00;   155
04.01.1981 12:00:00;   150
09.02.1981 12:00:00;   151
12.03.1981 08:00:00;   290
01.04.1981 00:00:00;   156
01.05.1981 02:00:00;   186
10.06.1981 12:00:00;   131
20.07.1981 12:00:00;   178
10.08.1981 12:00:00;   136
14.09.1981 12:00:00;   172
01.10.1981 02:00:00;   153
22.11.1981 12:00:00;   178
01.12.1981 00:00:00;   149
06.01.1982 12:00:00;   232
01.02.1982 00:00:00;   182
31.03.1982 20:00:00;   225
03.04.1982 22:00:00;   241
24.05.1982 12:00:00;   185
13.06.1982 12:00:00;   148
01.07.1982 00:00:00;   134
07.08.1982 12:00:00;   132
24.09.1982 12:00:00;   127
02.10.1982 12:00:00;   137
19.11.1982 12:00:00;   129
17.12.1982 12:00:00;   142
06.01.1983 12:00:00;   210
01.02.1983 00:00:00;   168
20.03.1983 12:00:00;   174
03.04.1983 12:00:00;   175
10.05.1983 12:00:00;   149
20.06.1983 12:00:00;   134
02.07.1983 12:00:00;   126
05.08.1983 12:00:00;   145
17.09.1983 12:00:00;   120
12.10.1983 12:00:00;   123
28.11.1983 12:00:00;   123
24.12.1983 18:00:00;   160
15.01.1984 12:00:00;   150
07.02.1984 12:00:00;   160
30.03.1984 12:00:00;   160
17.04.1984 14:00:00;   157
14.05.1984 14:00:00;   163
01.06.1984 00:00:00;   130
14.07.1984 14:00:00;   164
13.08.1984 14:00:00;   157
17.09.1984 14:00:00;   180
