Messstelle:                ;Wels-Lichtenegg
HZB-Nummer:                ;206391
HD-Nummer:                 ;6350
DBMS-Nummer:               ;4001181
Gewässer:                  ;Traun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;3387,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00309,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;499360,00 - 333840,00
   01.01.2020              ;499375,37 - 333858,27
Exportzeitreihe:           ;(4001181,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1980 00:30,01.01.2022 00:00]
Werte:
01.01.1980 08:30:00;   161
05.02.1980 18:00:00;   297
31.03.1980 06:30:00;   209
02.04.1980 05:00:00;   287
02.05.1980 05:30:00;   288
27.06.1980 18:30:00;   385
04.07.1980 08:00:00;   391
13.08.1980 14:30:00;   300
02.09.1980 02:00:00;   350
13.10.1980 11:00:00;   296
01.11.1980 00:00:00;   191
24.12.1980 21:30:00;   261
04.01.1981 07:30:00;   284
08.02.1981 12:30:00;   303
13.03.1981 11:00:00;   375
01.04.1981 04:30:00;   303
02.05.1981 05:30:00;   294
19.06.1981 13:30:00;   283
21.07.1981 02:30:00;   503
28.08.1981 22:00:00;   331
17.09.1981 17:30:00;   304
16.10.1981 15:30:00;   300
02.11.1981 01:30:00;   268
05.12.1981 04:30:00;   256
31.01.1982 13:00:00;   423
01.02.1982 00:00:00;   336
31.03.1982 23:59:55;   249
07.04.1982 04:00:00;   266
29.05.1982 10:30:00;   365
27.06.1982 19:30:00;   352
27.07.1982 08:00:00;   371
01.08.1982 09:30:00;   287
24.09.1982 09:30:00;   184
16.10.1982 05:30:00;   208
19.11.1982 17:00:00;   162
28.12.1982 17:30:00;   216
06.01.1983 01:30:00;   380
01.02.1983 13:00:00;   272
20.03.1983 08:30:00;   251
22.04.1983 17:00:00;   268
09.05.1983 14:00:00;   303
28.06.1983 08:30:00;   337
02.07.1983 10:30:00;   256
06.08.1983 14:00:00;   309
25.09.1983 21:30:00;   195
11.10.1983 23:30:00;   295
29.11.1983 11:00:00;   261
24.12.1983 14:30:00;   346
15.01.1984 12:15:00;   215
07.02.1984 11:00:00;   233
31.03.1984 09:15:00;   213
24.04.1984 10:00:00;   228
08.05.1984 02:00:00;   271
15.06.1984 13:30:00;   257
29.07.1984 21:45:00;   343
27.08.1984 07:15:00;   337
17.09.1984 13:45:00;   342
03.10.1984 04:15:00;   260
02.11.1984 11:15:00;   151
17.12.1984 19:30:00;   162
31.01.1985 05:45:00;   151
03.02.1985 00:15:00;   312
28.03.1985 11:00:00;   213
11.04.1985 04:00:00;   235
02.05.1985 20:00:00;   281
23.06.1985 15:45:00;   354
21.07.1985 09:30:00;   341
07.08.1985 00:00:00;   493
09.09.1985 23:15:00;   318
15.10.1985 20:30:00;   212
11.11.1985 12:15:00;   182
19.12.1985 08:30:00;   288
19.01.1986 15:15:00;   377
03.02.1986 13:00:00;   183
24.03.1986 07:15:00;   248
08.04.1986 14:15:00;   256
30.05.1986 04:15:00;   288
05.06.1986 17:15:00;   266
24.07.1986 22:15:00;   249
25.08.1986 09:30:00;   234
11.09.1986 20:00:00;   200
27.10.1986 15:45:00;   202
03.11.1986 10:45:00;   188
30.12.1986 06:00:00;   253
02.01.1987 05:30:00;   337
09.02.1987 17:30:00;   348
03.03.1987 03:00:00;   408
11.04.1987 16:00:00;   300
21.05.1987 04:15:00;   330
05.06.1987 16:45:00;   349
09.07.1987 20:15:00;   323
04.08.1987 01:45:00;   366
06.09.1987 17:00:00;   304
18.10.1987 20:15:00;   176
21.11.1987 00:30:00;   221
21.12.1987 01:45:00;   413
31.01.1988 21:00:00;   184
01.02.1988 00:00:00;   183
22.03.1988 03:00:00;   362
14.04.1988 01:30:00;   419
21.05.1988 04:30:00;   296
06.06.1988 11:00:00;   379
14.07.1988 18:30:00;   303
30.08.1988 09:15:00;   249
16.09.1988 15:00:00;   347
30.10.1988 02:30:00;   226
16.11.1988 16:45:00;   282
11.12.1988 11:30:00;   399
08.01.1989 22:45:00;   306
20.02.1989 00:00:00;   277
14.03.1989 10:00:00;   260
03.04.1989 02:30:00;   270
15.05.1989 09:45:00;   273
19.06.1989 07:30:00;   327
28.07.1989 02:45:00;   280
03.08.1989 18:15:00;   290
16.09.1989 13:45:00;   334
11.10.1989 05:15:00;   230
01.11.1989 06:15:00;   229
20.12.1989 00:00:00;   210
06.01.1990 13:15:00;   155
15.02.1990 21:15:00;   412
01.03.1990 13:15:00;   265
26.04.1990 01:15:00;   238
03.05.1990 09:45:00;   227
11.06.1990 15:00:00;   333
10.07.1990 12:15:00;   383
07.08.1990 18:00:00;   190
24.09.1990 18:15:00;   303
08.10.1990 19:30:00;   231
20.11.1990 03:45:00;   291
30.12.1990 23:45:00;   192
03.01.1991 17:45:00;   226
27.02.1991 00:15:00;   168
20.03.1991 19:00:00;   222
06.04.1991 07:00:00;   170
18.05.1991 22:30:00;   310
28.06.1991 02:45:00;   359
18.07.1991 00:30:00;   412
03.08.1991 06:00:00;   587
18.09.1991 04:30:00;   161
04.10.1991 12:30:00;   165
12.11.1991 14:30:00;   189
23.12.1991 09:30:00;   479
05.01.1992 22:45:00;   200
14.02.1992 12:15:00;   220
23.03.1992 08:45:00;   366
29.04.1992 08:00:00;   291
11.05.1992 23:00:00;   261
14.06.1992 00:45:00;   347
13.07.1992 17:00:00;   210
17.08.1992 11:00:00;   188
05.09.1992 20:45:00;   236
26.10.1992 12:15:00;   206
23.11.1992 17:30:00;   445
01.12.1992 00:00:00;   293
09.01.1993 05:45:00;   309
01.02.1993 00:45:00;   191
18.03.1993 04:00:00;   325
19.04.1993 19:00:00;   308
04.05.1993 17:45:00;   254
28.06.1993 02:45:00;   322
29.07.1993 11:30:00;   407
01.08.1993 00:30:00;   269
05.09.1993 22:30:00;   262
24.10.1993 10:00:00;   278
02.11.1993 17:30:00;   166
20.12.1993 17:30:00;   309
26.01.1994 17:30:00;   273
01.02.1994 00:15:00;   197
26.03.1994 17:15:00;   344
18.04.1994 09:45:00;   396
20.05.1994 00:30:00;   362
05.06.1994 23:45:00;   296
07.07.1994 11:00:00;   198
20.08.1994 11:15:00;   235
03.09.1994 21:45:00;   182
05.10.1994 01:15:00;   178
20.11.1994 14:30:00;   343
11.12.1994 16:45:00;   337
26.01.1995 08:00:00;   289
22.02.1995 13:30:00;   233
28.03.1995 01:30:00;   257
02.04.1995 08:00:00;   339
14.05.1995 08:15:00;   331
26.06.1995 13:30:00;   396
01.07.1995 00:30:00;   266
30.08.1995 11:30:00;   366
02.09.1995 09:00:00;   434
02.10.1995 10:15:00;   230
18.11.1995 02:00:00;   267
25.12.1995 07:15:00;   263
01.01.1996 12:15:00;   175
17.02.1996 21:15:00;   144
27.03.1996 16:30:00;   241
30.04.1996 01:45:00;   250
14.05.1996 18:00:00;   402
30.06.1996 09:30:00;   308
12.07.1996 16:45:00;   344
25.08.1996 04:00:00;   281
14.09.1996 23:30:00;   442
22.10.1996 04:15:00;   498
02.11.1996 03:00:00;   269
03.12.1996 22:30:00;   178
03.01.1997 18:10:00;   146
15.02.1997 19:00:00;   220
17.03.1997 22:55:00;   351
06.04.1997 12:18:45;   352
21.05.1997 11:09:35;   328
24.06.1997 00:50:00;   229
06.07.1997 11:20:00;   513
01.08.1997 23:35:00;   314
01.09.1997 00:40:00;   201
02.10.1997 05:35:00;   319
30.11.1997 21:45:00;   211
12.12.1997 12:15:00;   314
07.01.1998 12:20:00;   177
18.02.1998 14:00:00;   191
17.03.1998 21:45:00;   393
01.04.1998 13:00:00;   258
22.05.1998 10:50:00;   259
13.06.1998 12:00:25;   320
10.07.1998 16:55:00;   318
23.08.1998 11:00:25;   235
18.09.1998 21:00:00;   359
30.10.1998 01:33:05;   318
11.11.1998 03:08:55;   402
15.12.1998 07:40:00;   329
08.01.1999 18:29:45;   249
21.02.1999 03:10:00;   359
02.03.1999 17:30:00;   366
13.04.1999 12:20:00;   272
12.05.1999 14:00:00;   353
22.06.1999 17:25:00;   256
23.07.1999 19:00:00;   329
30.08.1999 12:10:00;   277
03.09.1999 05:00:00;   287
29.10.1999 12:35:00;   190
10.11.1999 13:27:35;   182
19.12.1999 15:55:45;   238
31.01.2000 07:15:00;   363
09.02.2000 10:05:00;   341
17.03.2000 23:10:00;   361
24.04.2000 22:35:00;   284
13.05.2000 01:04:50;   325
07.06.2000 06:15:00;   264
12.07.2000 18:45:00;   261
04.08.2000 01:26:20;   311
21.09.2000 12:55:00;   267
03.10.2000 17:18:55;   307
05.11.2000 15:35:00;   164
19.12.2000 19:05:00;   189
09.01.2001 15:49:50;   174
04.02.2001 20:35:00;   220
24.03.2001 10:50:00;   358
12.04.2001 13:00:05;   274
06.05.2001 00:30:00;   257
19.06.2001 22:55:00;   389
21.07.2001 00:25:00;   374
10.08.2001 22:15:00;   214
09.09.2001 08:52:35;   408
01.10.2001 06:59:00;   199
26.11.2001 23:25:00;   211
07.12.2001 02:10:00;   405
28.01.2002 08:40:00;   372
26.02.2002 00:50:00;   278
22.03.2002 07:40:00;   494
27.04.2002 13:25:00;   287
04.05.2002 21:40:00;   247
07.06.2002 18:50:00;   397
17.07.2002 19:50:00;   277
12.08.2002 19:15:00;   650
27.09.2002 21:10:00;   365
13.10.2002 12:00:20;   305
12.11.2002 05:05:25;   358
23.12.2002 17:25:00;   338
03.01.2003 01:00:00;   271
01.02.2003 00:00:00;   190
13.03.2003 08:21:05;   231
29.04.2003 10:05:00;   224
22.05.2003 16:30:00;   244
02.06.2003 17:30:00;   182
29.07.2003 10:20:00;   201
01.08.2003 17:05:00;   252
14.09.2003 01:50:00;   327
10.10.2003 08:30:00;   358
02.11.2003 15:40:00;   205
15.12.2003 00:50:00;   169
14.01.2004 09:35:00;   320
03.02.2004 07:00:00;   289
22.03.2004 02:40:00;   261
24.04.2004 13:25:00;   244
16.05.2004 14:10:00;   306
04.06.2004 13:00:00;   406
25.07.2004 17:50:00;   294
27.08.2004 11:10:00;   270
24.09.2004 09:45:00;   338
01.10.2004 00:00:00;   242
24.11.2004 02:10:00;   289
01.12.2004 06:05:00;   166
21.01.2005 17:23:20;   232
13.02.2005 05:50:00;   317
20.03.2005 01:45:00;   364
26.04.2005 19:55:00;   341
30.05.2005 22:15:00;   320
07.06.2005 15:45:00;   263
12.07.2005 01:50:00;   472
17.08.2005 05:05:00;   469
18.09.2005 11:45:00;   282
01.10.2005 00:00:00;   223
02.11.2005 11:05:00;   141
17.12.2005 02:50:00;   190
03.01.2006 14:10:00;   171
17.02.2006 13:25:00;   193
29.03.2006 10:25:00;   431
01.04.2006 00:05:00;   380
28.05.2006 22:25:00;   381
03.06.2006 21:25:00;   408
01.07.2006 00:00:00;   251
07.08.2006 17:45:00;   546
19.09.2006 16:35:00;   374
04.10.2006 15:01:30;   167
15.11.2006 01:19:35;   326
06.12.2006 09:32:25;   169
19.01.2007 20:05:00;   342
28.02.2007 18:40:00;   234
02.03.2007 17:18:15;   254
15.04.2007 13:00:00;   191
09.05.2007 15:35:00;   427
26.06.2007 14:35:00;   235
10.07.2007 18:20:00;   286
31.08.2007 10:55:00;   205
07.09.2007 08:20:00;   547
31.10.2007 23:59:55;   203
12.11.2007 02:10:00;   357
08.12.2007 16:40:00;   247
29.01.2008 11:20:00;   203
08.02.2008 14:10:00;   182
15.03.2008 05:40:00;   368
23.04.2008 16:15:00;   305
31.05.2008 08:35:00;   242
08.06.2008 05:05:00;   251
24.07.2008 14:50:25;   314
16.08.2008 13:50:00;   349
16.09.2008 16:10:00;   215
17.10.2008 10:50:00;   189
21.11.2008 20:45:00;   292
21.12.2008 10:05:00;   313
01.01.2009 03:25:00;   148
28.02.2009 17:50:00;   211
13.03.2009 12:40:00;   296
07.04.2009 00:50:00;   323
31.05.2009 03:40:00;   333
24.06.2009 11:50:00;   594
18.07.2009 16:30:00;   383
04.08.2009 20:00:00;   388
05.09.2009 09:00:00;   275
24.10.2009 15:00:00;   236
04.11.2009 22:35:00;   200
11.12.2009 17:04:00;   225
02.01.2010 15:39:00;   163
26.02.2010 23:34:00;   217
27.03.2010 06:45:00;   233
15.04.2010 00:00:00;   213
22.05.2010 08:04:00;   331
03.06.2010 03:44:00;   506
05.07.2010 13:00:00;   481
31.08.2010 23:59:55;   331
01.09.2010 01:45:00;   332
26.10.2010 02:15:00;   169
13.11.2010 07:00:00;   170
24.12.2010 12:30:00;   194
14.01.2011 08:45:00;   465
12.02.2011 19:45:00;   250
18.03.2011 19:00:00;   223
09.04.2011 01:45:00;   216
28.05.2011 14:15:00;   262
24.06.2011 02:15:00;   228
22.07.2011 19:00:00;   282
09.08.2011 09:00:00;   265
20.09.2011 15:45:20;   198
13.10.2011 12:02:40;   379
01.11.2011 04:09:30;   136
23.12.2011 23:00:00;   190
22.01.2012 09:15:00;   409
29.02.2012 10:00:00;   308
01.03.2012 00:15:00;   283
16.04.2012 18:15:00;   274
03.05.2012 02:45:00;   279
13.06.2012 11:00:00;   397
22.07.2012 01:00:00;   254
31.08.2012 23:59:55;   239
13.09.2012 23:45:00;   314
13.10.2012 13:15:00;   209
05.11.2012 15:15:00;   242
23.12.2012 19:15:00;   410
05.01.2013 12:15:00;   450
02.02.2013 17:00:00;   303
09.03.2013 07:15:00;   220
20.04.2013 11:30:00;   279
31.05.2013 18:00:00;   403
02.06.2013 20:00:00;   662
05.07.2013 21:45:00;   315
29.08.2013 08:15:00;   328
19.09.2013 09:00:00;   426
17.10.2013 00:15:00;   222
07.11.2013 02:45:00;   282
10.12.2013 11:15:00;   167
10.01.2014 23:45:00;   151
12.02.2014 12:15:00;   180
23.03.2014 22:15:00;   193
29.04.2014 23:00:00;   200
30.05.2014 04:15:00;   410
01.06.2014 02:00:00;   277
31.07.2014 20:45:00;   378
04.08.2014 06:30:00;   387
13.09.2014 23:30:00;   374
23.10.2014 20:15:00;   519
01.11.2014 05:15:00;   220
19.12.2014 09:30:00;   188
11.01.2015 15:45:00;   371
10.02.2015 19:30:00;   167
30.03.2015 17:45:00;   299
01.04.2015 01:45:00;   282
24.05.2015 02:30:00;   369
23.06.2015 15:00:00;   286
01.07.2015 12:30:00;   186
02.08.2015 19:45:00;   175
06.09.2015 20:15:00;   191
08.10.2015 10:15:00;   288
30.11.2015 22:30:00;   183
02.12.2015 04:45:00;   335
31.01.2016 23:59:55;   205
01.02.2016 14:30:00;   409
03.03.2016 20:45:00;   180
19.04.2016 17:30:00;   207
13.05.2016 22:30:00;   367
27.06.2016 14:15:00;   293
14.07.2016 13:30:00;   390
10.08.2016 17:00:00;   310
06.09.2016 23:45:00;   302
05.10.2016 01:00:00;   222
17.11.2016 09:30:00;   239
27.12.2016 10:15:00;   194
03.01.2017 19:45:00;   156
22.02.2017 00:00:00;   323
19.03.2017 15:00:00;   375
28.04.2017 23:00:00;   252
09.05.2017 07:15:00;   378
01.06.2017 01:00:00;   198
27.07.2017 08:30:00;   391
07.08.2017 00:30:00;   321
03.09.2017 15:15:00;   365
09.10.2017 19:45:00;   299
12.11.2017 14:30:00;   248
31.12.2017 11:45:00;   283
05.01.2018 06:00:00;   362
01.02.2018 00:00:00;   202
13.03.2018 02:00:00;   189
25.04.2018 00:30:00;   243
01.05.2018 01:30:00;   218
28.06.2018 18:15:00;   375
01.07.2018 00:00:00;   262
26.08.2018 11:30:00;   177
24.09.2018 13:00:00;   189
25.10.2018 13:45:00;   251
01.11.2018 13:30:00;   148
24.12.2018 14:30:00;   412
14.01.2019 09:30:00;   308
22.02.2019 20:00:00;   274
16.03.2019 10:15:00;   319
30.04.2019 23:15:00;   254
29.05.2019 19:45:00;   403
07.06.2019 04:45:00;   286
29.07.2019 11:30:00;   305
04.08.2019 09:15:00;   208
09.09.2019 14:00:00;   245
10.10.2019 15:45:00;   233
18.11.2019 11:15:00;   194
26.12.2019 01:45:00;   288
31.01.2020 21:15:00;   189
03.02.2020 21:30:00;   433
13.03.2020 16:00:00;   227
21.04.2020 06:00:00;   237
26.05.2020 02:30:00;   309
15.06.2020 23:45:00;   382
19.07.2020 01:45:00;   294
04.08.2020 14:45:00;   433
26.09.2020 19:00:00;   315
30.10.2020 16:00:00;   328
01.11.2020 01:00:00;   252
23.12.2020 04:30:00;   191
29.01.2021 06:45:00;   312
04.02.2021 07:30:00;   239
31.03.2021 23:59:55;   227
02.04.2021 05:45:00;   243
13.05.2021 18:00:00;   337
06.06.2021 08:45:00;   263
18.07.2021 21:15:00;   362
17.08.2021 01:45:00;   291
01.09.2021 08:45:00;   278
13.10.2021 12:00:00;   179
05.11.2021 01:00:00;   170
30.12.2021 12:00:00;   366
