Messstelle:                ;Achau (Pottendorfer Linie)
HZB-Nummer:                ;209031
HD-Nummer:                 ;no421
DBMS-Nummer:               ;3003045
Gewässer:                  ;Krottenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;27,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   30.09.2004              ;00174,75
   01.09.2019              ;00173,92
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   30.09.2004              ;752821,00 - 327864,00
Exportzeitreihe:           ;(3003045,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.2005 00:00,01.01.2022 00:00]
Werte:
21.01.2005 11:44:00;    46
12.02.2005 14:59:50;    56
19.03.2005 10:07:00;    48
18.04.2005 08:22:40;    40
19.05.2005 03:18:05;    46
04.06.2005 20:59:55;    62
25.07.2005 21:00:15;    93
06.08.2005 13:56:50;    38
10.09.2005 23:36:40;    77
06.10.2005 17:17:45;    24
21.11.2005 04:25:00;    24
06.12.2005 20:22:50;    59
15.01.2006 01:00:20;    21
23.02.2006 00:00:00;    26
29.03.2006 10:56:50;    67
27.04.2006 20:12:25;    79
27.05.2006 22:31:30;    79
23.06.2006 00:30:00;    99
08.07.2006 07:38:05;    40
03.08.2006 22:16:10;    68
08.09.2006 08:33:30;    42
29.10.2006 20:04:50;    40
22.11.2006 12:40:40;    29
09.12.2006 22:58:40;    27
19.01.2007 05:33:40;    63
16.02.2007 01:22:55;    54
24.03.2007 00:54:45;    68
13.04.2007 09:01:00;    32
05.05.2007 22:03:35;   111
21.06.2007 18:24:45;    49
28.07.2007 16:38:00;    62
09.08.2007 21:23:25;    66
07.09.2007 12:32:20;   105
28.10.2007 13:27:20;    63
11.11.2007 18:22:15;    62
12.12.2007 21:04:05;    52
28.01.2008 05:07:05;    56
29.02.2008 12:02:05;    24
01.03.2008 14:10:50;    46
21.04.2008 21:25:05;    78
20.05.2008 18:16:25;    65
05.06.2008 08:26:00;   104
07.07.2008 16:16:45;    96
16.08.2008 01:00:00;    64
25.09.2008 18:40:00;    57
16.10.2008 18:15:40;    66
21.11.2008 05:45:00;    76
05.12.2008 23:20:00;    41
23.01.2009 22:30:00;    56
08.02.2009 19:20:00;    52
30.03.2009 00:10:00;    77
01.04.2009 11:05:00;    42
30.05.2009 10:15:00;    76
23.06.2009 01:05:00;    94
06.07.2009 18:50:00;    87
10.08.2009 20:41:55;    92
