Messstelle:                ;Klausenleopoldsdorf
HZB-Nummer:                ;209478
HD-Nummer:                 ;no400
DBMS-Nummer:               ;3001163
Gewässer:                  ;Schwechat
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;56,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00369,53
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;726477,00 - 327740,00
Exportzeitreihe:           ;(3001163,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1982 01:00,01.01.2022 00:00]
Werte:
02.01.1982 05:00:00;   216
01.02.1982 00:00:00;   162
01.03.1982 11:00:00;   175
12.04.1982 19:00:00;   140
29.05.1982 08:00:00;   171
27.06.1982 19:00:00;   145
26.07.1982 18:00:00;   162
08.08.1982 22:00:00;   237
24.09.1982 04:00:00;   137
06.10.1982 20:00:00;   176
07.11.1982 08:00:00;   132
29.12.1982 13:00:00;   160
04.01.1983 15:00:00;   201
28.02.1983 02:00:00;   200
01.03.1983 00:00:00;   166
30.04.1983 05:00:00;   137
09.05.1983 14:00:00;   173
19.06.1983 22:00:00;   141
21.07.1983 02:00:00;   123
05.08.1983 18:00:00;   128
04.09.1983 02:00:00;   130
03.10.1983 14:00:00;   133
26.11.1983 19:00:00;   127
24.12.1983 16:00:00;   150
19.01.1984 10:00:00;   132
12.02.1984 11:00:00;   137
30.03.1984 20:00:00;   168
10.04.1984 05:00:00;   185
15.05.1984 05:00:00;   212
15.06.1984 08:00:00;   138
13.07.1984 22:00:00;   138
13.08.1984 02:00:00;   153
24.09.1984 09:00:00;   152
04.10.1984 07:00:00;   157
27.11.1984 11:00:00;   141
25.12.1984 11:00:00;   140
31.01.1985 00:01:00;   145
02.02.1985 04:00:00;   181
28.03.1985 07:00:00;   188
01.04.1985 00:00:00;   163
17.05.1985 16:00:00;   176
23.06.1985 09:00:00;   157
02.07.1985 14:00:00;   142
07.08.1985 15:00:00;   208
09.09.1985 17:00:00;   154
15.10.1985 19:00:00;   131
30.11.1985 23:59:55;   139
18.12.1985 13:00:00;   194
14.01.1986 22:30:00;   204
23.02.1986 11:00:00;   143
16.03.1986 18:15:00;   170
01.04.1986 00:00:00;   147
28.05.1986 22:45:00;   149
14.06.1986 07:15:00;   162
19.07.1986 14:00:00;   143
05.08.1986 06:30:00;   166
10.09.1986 13:45:00;   146
27.10.1986 11:15:00;   156
24.11.1986 09:15:00;   159
30.12.1986 01:00:00;   168
02.01.1987 08:15:00;   156
09.02.1987 03:15:00;   235
25.03.1987 16:30:00;   181
04.04.1987 19:00:00;   182
22.05.1987 13:15:00;   209
22.06.1987 09:45:00;   236
24.07.1987 00:00:00;   183
03.08.1987 08:30:00;   167
27.09.1987 14:15:00;   144
24.10.1987 06:15:00;   134
27.11.1987 16:30:00;   141
18.12.1987 16:00:00;   204
30.01.1988 16:15:00;   154
28.02.1988 00:45:00;   154
22.03.1988 16:45:00;   218
13.04.1988 22:15:00;   212
21.05.1988 01:45:00;   163
06.06.1988 08:00:00;   185
07.07.1988 21:15:00;   149
23.08.1988 20:00:00;   142
16.09.1988 12:45:00;   192
29.10.1988 22:30:00;   134
29.11.1988 23:45:00;   166
11.12.1988 02:15:00;   190
08.01.1989 21:15:00;   193
