Messstelle:                ;Trausdorf an der Wulka
HZB-Nummer:                ;210328
HD-Nummer:                 ;
DBMS-Nummer:               ;1001029
Gewässer:                  ;Wulka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;235,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1976              ;00145,25
   01.04.1992              ;00142,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.06.1976              ;767528,00 - 297565,00
   03.02.2012              ;767510,00 - 297589,00
   05.10.2018              ;767509,98 - 297558,51
Exportzeitreihe:           ;(1001029,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.06.1976 00:00,01.01.2022 00:00]
Werte:
30.06.1976 23:59:55;   147
26.07.1976 11:00:00;   155
21.08.1976 19:00:00;   159
01.09.1976 20:00:00;   179
17.10.1976 16:00:00;   164
15.11.1976 21:00:00;   153
03.12.1976 03:00:00;   190
30.01.1977 10:00:00;   167
11.02.1977 09:00:00;   174
04.03.1977 16:00:00;   170
09.04.1977 17:00:00;   169
14.05.1977 14:00:00;   171
14.06.1977 21:00:00;   186
21.07.1977 16:00:00;   169
19.08.1977 20:00:00;   178
09.09.1977 14:00:00;   160
31.10.1977 17:00:00;   154
07.11.1977 16:00:00;   155
05.12.1977 13:00:00;   152
30.01.1978 02:00:00;   162
26.02.1978 02:00:00;   164
17.03.1978 02:00:00;   164
04.04.1978 02:00:00;   162
14.05.1978 02:00:00;   167
25.06.1978 02:00:00;   184
21.07.1978 02:00:00;   166
31.08.1978 02:00:00;   164
01.09.1978 00:00:00;   164
26.10.1978 02:00:00;   167
30.11.1978 02:00:00;   168
10.12.1978 02:00:00;   169
25.01.1979 08:00:00;   167
17.02.1979 10:00:00;   186
30.03.1979 08:00:00;   167
07.04.1979 08:00:00;   220
03.05.1979 08:00:00;   224
19.06.1979 08:00:00;   204
31.07.1979 08:00:00;   213
01.08.1979 08:00:00;   238
24.09.1979 08:00:00;   188
31.10.1979 08:00:00;   171
20.11.1979 08:00:00;   211
25.12.1979 08:00:00;   181
28.01.1980 11:00:00;   174
05.02.1980 02:00:00;   178
30.03.1980 03:00:00;   171
22.04.1980 20:00:00;   181
08.05.1980 21:00:00;   183
24.06.1980 08:00:00;   217
07.07.1980 03:00:00;   181
08.08.1980 22:00:00;   190
10.09.1980 17:00:00;   173
13.10.1980 10:00:00;   204
27.11.1980 13:00:00;   185
20.12.1980 09:00:00;   181
06.01.1981 22:00:00;   181
24.02.1981 00:00:00;   173
22.03.1981 14:00:00;   177
27.04.1981 21:00:00;   180
30.05.1981 20:00:00;   200
24.06.1981 12:00:00;   216
19.07.1981 17:00:00;   182
17.08.1981 10:00:00;   184
29.09.1981 05:00:00;   202
23.10.1981 01:00:00;   208
28.11.1981 08:00:00;   177
29.12.1981 14:00:00;   178
02.01.1982 03:00:00;   201
24.02.1982 19:00:00;   172
19.03.1982 10:00:00;   186
12.04.1982 14:00:00;   172
11.05.1982 13:00:00;   193
23.06.1982 21:00:00;   217
22.07.1982 23:00:00;   188
05.08.1982 18:00:00;   284
24.09.1982 09:00:00;   184
02.10.1982 06:00:00;   261
14.11.1982 12:00:00;   205
19.12.1982 00:00:00;   223
06.01.1983 04:00:00;   208
28.02.1983 23:59:55;   195
01.03.1983 01:00:00;   195
12.04.1983 18:00:00;   192
23.05.1983 19:00:00;   209
03.06.1983 08:00:00;   187
29.07.1983 14:00:00;   179
03.08.1983 22:00:00;   186
04.09.1983 09:00:00;   186
17.10.1983 18:00:00;   174
28.11.1983 16:00:00;   177
01.12.1983 00:00:00;   174
31.01.1984 23:59:55;   178
27.02.1984 23:00:00;   180
30.03.1984 15:00:00;   180
04.04.1984 09:00:00;   198
15.05.1984 11:00:00;   189
29.06.1984 04:00:00;   191
16.07.1984 10:00:00;   194
10.08.1984 15:00:00;   192
24.09.1984 14:00:00;   197
05.10.1984 00:00:00;   185
18.11.1984 11:00:00;   189
03.12.1984 12:00:00;   179
24.01.1985 19:00:00;   175
03.02.1985 01:00:00;   182
23.03.1985 06:00:00;   223
01.04.1985 00:00:00;   188
07.05.1985 23:00:00;   208
08.06.1985 08:00:00;   226
16.07.1985 02:00:00;   216
07.08.1985 08:00:00;   229
09.09.1985 19:00:00;   207
31.10.1985 16:00:00;   156
02.11.1985 06:00:00;   171
13.12.1985 03:00:00;   194
15.01.1986 03:30:00;   187
01.02.1986 21:15:00;   168
11.03.1986 22:45:00;   200
29.04.1986 04:30:00;   185
20.05.1986 10:45:00;   184
29.06.1986 19:00:00;   203
19.07.1986 16:00:00;   198
05.08.1986 12:15:00;   205
10.09.1986 18:45:00;   192
27.10.1986 04:15:00;   174
24.11.1986 05:30:00;   210
19.12.1986 15:30:00;   174
