Messstelle:                ;Arzberg (Moderbach)
HZB-Nummer:                ;210955
HD-Nummer:                 ;ow4025
DBMS-Nummer:               ;6001046
Gewässer:                  ;Moderbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;82,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00570,68
   01.01.1982              ;00574,01
   01.01.1996              ;00575,18
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1972              ;687859,40 - 234915,40
   01.01.1996              ;687863,90 - 234887,70
   01.01.2018              ;687863,20 - 234887,40
Exportzeitreihe:           ;(6001046,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
12.01.1976 02:30:00;    59
27.02.1976 13:00:00;    36
01.03.1976 23:30:00;    43
24.04.1976 23:00:00;    50
13.05.1976 21:00:00;    34
02.06.1976 11:30:00;    27
27.07.1976 18:00:00;    41
27.08.1976 19:00:00;   117
10.09.1976 20:30:00;    48
31.10.1976 01:30:00;    81
01.11.1976 00:00:00;    39
02.12.1976 17:30:00;    64
29.01.1977 23:00:00;    32
11.02.1977 04:30:00;    47
03.03.1977 18:00:00;    38
09.04.1977 05:00:00;    31
14.05.1977 11:30:00;    34
11.06.1977 13:30:00;    52
20.07.1977 20:00:00;    75
13.08.1977 10:30:00;    32
12.09.1977 15:30:00;    29
01.10.1977 17:30:00;    23
13.11.1977 17:30:00;    25
06.12.1977 00:00:00;    26
06.01.1978 00:00:00;    30
15.02.1978 10:30:00;    32
02.03.1978 20:30:00;    41
15.04.1978 16:00:00;    30
22.05.1978 09:30:00;    29
24.06.1978 20:30:00;    57
19.07.1978 09:00:00;    71
05.08.1978 23:30:00;    33
30.09.1978 23:59:55;    28
01.10.1978 02:00:00;    28
01.11.1978 00:30:00;    23
01.12.1978 00:00:00;    22
19.01.1979 01:30:00;    38
17.02.1979 02:00:00;    56
17.03.1979 00:30:00;    74
06.04.1979 12:30:00;    45
06.05.1979 19:30:00;    47
30.06.1979 12:30:00;    35
03.07.1979 19:30:00;    53
03.08.1979 18:00:00;   240
24.09.1979 12:00:00;   110
31.10.1979 13:00:00;    62
19.11.1979 12:00:00;    76
01.12.1979 00:00:00;    61
01.01.1980 00:00:00;    58
05.02.1980 09:00:00;    58
30.03.1980 08:00:00;    62
01.04.1980 00:30:00;    58
08.05.1980 08:30:00;    56
30.06.1980 08:00:00;    63
01.07.1980 00:00:00;    63
31.08.1980 08:00:00;    69
01.09.1980 00:00:00;    69
13.10.1980 08:00:00;   122
07.11.1980 08:30:00;    52
09.12.1980 08:30:00;    47
01.01.1981 00:00:00;    44
08.02.1981 02:00:00;    44
12.03.1981 02:00:00;    48
10.04.1981 02:00:00;    44
17.05.1981 02:00:00;    47
24.06.1981 02:00:00;    46
19.07.1981 02:00:00;    59
03.08.1981 02:00:00;    48
29.09.1981 02:00:00;    60
26.10.1981 02:00:00;    57
01.11.1981 00:30:00;    48
01.12.1981 00:00:00;    42
02.01.1982 08:00:00;    68
01.02.1982 00:00:00;    57
29.03.1982 15:00:00;    46
07.04.1982 20:00:00;    47
29.05.1982 03:30:00;    60
27.06.1982 14:30:00;    65
25.07.1982 03:00:00;   207
07.08.1982 15:00:00;   206
23.09.1982 23:00:00;    79
06.10.1982 16:00:00;   226
29.11.1982 23:30:00;    62
10.12.1982 23:30:00;    71
17.01.1983 20:30:00;    86
01.02.1983 01:30:00;    61
09.03.1983 01:30:00;    60
04.04.1983 08:30:00;    56
24.05.1983 16:00:00;    66
04.06.1983 18:30:00;    66
01.07.1983 05:00:00;    52
10.08.1983 16:30:00;    70
17.09.1983 06:30:00;    72
17.10.1983 15:00:00;    60
20.11.1983 21:30:00;    54
02.12.1983 00:00:00;    56
02.01.1984 07:30:00;    52
04.02.1984 00:01:00;    49
30.03.1984 06:00:00;    63
03.04.1984 02:30:00;    89
06.05.1984 21:30:00;    69
21.06.1984 22:00:00;    77
15.07.1984 18:00:00;    60
07.08.1984 23:30:00;    74
24.09.1984 06:30:00;    80
04.10.1984 02:00:00;    93
01.11.1984 21:00:00;    56
20.12.1984 13:30:00;    52
31.01.1985 12:00:00;    54
02.02.1985 12:00:00;    92
22.03.1985 06:30:00;    92
02.04.1985 15:30:00;    73
08.05.1985 13:00:00;   123
08.06.1985 23:30:00;    72
21.07.1985 01:00:00;    77
07.08.1985 04:30:00;   128
04.09.1985 19:30:00;    54
31.10.1985 12:30:00;    47
06.11.1985 05:30:00;    51
30.12.1985 00:00:00;    49
18.01.1986 10:00:00;    55
18.02.1986 11:30:00;    49
28.03.1986 16:45:00;    71
09.04.1986 14:45:00;    72
30.05.1986 00:15:00;    84
14.06.1986 06:15:00;    73
04.07.1986 22:00:00;   126
28.08.1986 17:45:00;    93
10.09.1986 13:00:00;    63
19.10.1986 21:45:00;    49
24.11.1986 01:30:00;    53
18.12.1986 10:00:00;    55
02.01.1987 18:00:00;    48
20.02.1987 22:30:00;    92
28.03.1987 21:00:00;    71
05.04.1987 15:00:00;    69
04.05.1987 19:45:00;    67
16.06.1987 00:45:00;    60
03.07.1987 15:00:00;    85
05.08.1987 02:00:00;    46
06.09.1987 02:00:00;    38
24.10.1987 01:30:00;    36
25.11.1987 02:00:00;    45
01.12.1987 00:00:00;    42
30.01.1988 07:30:00;    41
01.02.1988 00:00:00;    33
31.03.1988 17:30:00;    35
10.04.1988 14:00:00;    38
27.05.1988 14:00:00;    58
06.06.1988 05:45:00;   115
27.07.1988 22:00:00;    60
15.08.1988 17:45:00;    86
13.09.1988 16:15:00;    58
08.10.1988 02:00:00;    33
23.11.1988 07:00:00;    36
02.12.1988 14:45:00;    43
20.01.1989 09:30:00;    28
25.02.1989 19:00:00;    48
01.03.1989 00:00:00;    30
15.04.1989 12:15:00;    40
20.05.1989 13:15:00;    39
27.06.1989 20:00:00;   130
11.07.1989 23:15:00;   203
