Messstelle:                ;St. Peter-Freienstein
HZB-Nummer:                ;211193
HD-Nummer:                 ;ow2705
DBMS-Nummer:               ;6001069
Gewässer:                  ;Vordernberger Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;167,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00571,35
   01.01.1979              ;00595,02
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1953              ;00000,00 - 00000,00
   01.01.1979              ;651919,10 - 251410,90
   01.01.2018              ;651923,60 - 251429,40
Exportzeitreihe:           ;(6001069,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
12.01.1976 06:00:00;    72
26.02.1976 16:00:00;    41
01.03.1976 18:00:00;    43
06.04.1976 21:00:00;    65
08.05.1976 16:00:00;    70
03.06.1976 10:00:00;    64
31.07.1976 15:00:00;    62
05.08.1976 12:00:00;    56
30.09.1976 11:00:00;    56
17.10.1976 03:00:00;    47
01.11.1976 00:00:00;    39
02.12.1976 20:00:00;    42
30.01.1977 00:00:00;    39
28.02.1977 00:00:00;    50
05.03.1977 10:00:00;    85
30.04.1977 23:59:55;    74
07.05.1977 04:00:00;    78
06.06.1977 17:00:00;    56
21.07.1977 09:00:00;    49
01.08.1977 16:00:00;    73
09.09.1977 06:00:00;    44
10.10.1977 22:00:00;    40
02.11.1977 09:00:00;    39
26.12.1977 00:00:00;    37
01.01.1978 00:00:00;    35
27.02.1978 16:00:00;    40
31.03.1978 23:59:55;    43
30.04.1978 21:00:00;    56
23.05.1978 13:00:00;    65
24.06.1978 21:00:00;    66
05.07.1978 14:00:00;    64
04.08.1978 02:00:00;    49
29.09.1978 21:00:00;    50
05.10.1978 08:00:00;    49
06.11.1978 05:00:00;    43
10.12.1978 15:00:00;    40
28.01.1979 18:00:00;    38
16.02.1979 22:00:00;    39
16.03.1979 20:00:00;    52
17.04.1979 15:00:00;    56
21.05.1979 10:00:00;    78
09.06.1979 16:00:00;    51
13.07.1979 11:00:00;    50
03.08.1979 13:00:00;    62
24.09.1979 08:00:00;    53
19.10.1979 02:00:00;    33
29.11.1979 17:00:00;    45
02.12.1979 09:00:00;    44
02.01.1980 16:00:00;    32
06.02.1980 18:00:00;    30
29.03.1980 22:00:00;    36
19.04.1980 17:00:00;    49
30.05.1980 19:00:00;    59
06.06.1980 22:00:00;    59
04.07.1980 08:00:00;    47
05.08.1980 19:00:00;    49
01.09.1980 16:00:00;    37
13.10.1980 01:00:00;    48
03.11.1980 17:00:00;    36
24.12.1980 16:00:00;    34
08.01.1981 10:30:00;    44
08.02.1981 15:30:00;    35
13.03.1981 15:30:00;    58
02.04.1981 03:30:00;    59
23.05.1981 01:00:00;    58
24.06.1981 13:00:00;    45
21.07.1981 01:00:00;    76
03.08.1981 19:30:00;    61
29.09.1981 09:00:00;    48
22.10.1981 17:30:00;    51
24.11.1981 12:00:00;    41
01.12.1981 15:30:00;    38
31.01.1982 15:30:00;    46
01.02.1982 00:00:00;    40
30.03.1982 14:30:00;    40
09.04.1982 10:30:00;    56
16.05.1982 22:30:00;    70
27.06.1982 15:00:00;    78
01.07.1982 19:00:00;    53
13.08.1982 18:00:00;    83
21.09.1982 18:30:00;    60
06.10.1982 20:30:00;    65
13.11.1982 04:00:00;    47
17.12.1982 11:30:00;    45
30.01.1983 20:30:00;    55
01.02.1983 00:00:00;    55
22.03.1983 09:30:00;    50
27.04.1983 22:00:00;    70
02.05.1983 00:00:00;    66
02.06.1983 18:30:00;    58
01.07.1983 22:00:00;    45
29.08.1983 15:00:00;    71
17.09.1983 04:30:00;    56
18.10.1983 14:00:00;    38
27.11.1983 20:30:00;    38
03.12.1983 15:00:00;    40
23.01.1984 11:00:00;    40
20.02.1984 11:00:00;    33
30.03.1984 01:00:00;    43
27.04.1984 00:30:00;    55
07.05.1984 19:00:00;    81
04.06.1984 12:00:00;    55
26.07.1984 05:30:00;    49
10.08.1984 04:00:00;    61
23.09.1984 13:00:00;    57
02.10.1984 13:30:00;    80
09.11.1984 10:30:00;    33
11.12.1984 10:30:00;    34
24.01.1985 17:00:00;    25
02.02.1985 16:30:00;    47
23.03.1985 14:30:00;    35
10.04.1985 10:30:00;    48
15.05.1985 06:00:00;    81
05.06.1985 19:00:00;    62
15.07.1985 18:00:00;    82
06.08.1985 22:00:00;    92
01.09.1985 23:00:00;    53
31.10.1985 19:30:00;    40
02.11.1985 00:00:00;    40
21.12.1985 07:00:00;    39
07.01.1986 14:00:00;    36
01.02.1986 15:45:00;    32
30.03.1986 11:30:00;    41
28.04.1986 18:00:00;    88
01.05.1986 00:00:00;    88
11.06.1986 05:00:00;    59
24.07.1986 09:45:00;    48
10.08.1986 18:00:00;    51
10.09.1986 13:15:00;    57
23.10.1986 21:15:00;    33
23.11.1986 21:30:00;    41
26.12.1986 15:15:00;    32
13.01.1987 11:30:00;    57
15.02.1987 03:30:00;    39
28.03.1987 21:15:00;    48
28.04.1987 20:15:00;    73
04.05.1987 20:00:00;    85
09.06.1987 08:15:00;    69
01.07.1987 23:30:00;    77
10.08.1987 02:00:00;    55
27.09.1987 12:00:00;    46
12.10.1987 03:45:00;    34
22.11.1987 14:00:00;    36
19.12.1987 15:15:00;    50
01.01.1988 00:00:00;    38
01.02.1988 00:00:00;    33
26.03.1988 17:00:00;    39
21.04.1988 00:45:00;    65
17.05.1988 23:30:00;    66
06.06.1988 07:00:00;    62
08.07.1988 14:00:00;    61
03.08.1988 15:30:00;    60
02.09.1988 17:00:00;    51
26.10.1988 03:15:00;    39
16.11.1988 11:45:00;    37
05.12.1988 04:30:00;    43
08.01.1989 21:00:00;    44
21.02.1989 07:45:00;    52
31.03.1989 15:45:00;    61
01.04.1989 18:30:00;    67
17.05.1989 14:45:00;    63
18.06.1989 07:15:00;    73
26.07.1989 08:15:00;    92
19.08.1989 16:45:00;    80
28.09.1989 02:30:00;    72
01.10.1989 13:15:00;    66
06.11.1989 08:30:00;    54
01.12.1989 00:00:00;    37
30.01.1990 12:30:00;    37
27.02.1990 16:45:00;    50
11.03.1990 01:45:00;    68
22.04.1990 11:15:00;    57
25.05.1990 15:30:00;    77
28.06.1990 16:15:00;    75
12.07.1990 08:15:00;    67
08.08.1990 02:45:00;    44
20.09.1990 21:00:00;    50
27.10.1990 19:15:00;    46
01.11.1990 09:30:00;    44
10.12.1990 11:15:00;    40
05.01.1991 16:30:00;    35
24.02.1991 14:15:00;    45
26.03.1991 01:00:00;    52
01.04.1991 00:15:00;    40
11.05.1991 10:30:00;    70
10.06.1991 17:15:00;    69
31.07.1991 21:45:00;    85
03.08.1991 23:00:00;   106
20.09.1991 18:30:00;    46
08.10.1991 16:30:00;    40
24.11.1991 17:45:00;    40
23.12.1991 07:30:00;    58
18.01.1992 13:00:00;    38
06.02.1992 05:15:00;    42
25.03.1992 12:00:00;    48
27.04.1992 19:00:00;    77
05.05.1992 18:30:00;    72
24.06.1992 16:30:00;    70
10.07.1992 00:30:00;    46
04.08.1992 14:00:00;    50
29.09.1992 18:00:00;    49
05.10.1992 22:00:00;    76
23.11.1992 09:00:00;    82
03.12.1992 22:00:00;    61
09.01.1993 05:00:00;    45
01.02.1993 22:30:00;    35
23.03.1993 21:15:00;    42
27.04.1993 13:15:00;    71
03.05.1993 14:00:00;    66
06.06.1993 16:45:00;    91
20.07.1993 16:45:00;    89
25.08.1993 03:30:00;    55
26.09.1993 09:00:00;    52
24.10.1993 00:30:00;    75
01.11.1993 00:00:00;    44
21.12.1993 17:00:00;    34
18.01.1994 14:00:00;    35
01.02.1994 00:00:00;    33
25.03.1994 20:30:00;    57
29.04.1994 22:00:00;    55
05.05.1994 03:45:00;    59
04.06.1994 05:30:00;    50
07.07.1994 03:00:00;    48
17.08.1994 16:15:00;    75
14.09.1994 23:00:00;    39
25.10.1994 01:30:00;    33
22.11.1994 09:30:00;    45
11.12.1994 06:45:00;    37
03.01.1995 09:15:00;    30
05.02.1995 12:00:00;    33
27.03.1995 18:15:00;    36
25.04.1995 11:45:00;    78
07.05.1995 23:30:00;    69
27.06.1995 04:30:00;    56
28.07.1995 01:15:00;    72
19.08.1995 18:30:00;    45
03.09.1995 18:00:00;    54
01.10.1995 05:45:00;    36
17.11.1995 22:15:00;    35
28.12.1995 00:15:00;    31
01.01.1996 10:15:00;    32
19.02.1996 19:00:00;    26
27.03.1996 22:00:00;    32
30.04.1996 23:59:55;    64
25.05.1996 18:15:00;    90
29.06.1996 23:15:00;    56
27.07.1996 20:45:00;    59
22.08.1996 17:30:00;    65
12.09.1996 18:30:00;    69
22.10.1996 00:30:00;    90
14.11.1996 11:45:00;    61
01.12.1996 02:30:00;    41
03.01.1997 20:09:20;    32
13.02.1997 17:31:25;    36
17.03.1997 19:27:30;    64
30.04.1997 23:59:55;    58
07.05.1997 00:17:50;    82
23.06.1997 05:50:45;    76
29.07.1997 07:13:35;   101
01.08.1997 02:15:50;   100
04.09.1997 17:14:05;    81
02.10.1997 21:45:35;    49
08.11.1997 08:45:25;    33
13.12.1997 08:05:00;    32
01.01.1998 12:22:25;    30
17.02.1998 12:45:45;    32
17.03.1998 19:29:25;    42
29.04.1998 15:19:45;    60
12.05.1998 13:56:15;    60
03.06.1998 23:01:20;    59
31.07.1998 21:24:30;    78
01.08.1998 00:00:00;    55
03.09.1998 22:34:35;    71
08.10.1998 19:16:10;    73
05.11.1998 11:09:40;    46
16.12.1998 18:37:35;    45
10.01.1999 09:13:45;    36
05.02.1999 13:59:50;    35
30.03.1999 14:05:15;    45
27.04.1999 17:40:45;    63
08.05.1999 19:50:00;    69
21.06.1999 15:08:35;    60
22.07.1999 14:56:10;    93
16.08.1999 22:50:35;    81
07.09.1999 16:11:30;    59
04.10.1999 04:56:30;    52
02.11.1999 08:46:45;    34
12.12.1999 22:16:00;    31
31.01.2000 17:09:25;    39
09.02.2000 13:59:50;    39
10.03.2000 03:31:15;    70
22.04.2000 19:31:15;    94
12.05.2000 23:58:25;    78
06.06.2000 15:40:50;    61
07.07.2000 17:45:50;    64
06.08.2000 05:15:35;    71
16.09.2000 18:22:55;    59
11.10.2000 01:54:20;    41
04.11.2000 18:21:25;    48
11.12.2000 11:35:00;    40
08.01.2001 05:41:05;    43
08.02.2001 17:44:55;    31
25.03.2001 17:07:40;    58
30.04.2001 23:59:55;    50
06.05.2001 08:18:20;    60
11.06.2001 13:05:20;    53
20.07.2001 09:31:45;    61
10.08.2001 15:56:35;    49
14.09.2001 23:11:20;    49
01.10.2001 04:29:00;    32
10.11.2001 12:40:25;    24
06.12.2001 20:48:15;    27
28.01.2002 18:27:00;    31
07.02.2002 11:23:55;    33
22.03.2002 03:17:05;    70
27.04.2002 08:53:10;    51
12.05.2002 19:17:35;    59
06.06.2002 18:01:30;    72
16.07.2002 07:05:55;    60
12.08.2002 08:47:55;    93
04.09.2002 11:03:15;    38
17.10.2002 20:03:55;    47
22.11.2002 17:59:20;    47
07.12.2002 18:05:50;    45
01.01.2003 00:00:00;    36
01.02.2003 00:55:45;    28
31.03.2003 13:45:40;    33
30.04.2003 18:05:10;    48
01.05.2003 05:07:00;    48
14.06.2003 21:38:55;    59
17.07.2003 19:53:55;    62
31.08.2003 10:08:00;    31
10.09.2003 09:53:00;    28
05.10.2003 13:38:00;    50
28.11.2003 22:33:35;    42
01.12.2003 08:06:30;    28
14.01.2004 15:06:10;    23
03.02.2004 14:03:20;    42
21.03.2004 23:56:05;    54
24.04.2004 18:18:35;    58
31.05.2004 18:21:15;    67
23.06.2004 22:45:15;    78
06.07.2004 12:55:30;    70
29.08.2004 20:16:55;    90
01.09.2004 00:00:00;    47
01.10.2004 18:55:30;    38
23.11.2004 21:21:50;    38
27.12.2004 12:36:55;    34
21.01.2005 06:50:55;    40
13.02.2005 17:44:30;    25
19.03.2005 17:31:20;    79
19.04.2005 22:45:00;    76
22.05.2005 19:15:00;    76
04.06.2005 15:45:00;    69
18.07.2005 17:15:00;    72
21.08.2005 14:30:00;   109
16.09.2005 23:00:00;    52
04.10.2005 11:00:00;    53
02.11.2005 08:15:00;    34
16.12.2005 19:15:00;    30
02.01.2006 10:00:00;    27
21.02.2006 15:45:00;    28
29.03.2006 03:30:00;    52
28.04.2006 17:15:00;    74
20.05.2006 07:00:00;    73
29.06.2006 06:15:00;    90
13.07.2006 14:15:00;    85
08.08.2006 06:30:00;    91
07.09.2006 19:45:00;    58
04.10.2006 02:30:00;    42
15.11.2006 21:00:00;    50
07.12.2006 09:00:00;    38
19.01.2007 21:43:00;    58
26.02.2007 01:28:00;    37
19.03.2007 05:58:00;    49
13.04.2007 21:28:00;    53
11.05.2007 19:28:00;    43
11.06.2007 18:43:00;    80
08.07.2007 18:43:00;    76
30.08.2007 08:28:00;    41
07.09.2007 09:58:00;    90
28.10.2007 11:43:00;    48
11.11.2007 22:43:00;    44
08.12.2007 03:43:00;    42
27.01.2008 23:28:00;    39
29.02.2008 23:33:00;    40
04.03.2008 07:03:00;    51
21.04.2008 19:33:00;    64
20.05.2008 16:18:00;    64
23.06.2008 21:03:00;    59
20.07.2008 21:03:00;    84
16.08.2008 04:18:00;    73
12.09.2008 15:18:00;    65
03.10.2008 20:48:00;    37
21.11.2008 17:33:00;    33
22.12.2008 02:03:00;    39
01.01.2009 22:33:00;    29
28.02.2009 16:03:00;    31
29.03.2009 21:18:00;    41
10.04.2009 08:48:00;    85
22.05.2009 16:18:00;    79
29.06.2009 07:40:00;    68
15.07.2009 18:10:00;    85
08.08.2009 18:25:00;    57
04.09.2009 18:20:00;    60
10.10.2009 21:05:00;    56
01.11.2009 00:50:00;    47
25.12.2009 17:20:00;    44
01.01.2010 08:35:00;    31
26.02.2010 15:35:00;    29
27.03.2010 01:35:00;    45
26.04.2010 16:05:00;    46
22.05.2010 23:29:00;    63
16.06.2010 10:29:00;    67
17.07.2010 23:00:00;    99
31.08.2010 23:45:00;    80
01.09.2010 08:00:00;    96
25.10.2010 05:23:00;    39
19.11.2010 10:53:00;    41
24.12.2010 23:08:00;    37
14.01.2011 14:53:00;    50
12.02.2011 08:53:00;    40
27.03.2011 21:56:00;    40
08.04.2011 19:56:00;    47
21.05.2011 13:11:00;    49
23.06.2011 18:11:00;    76
07.07.2011 18:26:00;    55
03.08.2011 21:11:00;    50
19.09.2011 17:26:00;    57
11.10.2011 04:26:00;    54
01.11.2011 08:26:00;    34
17.12.2011 00:11:00;    32
20.01.2012 07:11:00;    30
29.02.2012 12:56:00;    57
30.03.2012 10:07:00;    78
29.04.2012 22:07:00;    78
01.05.2012 17:07:00;    78
21.06.2012 17:22:00;   104
21.07.2012 02:37:00;   107
04.08.2012 23:07:00;    68
13.09.2012 00:37:00;    63
16.10.2012 06:52:00;    44
05.11.2012 08:37:00;    57
22.12.2012 09:30:00;    35
05.01.2013 10:22:00;    67
13.02.2013 16:55:00;    42
10.03.2013 12:10:00;    51
19.04.2013 22:10:00;    76
08.05.2013 09:25:00;    77
02.06.2013 23:55:00;    67
07.07.2013 17:55:00;    51
04.08.2013 19:55:00;    64
16.09.2013 22:10:00;    44
11.10.2013 14:25:00;    47
24.11.2013 02:55:15;    46
27.12.2013 01:40:15;    36
05.01.2014 14:25:15;    36
22.02.2014 12:52:35;    40
17.03.2014 15:22:35;    51
30.04.2014 16:37:35;    55
16.05.2014 13:07:35;    90
01.06.2014 05:07:35;    53
27.07.2014 15:37:35;    45
31.08.2014 16:52:35;    52
13.09.2014 07:22:35;    65
21.10.2014 20:22:35;    54
08.11.2014 06:07:35;    44
