Messstelle:                ;Presseggen-See
HZB-Nummer:                ;212746
HD-Nummer:                 ;00404
DBMS-Nummer:               ;2001037
Gewässer:                  ;Pressegger See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;29,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1931              ;00559,69
   01.01.1940              ;00558,69
   01.01.1948              ;00558,31
   06.12.1965              ;00558,78
   01.01.1997              ;00558,78
   06.10.2009              ;00558,77
   01.01.2010              ;00558,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1931              ;457848,55 - 165470,99
   01.01.1997              ;457893,00 - 165345,00
   01.01.2010              ;458088,00 - 165459,00
Exportzeitreihe:           ;(2001037,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 02:00,01.01.2022 00:00]
Werte:
01.01.1976 02:00:00;   109
29.02.1976 23:59:55;   106
29.03.1976 10:00:00;   112
01.04.1976 00:00:00;   112
28.05.1976 08:00:00;   118
01.06.1976 00:00:00;   116
20.07.1976 10:00:00;   107
04.08.1976 08:00:00;   115
15.09.1976 08:00:00;   138
31.10.1976 08:00:00;   130
09.11.1976 08:00:00;   132
03.12.1976 08:00:00;   110
13.01.1977 08:00:00;   110
27.02.1977 08:00:00;   140
01.03.1977 00:00:00;   140
09.04.1977 08:00:00;   142
15.05.1977 08:00:00;   130
18.06.1977 08:00:00;   107
27.07.1977 08:00:00;   116
25.08.1977 10:00:00;   120
01.09.1977 00:00:00;   119
01.10.1977 00:00:00;   103
14.11.1977 08:00:00;   102
01.12.1977 00:00:00;   100
13.01.1978 08:00:00;   100
27.02.1978 10:00:00;   105
18.03.1978 08:00:00;   120
17.04.1978 08:00:00;   115
23.05.1978 08:00:00;   120
28.06.1978 08:00:00;   123
20.07.1978 08:00:00;   140
01.08.1978 00:00:00;   126
01.09.1978 00:00:00;   110
05.10.1978 08:00:00;   158
01.11.1978 00:00:00;   100
01.12.1978 00:00:00;    96
30.01.1979 08:00:00;   133
01.02.1979 00:00:00;   128
20.03.1979 10:00:00;   134
27.04.1979 08:00:00;   136
05.05.1979 08:00:00;   139
18.06.1979 08:00:00;   129
04.07.1979 08:00:00;   134
06.08.1979 08:00:00;   118
25.09.1979 08:00:00;   116
16.10.1979 08:00:00;   150
15.11.1979 08:00:00;   113
23.12.1979 08:00:00;    96
01.01.1980 00:00:00;    91
02.02.1980 08:00:00;    90
