Messstelle:                ;Vorderberg-Grabenausgang
HZB-Nummer:                ;217232
HD-Nummer:                 ;01892
DBMS-Nummer:               ;2002618
Gewässer:                  ;Vorderberger Wildbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;25,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2012              ;00591,10
   01.08.2012              ;00591,20
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.12.2012              ;464274,00 - 160929,00
Exportzeitreihe:           ;(2002618,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.10.2014 05:15,01.01.2022 00:00]
Werte:
13.10.2014 23:15:00;   111
08.11.2014 09:45:00;   128
01.12.2014 13:30:00;   126
17.01.2015 18:30:00;   119
03.02.2015 08:30:00;   111
26.03.2015 22:00:00;   111
15.04.2015 17:15:00;   111
23.05.2015 04:45:00;   117
23.06.2015 21:45:00;   123
02.07.2015 20:45:00;   135
02.08.2015 10:30:00;   122
23.09.2015 23:45:00;   125
15.10.2015 06:00:00;   130
01.11.2015 00:00:00;   108
02.12.2015 02:00:00;   107
11.01.2016 17:15:00;   118
09.02.2016 23:30:00;   108
31.03.2016 17:45:00;   114
05.04.2016 18:00:00;   124
12.05.2016 11:15:00;   119
17.06.2016 02:45:00;   133
14.07.2016 11:30:00;   173
10.08.2016 10:15:00;   132
17.09.2016 10:45:00;   125
22.10.2016 00:45:00;   147
19.11.2016 13:30:00;   146
01.12.2016 03:15:00;   111
13.01.2017 14:30:00;   108
03.02.2017 18:45:00;   108
20.03.2017 19:30:00;   114
28.04.2017 03:15:00;   142
01.05.2017 05:45:00;   118
25.06.2017 12:15:00;   117
24.07.2017 19:45:00;   134
20.08.2017 03:00:00;   136
12.09.2017 16:15:00;   135
01.10.2017 00:00:00;   112
25.11.2017 23:00:00;   114
12.12.2017 05:45:00;   152
09.01.2018 15:45:00;   116
01.02.2018 00:15:00;   105
31.03.2018 18:00:00;   118
26.04.2018 20:00:00;   137
05.05.2018 19:30:00;   127
19.06.2018 10:30:00;   118
22.07.2018 01:30:00;   113
26.08.2018 08:45:00;   121
01.09.2018 09:15:00;   122
29.10.2018 21:45:00;   140
02.11.2018 20:15:00;   121
03.12.2018 20:30:00;   110
01.01.2019 00:00:00;   106
02.02.2019 09:15:00;   122
07.03.2019 15:30:00;   111
05.04.2019 13:45:00;   128
29.05.2019 05:45:00;   123
01.06.2019 10:30:00;   115
03.07.2019 16:15:00;   113
29.08.2019 20:15:00;   116
09.09.2019 03:15:00;   130
02.10.2019 15:30:00;   113
17.11.2019 23:00:00;   157
21.12.2019 13:45:00;   129
01.01.2020 00:00:00;   111
04.02.2020 09:15:00;   108
03.03.2020 01:15:00;   111
29.04.2020 17:15:00;   121
15.05.2020 23:30:00;   128
05.06.2020 07:30:00;   119
24.07.2020 20:15:00;   131
30.08.2020 14:45:00;   160
01.09.2020 01:00:00;   132
05.10.2020 05:45:00;   140
01.11.2020 00:00:00;   112
06.12.2020 13:45:00;   130
23.01.2021 09:45:00;   111
07.02.2021 23:00:00;   115
31.03.2021 20:00:00;   109
03.04.2021 00:30:00;   111
17.05.2021 08:45:00;   143
25.06.2021 00:15:00;   118
26.07.2021 19:30:00;   113
01.08.2021 14:00:00;   121
20.09.2021 02:15:00;   118
06.10.2021 16:00:00;   111
04.11.2021 05:30:00;   116
09.12.2021 18:15:00;   119
