Messstelle:                ;Knotzberg
HZB-Nummer:                ;206177
HD-Nummer:                 ;3760
DBMS-Nummer:               ;4001159
Gewässer:                  ;Leitenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;48,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00439,00
   01.01.1989              ;00417,98
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;481940,00 - 359390,00
   01.04.2020              ;481940,00 - 359405,00
Exportzeitreihe:           ;(4001159,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[29.06.1976 16:00,01.01.2022 00:00]
Werte:
29.06.1976 22:00:00;   131
08.07.1976 01:00:00;   130
26.08.1976 16:00:00;   131
14.09.1976 13:00:00;   130
07.10.1976 13:00:00;   131
07.11.1976 19:00:00;   132
31.12.1976 13:00:00;   136
20.01.1977 00:00:00;   133
04.02.1977 18:00:00;   140
27.03.1977 11:00:00;   139
07.04.1977 01:00:00;   139
29.05.1977 17:00:00;   133
18.06.1977 23:00:00;   133
13.07.1977 10:00:00;   137
05.08.1977 14:00:00;   137
25.09.1977 12:00:00;   137
15.10.1977 10:00:00;   137
01.11.1977 11:00:00;   139
23.12.1977 15:00:00;   138
24.01.1978 04:00:00;   135
25.02.1978 12:00:00;   133
19.03.1978 11:00:00;   144
30.04.1978 06:00:00;   134
05.05.1978 23:00:00;   134
15.06.1978 19:00:00;   134
03.07.1978 06:00:00;   137
27.08.1978 10:00:00;   140
21.09.1978 20:00:00;   142
16.10.1978 04:00:00;   145
19.11.1978 16:00:00;   142
05.12.1978 23:00:00;   140
14.01.1979 13:00:00;   138
01.02.1979 12:00:00;   142
02.03.1979 12:00:00;   143
27.04.1979 14:00:00;   155
28.05.1979 23:00:00;   139
09.06.1979 16:00:00;   136
26.07.1979 17:00:00;   142
31.08.1979 19:00:00;   147
21.09.1979 04:00:00;   145
13.10.1979 01:00:00;   143
01.11.1979 00:00:00;   145
31.12.1979 23:59:55;   150
27.01.1980 18:00:00;   144
29.02.1980 15:00:00;   146
25.03.1980 23:00:00;   142
19.04.1980 02:00:00;   147
26.05.1980 20:00:00;   144
13.06.1980 18:00:00;   142
31.07.1980 16:00:00;   151
11.08.1980 17:00:00;   145
30.09.1980 01:00:00;   142
05.10.1980 00:00:00;   141
03.11.1980 12:00:00;   142
04.12.1980 03:00:00;   146
30.01.1981 11:00:00;   144
03.02.1981 13:00:00;   145
01.03.1981 18:00:00;   147
26.04.1981 11:00:00;   140
21.05.1981 07:00:00;   138
03.06.1981 17:00:00;   137
02.07.1981 17:00:00;   140
08.08.1981 21:00:00;   143
05.09.1981 14:00:00;   141
06.10.1981 11:00:00;   152
26.11.1981 16:00:00;   161
30.12.1981 14:00:00;   158
17.01.1982 23:00:00;   148
28.02.1982 11:00:00;   151
01.03.1982 06:00:00;   151
28.04.1982 07:00:00;   146
28.05.1982 01:00:00;   139
11.06.1982 18:00:00;   137
07.07.1982 19:00:00;   140
04.08.1982 03:00:00;   141
30.09.1982 21:00:00;   141
30.10.1982 06:00:00;   131
16.11.1982 12:00:00;   129
06.12.1982 18:00:00;   129
02.01.1983 19:00:00;   137
22.02.1983 02:00:00;   133
18.03.1983 14:00:00;   141
30.04.1983 06:00:00;   138
31.05.1983 10:00:00;   135
26.06.1983 18:00:00;   130
16.07.1983 17:00:00;   132
23.08.1983 11:00:00;   133
29.09.1983 12:00:00;   128
31.10.1983 17:00:00;   128
14.11.1983 00:00:00;   126
20.12.1983 08:00:00;   129
03.01.1984 15:15:00;   134
03.02.1984 10:00:00;   134
24.03.1984 11:00:00;   134
30.04.1984 08:45:00;   133
20.05.1984 15:00:00;   131
20.06.1984 18:15:00;   128
12.07.1984 13:45:00;   127
04.08.1984 17:45:00;   133
01.09.1984 09:00:00;   138
29.10.1984 12:30:00;   137
19.11.1984 12:00:00;   135
31.12.1984 00:00:05;   135
22.01.1985 14:15:00;   133
24.02.1985 13:00:00;   134
01.03.1985 15:15:00;   139
22.04.1985 11:00:00;   136
28.05.1985 12:15:00;   134
06.06.1985 12:00:00;   133
13.07.1985 16:45:00;   141
16.08.1985 17:45:00;   145
28.09.1985 22:15:00;   147
14.10.1985 12:00:00;   145
04.11.1985 12:15:00;   144
26.12.1985 00:30:00;   148
10.01.1986 02:00:00;   141
22.02.1986 00:45:00;   135
05.03.1986 10:30:00;   137
17.04.1986 12:15:00;   135
23.05.1986 16:15:00;   131
27.06.1986 18:00:00;   132
30.07.1986 16:45:00;   130
03.08.1986 08:45:00;   130
29.09.1986 23:15:00;   131
14.10.1986 14:45:00;   129
18.11.1986 15:45:00;   130
10.12.1986 17:15:00;   131
28.01.1987 00:01:00;   136
03.02.1987 00:01:00;   136
15.03.1987 05:00:00;   141
29.04.1987 13:45:00;   139
02.05.1987 06:45:00;   137
14.06.1987 05:45:00;   141
07.07.1987 17:30:00;   137
31.08.1987 23:59:55;   142
04.09.1987 13:00:00;   140
28.10.1987 14:15:00;   139
03.11.1987 18:00:00;   140
15.12.1987 14:15:00;   137
20.01.1988 20:00:00;   139
18.02.1988 06:45:00;   144
01.03.1988 14:15:00;   139
30.04.1988 23:59:55;   144
25.05.1988 10:00:00;   136
24.06.1988 17:00:00;   129
28.07.1988 17:45:00;   125
06.08.1988 18:15:00;   126
01.09.1988 19:30:00;   130
14.10.1988 19:00:00;   129
10.11.1988 11:45:00;   132
03.12.1988 16:15:00;   148
31.01.1989 22:45:00;   140
10.02.1989 15:00:00;   139
31.03.1989 15:30:00;   136
26.04.1989 13:00:00;   134
30.05.1989 17:30:00;   130
01.06.1989 02:00:00;   131
01.07.1989 20:15:00;   135
24.08.1989 12:15:00;   136
24.09.1989 12:30:00;   129
06.10.1989 12:00:00;   132
23.11.1989 17:15:00;   134
12.12.1989 12:45:00;   131
11.01.1990 08:15:00;   134
08.02.1990 15:30:00;   135
21.03.1990 11:45:00;   135
05.04.1990 18:00:00;   136
24.05.1990 11:30:00;   127
01.06.1990 12:15:00;   127
20.07.1990 19:00:00;   130
02.08.1990 10:45:00;   129
01.09.1990 13:00:00;   130
26.10.1990 12:00:00;   129
09.11.1990 12:15:00;   138
09.12.1990 13:30:00;   137
31.01.1991 02:00:00;   137
13.02.1991 18:00:00;   133
17.03.1991 13:30:00;   137
25.04.1991 16:00:00;   130
24.05.1991 15:30:00;   129
01.06.1991 16:30:00;   129
06.07.1991 17:30:00;   132
28.08.1991 14:45:00;   132
10.09.1991 10:30:00;   130
02.10.1991 20:15:00;   133
02.11.1991 13:00:00;   135
09.12.1991 18:15:00;   131
31.01.1992 11:15:00;   134
01.02.1992 18:15:00;   134
12.03.1992 13:45:00;   134
24.04.1992 14:00:00;   134
28.05.1992 13:30:00;   127
30.06.1992 19:00:00;   126
30.07.1992 14:30:00;   125
19.08.1992 15:30:00;   121
26.09.1992 17:45:00;   124
03.10.1992 13:45:00;   126
06.11.1992 19:00:00;   135
31.12.1992 23:59:55;   137
02.01.1993 00:45:00;   134
25.02.1993 00:00:00;   136
11.03.1993 14:30:00;   134
29.04.1993 18:45:00;   135
26.05.1993 14:15:00;   127
09.06.1993 19:30:00;   127
02.07.1993 09:30:00;   130
17.08.1993 10:30:00;   132
24.09.1993 13:30:00;   138
08.10.1993 13:00:00;   138
10.11.1993 16:45:00;   137
01.12.1993 18:00:00;   136
23.01.1994 15:00:00;   143
13.02.1994 23:15:00;   142
31.03.1994 17:30:00;   150
09.04.1994 14:15:00;   147
18.05.1994 10:15:00;   138
25.06.1994 22:30:00;   137
25.07.1994 22:45:00;   130
07.08.1994 01:30:00;   129
04.09.1994 19:15:00;   129
03.10.1994 06:00:00;   128
07.11.1994 00:00:00;   129
04.12.1994 09:45:00;   131
13.01.1995 07:00:00;   133
24.02.1995 15:00:00;   148
17.03.1995 11:15:00;   143
30.04.1995 23:59:55;   139
29.05.1995 21:45:00;   133
05.06.1995 06:45:00;   136
22.07.1995 03:45:00;   131
07.08.1995 03:00:00;   130
27.09.1995 15:30:00;   136
19.10.1995 10:15:00;   134
01.11.1995 02:15:00;   136
16.12.1995 05:45:00;   138
30.01.1996 23:30:00;   134
28.02.1996 06:15:00;   132
14.03.1996 00:00:00;   132
30.04.1996 17:45:00;   136
08.05.1996 22:15:00;   132
30.06.1996 19:00:00;   133
27.07.1996 23:45:00;   131
01.08.1996 17:30:00;   130
01.09.1996 00:00:00;   132
01.10.1996 00:00:00;   133
01.11.1996 08:30:00;   138
30.12.1996 00:01:00;   137
15.01.1997 23:49:10;   133
05.02.1997 12:33:35;   132
15.03.1997 20:11:05;   140
25.04.1997 02:39:55;   140
31.05.1997 23:59:55;   134
17.06.1997 03:52:40;   130
04.07.1997 06:18:40;   129
28.08.1997 18:34:35;   131
18.09.1997 17:56:30;   130
10.10.1997 15:49:30;   130
16.11.1997 00:21:50;   131
08.12.1997 06:38:25;   138
30.01.1998 02:32:00;   137
07.02.1998 07:31:25;   135
31.03.1998 23:59:55;   137
30.04.1998 23:59:55;   134
28.05.1998 23:41:00;   129
07.06.1998 21:19:35;   127
01.07.1998 23:51:50;   130
16.08.1998 20:50:50;   128
02.09.1998 17:41:55;   127
01.10.1998 08:23:55;   135
30.11.1998 14:51:00;   145
12.12.1998 10:22:30;   139
03.01.1999 07:58:25;   140
03.02.1999 05:31:50;   141
28.03.1999 20:07:10;   147
30.04.1999 19:10:15;   142
30.05.1999 22:07:30;   137
26.06.1999 22:25:55;   132
06.07.1999 21:00:15;   131
26.08.1999 16:31:10;   130
15.09.1999 19:30:00;   133
21.10.1999 21:00:00;   132
01.11.1999 10:00:00;   133
01.12.1999 21:15:00;   134
17.01.2000 09:15:00;   136
29.02.2000 23:59:55;   155
24.03.2000 16:15:00;   152
30.04.2000 19:45:00;   139
16.05.2000 19:15:00;   134
22.06.2000 21:15:00;   129
02.07.2000 19:15:00;   129
26.08.2000 19:15:00;   130
02.09.2000 02:45:00;   131
01.10.2000 00:00:00;   134
16.11.2000 01:30:00;   136
09.12.2000 02:30:00;   136
24.01.2001 08:45:00;   137
02.02.2001 14:45:00;   139
02.03.2001 11:00:00;   144
06.04.2001 10:00:00;   148
30.05.2001 22:30:00;   135
30.06.2001 19:00:00;   136
31.07.2001 20:00:00;   132
03.08.2001 18:15:00;   131
07.09.2001 00:00:00;   141
08.10.2001 07:00:00;   142
06.11.2001 20:45:00;   144
23.12.2001 21:30:00;   143
20.01.2002 03:00:00;   142
19.02.2002 17:15:00;   150
19.03.2002 07:00:00;   145
30.04.2002 18:45:00;   139
31.05.2002 16:45:00;   132
23.06.2002 20:00:00;   129
10.07.2002 17:15:00;   128
01.08.2002 23:45:00;   129
18.09.2002 20:30:00;   135
03.10.2002 19:00:00;   137
30.11.2002 14:30:00;   151
15.12.2002 05:00:00;   142
22.01.2003 23:45:00;   144
28.02.2003 02:30:00;   139
31.03.2003 02:00:00;   140
30.04.2003 22:30:00;   133
31.05.2003 00:15:00;   130
13.06.2003 20:00:00;   129
22.07.2003 21:00:00;   126
28.08.2003 21:00:00;   124
10.09.2003 19:15:00;   124
01.10.2003 00:00:00;   125
01.11.2003 10:30:00;   127
10.12.2003 09:13:00;   127
02.01.2004 21:45:00;   127
01.02.2004 06:45:00;   134
01.03.2004 04:15:00;   135
30.04.2004 16:45:00;   133
31.05.2004 18:45:00;   128
01.06.2004 00:00:00;   129
31.07.2004 17:45:00;   129
10.08.2004 18:15:00;   127
22.09.2004 03:30:00;   127
07.10.2004 18:45:00;   132
07.11.2004 08:15:00;   134
20.12.2004 08:15:00;   132
20.01.2005 05:45:00;   136
10.02.2005 08:15:00;   137
11.03.2005 23:30:00;   137
17.04.2005 23:45:00;   136
30.05.2005 17:45:00;   133
25.06.2005 21:30:00;   130
04.07.2005 20:00:00;   131
14.08.2005 16:30:00;   131
09.09.2005 17:00:00;   132
30.10.2005 08:00:00;   134
14.11.2005 05:45:00;   133
15.12.2005 15:12:00;   135
14.01.2006 14:27:00;   133
10.02.2006 06:05:35;   134
08.03.2006 09:31:15;   143
26.04.2006 02:27:00;   147
14.05.2006 00:15:00;   139
21.06.2006 20:15:00;   138
25.07.2006 21:56:00;   133
19.08.2006 20:24:00;   136
17.09.2006 19:18:00;   136
28.10.2006 06:56:15;   136
03.11.2006 01:08:35;   137
31.12.2006 00:30:00;   137
01.01.2007 02:24:00;   139
25.02.2007 07:33:00;   144
31.03.2007 23:42:00;   143
30.04.2007 20:12:00;   135
03.05.2007 15:18:55;   133
24.06.2007 05:18:00;   132
01.07.2007 19:30:00;   132
27.08.2007 15:54:45;   133
02.09.2007 23:00:55;   134
18.10.2007 04:51:40;   136
03.11.2007 01:06:00;   137
30.12.2007 20:24:00;   142
05.01.2008 16:42:00;   141
26.02.2008 14:33:00;   140
11.03.2008 15:21:00;   145
21.04.2008 18:06:00;   144
30.05.2008 21:06:00;   136
23.06.2008 20:24:00;   135
03.07.2008 19:42:00;   134
